ITEM_ID,REQUIREMENT_ID,PHASE,DOMAIN,PLATFORM,ROUTE_OR_COMPONENT,SOURCE_PATHS,CURRENT_STATUS,WHY_NOT_STARTED,REPO_SOLVABLE,EXTERNAL_GATE,OWNER_DECISION,SECURITY_DEPENDENCY,DEPENDENCIES,TARGET_STATE,WRITER,STATUS,COMMITS,TEST_EVIDENCE,RUNTIME_EVIDENCE,FINAL_CLASSIFICATION
N1,PCA-SYNC-STATUS,wave1,runtime-sync,backend+parent-web,Dashboard.tsx;ChildOverview.tsx;ScreenTimePage.tsx;useReconnectSync,backend/src/http/routes/parentRuntimeSyncRoutes.ts;backend/src/runtime-sync/StatusService.ts;parent-web/src/api/real/realParentRuntimeSyncClient.ts,WAS_NOT_STARTED,"UnavailableParentRuntimeSyncClient rejected all calls in production; backend served zero /api/sync/* or parent-authenticated route, only device-authenticated /v1/runtime-sync/status. Server-side status computation (DeviceSyncStatusTracker, DeviceProtectionStatusRepository) already existed with no route exposing it to a parent session. Independently found by 3 separate auditors (backend/architecture/frontend).",YES,NO,NO,NO,"None -- no ciphertext involved, connection/last-sync/pending-count metadata only",IMPLEMENT_NOW,writer-notstarted-1,COMPLETE,ea0a7dc (cherry-picked from f662952),"backend: new route test 12/12 pass; runtime-sync regression 46/46 + 28/28 pass; full backend suite re-run post-integration 1855/1855 pass. parent-web: tsc clean, targeted vitest 47/47 pass.",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published ea0a7dc)
N2,PCA-ALERT-DEST,wave1,alerts,backend+parent-web,Dashboard.tsx;ProtectionStatus.tsx;ProtectionAlertPanel.tsx,backend/src/http/routes/protectionAlertRoutes.ts;parent-web/src/api/real/realProtectionAlertDeliveryClient.ts,WAS_NOT_STARTED,"Dashboard's importantAlertCount was a dead-end number with no link; ProtectionStatus.tsx hardcoded alerts=[] instead of fetching. Backend's ProtectionAlertLedger (listForFamily/listForParentDevice) was already real and populated by ProtectionAlertProducer on real triggers, but no HTTP route ever exposed it -- a pure wiring gap mirroring the already-real audit-trail feature (familyAuditEventRoutes.ts) exactly.",YES,NO,NO,NO,"Alert CONTENT decryption stays gated on the same crypto-suite review as Recovery (item E in the partial/intentional register) -- this item only delivers the opaque envelope, same honest PENDING_TRUSTED_DECRYPTION state as the audit-trail feature",IMPLEMENT_NOW,writer-notstarted-2,COMPLETE,507a781 (cherry-picked from aead65c),"backend: new route test 7/7 pass; FULL backend suite run 1843/1843 pass (pre-integration) + re-verified 1855/1855 post-integration. parent-web: tsc clean, eslint clean, 9 touched/added test files 111/111 pass.",none -- not real-browser verified this wave; unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published 507a781)
N3,PCA-TRUSTED-BROWSER-PAIR,wave1,recovery/device,parent-web,DeviceEnrollmentPanel.tsx,parent-web/src/api/real/realTrustedBrowserProvider.ts,WAS_NOT_STARTED,"RealTrustedBrowserProvider.requestPairing() fabricated a random UUID as browserEndpointId and never called the backend -- actorDeviceSessionToken stayed null forever. All 3 backend legs (POST /v1/families/:familyId/browser-endpoints, device challenge/session exchange, parent confirm) already existed, real, wired, and non-crypto-gated (confirmed: pairing confirmation 'never creates Family Trust Set authority' per the route's own comment). Reaching PAIRED needed no crypto decision at all -- only frontend wiring was missing.",YES,NO,NO,NO,Reaching the SEPARATE TRUSTED state (real Family Trust Set / signed epoch / decrypt capability) remains correctly CRYPTO_ACTIVATION-gated and was NOT touched by this item -- do not conflate PAIRED with TRUSTED,IMPLEMENT_NOW,writer-notstarted-3,COMPLETE,690303d,"11/11 pass (realTrustedBrowserProvider.test.ts, rewritten with mocked fetch covering real-deviceId/real-pubkey/CSRF/session-token/fail-closed-null-on-session-failure); tsc clean.",none -- not real-browser verified this wave; unit level only,IMPLEMENT_NOW -- COMPLETE (published 690303d)
N4,PCA-MEMBER-REMOVE-CONFIRM,wave1,ux,parent-web,Members.tsx,parent-web/src/pages/family/Members.tsx,WAS_NOT_STARTED,"The Remove-member button had zero confirmation despite calling the now-functional (register item I, dddf4bc), seat-freeing, irreversible-without-a-new-invite removeMember backend call. Left over from item I's completion -- a UX-safety gap on a newly-real destructive action, not one of the 28 already-adjudicated owner-blocked-UX rows.",YES,NO,NO,NO,None,IMPLEMENT_NOW,writer-notstarted-3,COMPLETE,690303d,"8/8 pass (Members.test.tsx, covers cancel-blocks-removal and confirm-proceeds-through-step-up); tsc clean.",none -- not real-browser verified this wave; unit level only,IMPLEMENT_NOW -- COMPLETE (published 690303d)
N5,PCA-WEB-RULE-MUTATION,wave2,web-filter,backend+parent-web,pages -- web rule admin surface,parent-web/src/api/real/realWebRuleAdminClient.ts,"COMPLETE (mapping/serialization only, matches item G's precedent)","setRule/removeRule throw 'mutation path not implemented yet even post-crypto-approval' -- the class's own comment admits this is a gap layered ON TOP of the crypto gate, not merely blocked by it (unlike listRules, which is honestly crypto-gated only). No payload-construction/serialization logic exists at all, unlike item G (schedule-policy fields) which did exactly this kind of mechanical mapping work while correctly leaving final encrypted delivery gated.",YES,NO,NO,NO,"Final encrypted delivery to device stays gated on the same production-crypto-suite review as items E/G/D -- this item only needs to build the WEB_RULE mutation shape/serialization so delivery is the ONLY remaining gated step, mirroring item G's precedent exactly","IMPLEMENT_NOW (mapping/serialization only); HUMAN_SECURITY_REVIEW_REQUIRED (delivery -- shared gate, do not attempt to unblock independently)",writer-notstarted-4,COMPLETE,1a93aa0,"backend: WebRuleStore.test.mjs 10/10 pass; webRuleRoutes.test.mjs (new) 13/13 pass; eyeProtectionRoutes/childPolicyRoutes/buildServer wiring regression 10/10+9/9+3/3 pass; tsc clean. parent-web: realWebRuleAdminClient(+Mutations).test.ts 9/9 pass; WebProtectionPage/apiClientFactory/devWebRuleAdminClient/webRulePolicy regression 21/21 pass; tsc clean. Combined-state full suites re-run post-integration: backend 1864/1864, parent-web 115 files/699 tests.",none -- not real-browser verified this wave; unit/integration level only,"IMPLEMENT_NOW (mapping only, mirrors item G) -- COMPLETE (published 1a93aa0) / HUMAN_SECURITY_REVIEW_REQUIRED (delivery, unchanged -- confirmed no AEAD/KEM primitive chosen, backend/src/recovery/ untouched)"
N6,PCA-BILLING-RENEWAL-REMINDER,wave2,billing,backend,billing lifecycle notifications,backend/src/commercialnotifications/types.ts;backend/src/commercialmaintenance/CommercialMaintenanceRunner.ts,COMPLETE,"CommercialNotificationEventType has no RENEWAL_UPCOMING/reminder type (only QUOTE_READY/PAYMENT_CONFIRMED/ENTITLEMENT_INCREASED/PAYMENT_FAILED/REQUEST_DENIED/QUOTE_EXPIRED). CommercialMaintenanceRunner only sweeps quote expiry, not upcoming subscription renewal, even though the underlying data (current_period_end) already exists. Distinct from register item A (auto-renew flag/cancel, c4eb2bf) -- that made the flag real, this notifies ahead of a renewal.",YES,NO,NO,NO,"None -- provider-neutral internal notification only, no real payment-provider credential needed. Actual delivery channel (email/SMS) is the same already-external-gated Platform Admin alert-provider boundary as other notifications.",IMPLEMENT_NOW,writer-notstarted-5,COMPLETE,a55cd53,"backend: publisher/schemaPrivacy/renewalUpcomingSchemaPrivacy/service/config non-DB tests 39/39 pass; i18n+authz regression 19/19 pass; tsc clean. Migration 0033 fresh-disposable-MySQL re-verification this checkpoint: all 31 migrations apply from zero (contiguous from 0001, pre-existing 0009/0010 numbering gap confirmed to predate this mission -- absent already at baseline 327d543, not introduced by 0033); verify-mysql.mjs schema-privacy gate passed; test/db/commercialMaintenance.mysql.test.mjs + 4 sibling commercialNotifications*.mysql.test.mjs files re-run against the fresh instance: 31/31 pass, covering within/out-of-window reminder, CANCELED-never-reminded, idempotent-across-repeated-and-concurrent-runOnce, inclusive-boundary, and family-scoping cases.",none -- not real-browser verified this wave; DB-level and unit/integration level only,IMPLEMENT_NOW -- COMPLETE (published a55cd53)
N7,PCA-NFR-044,wave2,accessibility,android,AdminSecurityActivity PIN-entry surface,android/app/src/main/java/org/pca/app/security/ui/AdminSecurityActivity.kt,COMPLETE,"Matrix's own note: this PIN-entry surface has not yet been given the AgeUxTier SIMPLE/CLEAR reading-level copy treatment that 5 sibling surfaces already have. Self-flagged as a residual gap in docs/implementation/PCA_COMPLETION_V2_MATRIX.json, not a fresh miss.",YES,NO,NO,NO,None,IMPLEMENT_NOW,writer-notstarted-6,COMPLETE,1153bd5,"AdminPinReadingLevelTest 4/4, ArabicResourceParityTest 1/1, StringResourceCompletenessTest 2/2 pass; full security+i18n suites BUILD SUCCESSFUL, no regressions. Combined-state full Android JVM suite re-run post-integration this checkpoint: 1283 tests, 0 failures, 0 errors, 1 skipped, BUILD SUCCESSFUL.",none -- no emulator/device in this environment; JVM/Robolectric level only,IMPLEMENT_NOW -- COMPLETE (published 1153bd5)
N8,PCA-IOS-ASK-PARENT,architecture,child-request,ios,ShieldActionExtension secondary button,ios/PCAShieldAction/ShieldActionExtension.swift,WAS_NOT_STARTED,"secondaryButtonPressed returns .defer with a comment marking a future 'ask parent' flow as additive. iOS has NO analog anywhere of Android's ChildRequestOfflineQueue/PcaRuntime.createChildRequest -- no outbound child-initiated sync-submission path exists on iOS at all. The button itself is trivial to change, but there is no existing pattern/mechanism to wire it into -- same shape as the already-known AI-classifier gap (a real consumption slot, no producer).","PARTIAL -- the UI hook is trivial, the underlying submission mechanism is not",NO,"YES -- what should an iOS child-initiated request actually submit, and via what transport (App-Group-backed local queue mirroring Android's, vs. something iOS-specific)?",NO,"Depends on the same production-crypto-suite question as any other cross-device submission if it needs authenticated delivery back to a parent, though a local-queue-only v1 (mirroring Android's PENDING_SYNC_LOCAL pattern) may not.",NEW_FEATURE_ARCHITECTURE_REQUIRED,n/a,NOT_STARTED,,,,"NEW_FEATURE_ARCHITECTURE_REQUIRED -- exact requirement: iOS Shield secondary-action needs a real child-request creation+submission contract. Missing decision: request/submission shape and transport. Current architecture has no iOS-side analog to extend. Source inspected: ShieldActionExtension.swift, all iOS Sync/ChildRequest-related files (none found). Decision needed: product/security architect must define the iOS child-request contract before this can be built."
N9,PCA-AI-001,architecture,ai-classifier,backend+android+ios,WebFilterEngine.kt ClassifierResult slot;ClassifierRuntimeBoundary.swift,ai/LifecycleGatedClassifier.ts;ai/policy.ts;ios/PCA/AI/ClassifierRuntimeBoundary.swift,PARTIAL,"Carried forward per owner instruction from the partial/intentional register (item F) -- NOT re-adjudicated here, NOT attempted as mechanical completion. iOS ClassifierRuntimeBoundary.swift remains orphaned (no consuming feature -- Safari extension or camera pipeline -- exists yet); Android's WebFilterEngine.kt has a ClassifierResult consumption slot but no LiteRT placement-boundary type. Re-confirmed unchanged via grep this pass (2026-09-02).",NO -- both platforms require net-new feature architecture with no existing pattern to mechanically extend,NO,YES -- iOS: build a Safari content-blocker/web-extension target or a live camera pipeline (which?); Android: define and build the LiteRT placement-boundary type,YES -- model-signature verification (ModelPackageVerifier.ts) shares the same PCA-DEC-020 crypto gate as Recovery,"A real trained model artifact is COMMERCIAL_PROVIDER_REQUIRED regardless of source completeness, separate from this item",NEW_FEATURE_ARCHITECTURE_REQUIRED (classifier wiring) / HUMAN_SECURITY_REVIEW_REQUIRED (signature verification -- shared gate with Recovery),n/a,NOT_REOPENED,,,,NEW_FEATURE_ARCHITECTURE_REQUIRED (classifier wiring) / HUMAN_SECURITY_REVIEW_REQUIRED (signature verification) -- unchanged from partial/intentional register item F
N10,PCA-DEC-020;PCA-DEC-021,architecture,recovery,backend,RecoveryKdf.ts;RecoveryEnvelopeCipher.ts;TrustSetSignatureVerifier,backend/src/recovery/,PARTIAL,"Carried forward, NOT reopened. RecoveryEnvelopeCipher.ts's own doc comment: no concrete AEAD/KEM construction selected or implemented; backend/package.json has no cryptography dependency at all. docs/security/production-crypto-review/ explicitly frames the candidate construction as pending specialist approval, not a finished decision. Re-confirmed unchanged this pass.",NO,YES,NO,YES,"Every other gated item in this register (N9, plus the partial/intentional register's D/E/G/H-adjacent items) ultimately traces back to this single decision (PRODUCTION_CRYPTO_SUITE / PCA-DEC-020)",EXTERNAL_SECURITY_REVIEW,n/a,NOT_REOPENED,,,,EXTERNAL_SECURITY_REVIEW -- unchanged from partial/intentional register item E. Do not reopen merely to close this register.
