REQUIREMENT_ID,PHASE,MATRIX_STATUS_AT_fa6dee2,FINAL_CLASSIFICATION,V1_SCOPE,BASIS
PCA-AI-001,PCA-14,PARTIAL,NEW_FEATURE_ARCHITECTURE_REQUIRED,POST_V1,"No trained model and no production call site; scaffolding only (A10, A19 D3)"
PCA-AND-001,PCA-2,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-AND-002,PCA-2,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-AND-003,PCA-2,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"A2 trace: emergency allowlist floor is implemented, composed and executed on every evaluate. PPR-1 false positive, restored."
PCA-DATA-001,PCA-12,SOURCE_COMPLETE_EXTERNAL_GATE,SOURCE_COMPLETE_EXTERNAL_GATE,V1_REQUIRED,Fail-closed pending PCA-DEC-020/021 crypto review (A11)
PCA-DATA-002,PCA-12,NOT_APPLICABLE,NOT_APPLICABLE_V1,NOT_APPLICABLE,Out of V1 scope by normative derivation (A01 §2.7)
PCA-DATA-010,PCA-17,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-DATA-011,PCA-17,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-DATA-012,PCA-17,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-DATA-013,PCA-12,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-DATA-014,PCA-0,NOT_APPLICABLE,NOT_APPLICABLE_V1,NOT_APPLICABLE,Out of V1 scope by normative derivation (A01 §2.7)
PCA-DATA-020,PCA-12,SOURCE_COMPLETE,PRODUCTION_COMPLETE,V1_REQUIRED,"Source complete, test-covered, no external gate"
PCA-DATA-021,PCA-12+PCA-13,SOURCE_COMPLETE,SOURCE_COMPLETE_EXTERNAL_GATE,V1_REQUIRED,"PPR-1R: reportProtectionStatus implemented (D008). Capability still gated - relay transport uncomposed, device session crypto-gated."
