CLAIM_ID,PAGE,CLAIM_TEXT_EN,CLAIM_TEXT_AR,CLAIM_TYPE,TECHNICAL_EVIDENCE_REQUIRED,CURRENT_STATUS,RISK,APPROVAL_STATUS,NOTES
CLM-001,Global/Home,Protecting children in digital spaces.,حماية الأطفال في المساحات الرقمية.,PRODUCT,Owner approval of final tagline; product doctrine,NOT_APPROVED_FOR_PUBLIC_CLAIM,LOW,OWNER_APPROVAL_PENDING,"Recommended master tagline OD-01; concept approved, exact tagline pending."
CLM-002,Why PCA/About,PCA began from a parent’s concern about protecting his children online.,بدأت PCA من اهتمام أحد الوالدين بحماية أطفاله على الإنترنت.,PRODUCT,Owner origin-story confirmation,VERIFIED_AVAILABLE,LOW,APPROVED_DOCTRINE,Do not add founder biography or unverifiable details.
CLM-003,Privacy/Home,PCA does not build a readable central profile of your child.,صُممت PCA بحيث لا تنشئ ملفًا مركزيًا مقروءًا عن نشاط طفلك.,PRIVACY,Central schema/runtime inventory; logs; relay visibility; security review,EXTERNAL_SECURITY_REVIEW,HIGH,PROVISIONAL_OWNER_APPROVED_DOCTRINE,Core owner invariant; public production claim requires runtime proof.
CLM-004,Privacy/Home,"Your child’s activity belongs to you, not to us.",نشاط طفلك يخصك أنت، وليس PCA.,PRIVACY,Evidence supporting CLM-003 and all activity data paths,EXTERNAL_SECURITY_REVIEW,HIGH,PROVISIONAL_OWNER_APPROVED_DOCTRINE,Preferred short privacy message; Arabic native review required.
CLM-005,Privacy,PCA central systems do not store readable child photos.,لا تخزن أنظمة PCA المركزية صور الطفل بشكل مقروء.,PRIVACY,DB/object storage/log/backup inspection,EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant CHILD_PHOTOS_CENTRAL=0.
CLM-006,Privacy,PCA central systems do not store readable child videos.,لا تخزن أنظمة PCA المركزية فيديوهات الطفل بشكل مقروء.,PRIVACY,DB/object storage/log/backup inspection,EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant CHILD_VIDEOS_CENTRAL=0.
CLM-007,Privacy,PCA central systems do not store readable arbitrary child files or documents.,لا تخزن أنظمة PCA المركزية ملفات أو مستندات الطفل العشوائية بشكل مقروء.,PRIVACY,"Upload endpoints, DB/object storage, logs",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant CHILD_FILES_CENTRAL=0.
CLM-008,Privacy/FAQ,PCA is not designed to capture or centrally read a child’s personal messages.,لم تُصمم PCA لالتقاط رسائل الطفل الشخصية أو قراءتها مركزيًا.,PRIVACY,"Permission inventory, network/runtime flows, storage/log review",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant CHILD_MESSAGES_CENTRAL=0.
CLM-009,Privacy/Features,Readable app-usage history does not become centrally readable PCA data.,لا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية مقروءة لدى PCA.,PRIVACY,"App usage pipeline, API payloads, DB/log inspection",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant READABLE_APP_USAGE_HISTORY_CENTRAL=0.
CLM-010,Privacy/Features,Readable browsing history is not stored centrally by PCA.,لا يتم تخزين سجل التصفح المقروء مركزيًا لدى PCA.,PRIVACY,"Safe Browser/filter pipeline, network payloads, logs",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant READABLE_BROWSING_HISTORY_CENTRAL=0.
CLM-011,Privacy/Features,Readable precise-location history is not stored centrally by PCA.,لا يتم تخزين سجل الموقع الدقيق المقروء مركزيًا لدى PCA.,PRIVACY,"Location flow, API payloads, DB/log/relay inspection",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Locked invariant READABLE_PRECISE_LOCATION_HISTORY_CENTRAL=0.
CLM-012,Privacy/Security,PCA does not collect child passwords or credentials.,لا تجمع PCA كلمات مرور الطفل أو بيانات اعتماده.,PRIVACY,"Permissions, accessibility/VPN/TLS code paths, logs/storage",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Must also ensure no credential harvesting through web controls.
CLM-013,Privacy,PCA does not collect microphone recordings for routine protection.,لا تجمع PCA تسجيلات الميكروفون ضمن وظائف الحماية المعتادة.,PRIVACY,Permissions and media/storage/network inspection,EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,Owner invariant.
CLM-014,Privacy/Feedback,PCA does not automatically collect screenshots or background screen recordings.,لا تجمع PCA لقطات الشاشة أو تسجيلات الشاشة في الخلفية تلقائيًا.,PRIVACY,"Permissions, media projection, feedback upload paths",EXTERNAL_SECURITY_REVIEW,HIGH,OWNER_DOCTRINE_RUNTIME_PROOF_PENDING,V1 feedback attachments recommended OFF.
CLM-015,Privacy,Some protection information may be processed locally on the child or trusted parent device.,قد تتم معالجة بعض معلومات الحماية محليًا على جهاز الطفل أو جهاز موثوق لدى الوالدين.,PRIVACY,Feature-by-feature processing inventory,LIMITED,MEDIUM,APPROVED_DOCTRINE,Must not imply every feature is currently implemented.
CLM-016,Privacy/Security,"Where sensitive family-side information must synchronize, PCA is designed to use end-to-end encrypted delivery.",عندما يلزم مزامنة معلومات حساسة بين الأجهزة الموثوقة، صُممت PCA لاستخدام نقل مشفّر من طرف إلى طرف.,SECURITY,"Protocol/crypto design, key ownership, packet/runtime tests, external review",EXTERNAL_SECURITY_REVIEW,CRITICAL,PROVISIONAL_OWNER_APPROVED_DOCTRINE,Use design-language until production crypto closure is proven.
CLM-017,Privacy,PCA central services retain only minimum operational and technical information needed to run the service.,تحتفظ خدمات PCA المركزية بالحد الأدنى من المعلومات التشغيلية والتقنية اللازمة لتشغيل الخدمة.,PRIVACY,Central schema/log/provider inventory and necessity review,EXTERNAL_SECURITY_REVIEW,HIGH,PROVISIONAL_OWNER_APPROVED_DOCTRINE,Exact fields and retention must be documented.
CLM-018,Parents,"PCA Parent is a responsive web experience for phone, tablet and computer.",PCA Parent تجربة ويب متجاوبة للهاتف والجهاز اللوحي والكمبيوتر.,FEATURE,Current Parent Web browser/UAT evidence,VERIFIED_AVAILABLE,LOW,APPROVED_FROM_HANDOVER,Re-verify in PUBLIC-0/13.
CLM-019,Parents/Download,PCA Parent is planned to be installable as a PWA where supported.,من المخطط أن تكون PCA Parent قابلة للتثبيت كتطبيق ويب على المنصات المدعومة.,FEATURE,Manifest/SW/install UAT,COMING_LATER,MEDIUM,OWNER_APPROVED_DIRECTION,Do not state installed availability until PUBLIC-11 passes.
CLM-020,Parents/PWA,Installing PCA Parent is optional.,تثبيت PCA Parent اختياري.,PRODUCT,PWA UX implementation/UAT,COMING_LATER,LOW,OWNER_APPROVED_DIRECTION,Continue in Browser is required.
CLM-021,Parents/PWA,Parents can continue using PCA Parent in the browser without installing the PWA.,يمكن للوالدين الاستمرار في استخدام PCA Parent من المتصفح دون تثبيت PWA.,FEATURE,Parent Web and PWA UAT,VERIFIED_AVAILABLE,LOW,APPROVED_DOCTRINE,Must remain true after PWA implementation.
CLM-022,Parents/Security,PWA installation is not Trusted Browser authorization.,تثبيت PWA لا يعني تفويض المتصفح الموثوق.,SECURITY,Trust/session architecture review,VERIFIED_AVAILABLE,HIGH,APPROVED_DOCTRINE,Non-negotiable distinction.
CLM-023,Security/FAQ,Persistent Trusted Browser state across restart is not currently approved as a public completed capability.,الاحتفاظ بحالة المتصفح الموثوق بعد إعادة التشغيل ليس ميزة مكتملة معتمدة للنشر حاليًا.,FEATURE,Trusted-browser persistence architecture and security proof,COMING_LATER,HIGH,DO_NOT_MARK_COMPLETE,Current architecture is session/tab scoped per handover.
CLM-024,Features/Download,Android is the primary PCA Child V1 platform direction.,أندرويد هو الاتجاه الأساسي للنسخة الأولى من PCA Child.,AVAILABILITY,Owner product plan; Android runtime evidence,VERIFIED_AVAILABLE,LOW,APPROVED_DIRECTION,Do not equate direction with store publication.
CLM-025,Download,PCA Child is available for download from Google Play.,PCA Child متوفرة للتنزيل من Google Play.,AVAILABILITY,Live verified store listing and release build,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,NOT_APPROVED,No store link/badge until verified.
CLM-026,Features/Download,PCA Child for iPhone/iPad is planned for a later release.,تطبيق PCA Child على iPhone/iPad مخطط له في إصدار لاحق.,AVAILABILITY,iOS roadmap/entitlement/build/store readiness,COMING_LATER,LOW,APPROVED_DIRECTION,Must remain visibly later/gated.
CLM-027,Download,PCA Child is available from the Apple App Store.,PCA Child متوفرة في Apple App Store.,AVAILABILITY,Live verified App Store listing and release build,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,NOT_APPROVED,Never fabricate App Store availability.
CLM-028,Features,PCA supports screen-time controls.,تدعم PCA أدوات للتحكم بوقت الشاشة.,FEATURE,"Android enforcement tests, UI/backend integration, device UAT",REQUIRES_PLATFORM_SUPPORT,HIGH,RUNTIME_PROOF_PENDING,Final wording must match exact capability.
CLM-029,Features,PCA supports app controls.,تدعم PCA أدوات للتحكم بالتطبيقات.,FEATURE,Android permissions/enforcement UAT,REQUIRES_PLATFORM_SUPPORT,HIGH,RUNTIME_PROOF_PENDING,Avoid universal blocking claim.
CLM-030,Features,PCA supports safer web filtering/browsing decisions.,تدعم PCA قرارات للتصفح والحماية على الويب.,FEATURE,Safe Browser/filter runtime and privacy tests,REQUIRES_PLATFORM_SUPPORT,HIGH,RUNTIME_PROOF_PENDING,Must reconcile with no readable central browsing history.
CLM-031,Features,PCA supports protection schedules.,تدعم PCA جداول زمنية للحماية.,FEATURE,Schedule model/enforcement UAT,REQUIRES_PLATFORM_SUPPORT,MEDIUM,RUNTIME_PROOF_PENDING,Verify platform behavior and timezone handling.
CLM-032,Features,PCA Parent shows protection status.,تعرض PCA Parent حالة الحماية.,FEATURE,Parent status data path and browser UAT,REQUIRES_PLATFORM_SUPPORT,MEDIUM,RUNTIME_PROOF_PENDING,Must define freshness and failure states.
CLM-033,Features,PCA supports parent/child requests.,تدعم PCA طلبات بين الوالدين والطفل.,FEATURE,Request workflow integration/UAT,REQUIRES_PLATFORM_SUPPORT,MEDIUM,RUNTIME_PROOF_PENDING,Do not claim unsupported request types.
CLM-034,Features,PCA provides protection alerts.,توفر PCA تنبيهات مرتبطة بالحماية.,FEATURE,Notification event inventory and UAT,REQUIRES_PLATFORM_SUPPORT,MEDIUM,RUNTIME_PROOF_PENDING,Avoid implying every activity creates an alert.
CLM-035,Features,PCA supports child-device protection status/configuration integrity.,تدعم PCA متابعة حالة حماية جهاز الطفل وإعداداتها.,FEATURE,Android device-protection implementation/UAT,REQUIRES_PLATFORM_SUPPORT,HIGH,RUNTIME_PROOF_PENDING,Exact anti-tamper/device admin capability must be verified.
CLM-036,Features/Privacy,PCA may offer a parent-controlled location feature.,قد توفر PCA ميزة موقع تحت تحكم الوالدين.,FEATURE,Location permission/data path/privacy UAT,REQUIRES_PLATFORM_SUPPORT,CRITICAL,RUNTIME_PROOF_PENDING,No precise-location history central.
CLM-037,Features/Privacy,A future proximity feature may process camera frames ephemerally on-device without upload or retention.,قد تعالج ميزة مستقبلية للمسافة إطارات الكاميرا مؤقتًا على الجهاز دون رفعها أو الاحتفاظ بها.,FEATURE,Camera permission/code/runtime/packet/storage tests,COMING_LATER,CRITICAL,NOT_ACTIVE_PUBLIC_FEATURE,Publish active claim only after proof.
CLM-038,Features,PCA has production AI protection enabled.,تستخدم PCA حماية بالذكاء الاصطناعي في الإنتاج.,FEATURE,"Production AI deployment, model/data/privacy/security evidence",NOT_APPROVED_FOR_PUBLIC_CLAIM,CRITICAL,NOT_APPROVED,AI production activation is gated.
CLM-039,Features,PCA advanced YouTube Mode B is production-ready.,وضع YouTube المتقدم Mode B في PCA جاهز للإنتاج.,FEATURE,Mode B implementation/platform/security UAT,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,NOT_APPROVED,Explicitly later/gated per handover.
CLM-040,Access,PCA is designed with affordability and broad access in mind.,تُصمم PCA مع مراعاة القدرة على تحمل التكلفة والإتاحة الواسعة.,COMMERCIAL,Owner product doctrine,VERIFIED_AVAILABLE,LOW,APPROVED_DOCTRINE,"Values claim, not a price promise."
CLM-041,Access,PCA offers a permanent free plan.,تقدم PCA خطة مجانية دائمة.,COMMERCIAL,Approved commercial model,NOT_APPROVED_FOR_PUBLIC_CLAIM,HIGH,NOT_APPROVED,No free-tier promise yet.
