TABLE,FAMILY_SCOPE_COLUMN,ACCOUNT_SCOPE_COLUMN,ACCESS_PATH,READ_FILTER,WRITE_FILTER,CROSS_FAMILY_TEST,UNSCOPED_QUERY_PRESENT,UNSCOPED_QUERY_JUSTIFICATION,PARENT_ACCESSIBLE,PLATFORM_ADMIN_ACCESSIBLE,ISOLATION_STATUS
devices,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",DeviceRepository.find*ForFamily / listForFamily,"DeviceRepository.revokeDeviceAndKeysAtomically(familyId, deviceId, ...)",test/device/service.test.mjs: 'family scope: unknown device is rejected the same way as a real device in another family'; 'family scope: cross-family key access is impossible even by guessing a real key id'; test/db/device.mysql.test.mjs REVOKED_KEY_REUSE test,YES -- DeviceRepository.findDeviceUnscoped,"Used ONLY by DeviceAuthService.issueChallenge/verifyChallenge, whose one real caller (DeviceSessionService.issueChallengeSafely) returns an indistinguishable synthetic challenge for DEVICE_NOT_FOUND/DEVICE_REVOKED, closing the oracle at the API boundary. Verified in this session: exactly one caller of issueChallenge exists (grepped); dedicated tests exist and pass ('issueChallengeSafely for a nonexistent device returns a well-formed challenge that can never complete', 'issueChallengeSafely for a revoked device is indistinguishable at the API boundary from a nonexistent one'). Documentation-drift finding, FIXED in the PCA-LIVE-DB-0 closure pass: DeviceRepository.findDeviceUnscoped's doc comment used to say 'nothing calls issueChallenge except this domain's own tests', which was stale. Comment now names the real production caller and the safe-wrapper pattern that closes the oracle; comment-only change, re-verified (npm run build + full non-DB suite still green).",YES (own devices only),"Own read models only (platformadmin/readmodels/*), never these family-scoped repository methods directly","ENFORCED, one documented and mitigated exception (device-auth challenge issuance)"
enrollment_invitations,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",InvitationRepository.find*ForFamily,"InvitationRepository create/redeem/revoke, all family_id-scoped",test/invitation/service.test.mjs: 'a childProfileId that belongs to a DIFFERENT family is rejected with the SAME code -- no oracle',NO,,YES (own invitations only),Own read models only,ENFORCED
family_child_memberships,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table. Also: no FK to families (soft reference, see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md), so isolation is 100% application-layer, not backstopped by any DB constraint.","ChildProfileRegistryRepository.listForFamily / resolveMembership(familyId, childProfileId)",ChildProfileRegistryRepository.create (idempotency key scoped per family_id),test/childprofiles/registryRepository.test.mjs: 'a nonexistent id and a cross-family id are INDISTINGUISHABLE (oracle-safety)'; test/db/childProfileRegistry.mysql.test.mjs: 'listForFamily never returns another family's rows'; 'the SAME idempotency key for TWO different families creates TWO different children',NO,,"YES (own children only, opaque id + membership only, no readable content)",Own read models only,ENFORCED
family_member_invitations,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",MySqlFamilyMemberInvitationRepository.findByIdForFamily/listForFamily,"createAtomically/revokeForFamily/updateRoleForFamily, all family_id-scoped","test/db/parentAccount.mysql.test.mjs: invitation-acceptance/removal security tests (see known pre-existing test-code bug noted in PCA_RUNTIME_SCHEMA_COMPATIBILITY_MATRIX.csv -- a wrong method name in the test, unrelated to isolation logic itself)",NO,,YES (own family only),Own read models only,ENFORCED
account_entitlements,family_id (PK),-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",EntitlementRepository.getOrCreateForFamily(familyId),"EntitlementRepository adjustment methods, all family_id-scoped, row-locked",test/db/complimentaryGrants.mysql.test.mjs: 'cross-family isolation -- complimentary capacity for family A never leaks into family B',NO,,YES (own entitlement only),"YES -- platformadmin/readmodels/EntitlementRequestsReadModel.ts (support/ops visibility, read-only)",ENFORCED
managed_device_slot_reservations,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",SlotReservationRepository *ForFamily,"reserve/consume/release, all family_id-scoped",test/db/platformEntitlementsSlots.mysql.test.mjs (concurrency + isolation cases),NO,,"NO (internal capacity-management row, not directly exposed)",Indirect via EntitlementRequestsReadModel,ENFORCED
relay_envelopes,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table. Payload itself is ENCRYPTED_PAYLOAD (server cannot read content regardless of scope).","OutboundRelayService / MySqlReplayLedger, family_id + recipient_device_id scoped","runtime-sync ingestion, family_id-scoped",test/familysync/sequenceProgressLedger.test.mjs: family isolation for identical sender key strings across families,NO,,"N/A (opaque ciphertext, device-to-device transport only)",NO,ENFORCED
recovery_envelopes,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table. Payload itself is ENCRYPTED_PAYLOAD.",RecoveryRepository *ForFamily,"RecoveryRepository writes, family_id-scoped","test/db/http.mysql.test.mjs: 'cross-family recovery -- attemptRecoveryToken from family A never discloses family B's attempts (different id space entirely)'; test/familytrustset/recoveryRedTeam.test.mjs, recoveryEngine.test.mjs cross-family attack tests",NO,,N/A (opaque ciphertext),NO,ENFORCED
safe_zones,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.",MySqlSafeZoneRepository *ForFamily,writes scoped to family_id + recipient_endpoint_id,Not independently re-verified this session beyond the repository naming-convention audit,NO,,"N/A (opaque ciphertext policy envelope, never a readable label/coordinate/radius)",NO,ENFORCED (by convention; not independently re-verified with a dedicated cross-family test read this session)
eye_protection_settings,family_id + child_profile_id (PK),-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table.","MySqlEyeProtectionSettingsRepository, family_id + child_profile_id scoped",writes scoped to family_id + child_profile_id,test/db/eyeProtectionSettings.mysql.test.mjs,NO,,"YES (own child, boolean preference only)",NO,ENFORCED
protection_alerts,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table. Payload itself is ENCRYPTED_PAYLOAD.",family_id + parent_device_id scoped queue read,"ProtectionAlertLedger, family_id-scoped, append-only",test/http/protectionAlertRoutes.test.mjs: 'a device from a different family cannot read this family's protection-alert queue'; 'an actor device bound to a different family cannot use its bearer token to read this family's queue even with a matching session cookie',NO,,"YES (own family only, opaque ciphertext)",NO,ENFORCED
family_audit_events,family_id,-,"Repository method naming convention: every read/write method takes familyId as its first parameter and is named *ForFamily (e.g. findByIdForFamily, listForFamily, revokeForFamily) -- WHERE family_id = ? is the only access path; no method omits the family_id parameter for this table. Payload itself is ENCRYPTED_PAYLOAD; mirrors protection_alerts exactly (migration 0028).",family_id + parent_device_id scoped,"FamilyAuditEventProducer, family_id-scoped, append-only",Mirrors protection_alerts pattern; not independently re-verified with a dedicated cross-family test read this session,NO,,"YES (own family only, opaque ciphertext)",NO,ENFORCED (by convention; not independently re-verified with a dedicated cross-family test read this session)
