TEST_FILE,SUBSYSTEM,TABLES_EXERCISED,AUTHORITATIVE_RESULT,FAILURE_CLASSIFICATION,NOTES
test/db/invitation.mysql.test.mjs,invitation,enrollment_invitation_transitions,NEEDS_REVIEW (13 pass / 1 fail),UNKNOWN,"Failure seen only in isolated per-file re-run, not in the authoritative single combined npm run test:db invocation -- see PCA_CANONICAL_SCHEMA_REPORT.md."
test/db/device.mysql.test.mjs,device,device_public_keys;devices,PASS (13 pass),N/A,
test/db/relay.mysql.test.mjs,relay,,PASS (8 pass),N/A,
test/db/recovery.mysql.test.mjs,recovery,,PASS (5 pass),N/A,
test/db/release.mysql.test.mjs,release,,NEEDS_REVIEW (6 pass / 1 fail),UNKNOWN,"Failure seen only in isolated per-file re-run, not in the authoritative single combined npm run test:db invocation -- see PCA_CANONICAL_SCHEMA_REPORT.md."
test/db/auth.mysql.test.mjs,auth,service_accounts;service_sessions,NEEDS_REVIEW (10 pass / 1 fail),UNKNOWN,"Failure seen only in isolated per-file re-run, not in the authoritative single combined npm run test:db invocation -- see PCA_CANONICAL_SCHEMA_REPORT.md."
test/db/authz.mysql.test.mjs,authz,licenses;service_account_family_scopes;service_accounts,PASS (11 pass),N/A,
test/db/enrollment.mysql.test.mjs,enrollment,device_public_keys;devices;enrollment_bootstrap_attempts;enrollment_invitations;families,PASS (20 pass),N/A,
test/db/pairing.mysql.test.mjs,pairing,service_accounts,PASS (5 pass),N/A,
test/db/deviceauth.mysql.test.mjs,deviceauth,device_challenges,PASS (10 pass),N/A,
test/db/http.mysql.test.mjs,http,devices;enrollment_bootstrap_attempts;enrollment_invitations;families;licenses;service_account_family_scopes;service_accounts;service_sessions,PASS (53 pass),N/A,
test/db/schema-privacy.mysql.test.mjs,schema-privacy,billing_price_books;billing_subscriptions;commercial_notifications;device_public_keys;enrollment_bootstrap_attempts;enrollment_invitations;entitlement_activation_idempotency;envelope_message_idempotency_ledger;family_authority_attestations;family_authority_chain_heads;family_authority_genesis_anchors;family_child_memberships;family_rbac_policy_config;platform_admin_settings;recovery_envelopes;relay_envelopes;release_packages,PASS (4 pass),N/A,
test/db/migrationUpgradeSafety.mysql.test.mjs,migrationUpgradeSafety,envelope_data_version_ledger;envelope_message_idempotency_ledger;envelope_replay_ledger;schema_migrations,PASS (2 pass),N/A,
test/db/syncDurability.mysql.test.mjs,syncDurability,families,PASS (22 pass),N/A,
test/db/atomicEnvelopeAcceptance.mysql.test.mjs,atomicEnvelopeAcceptance,families,PASS (8 pass),N/A,
test/db/platformadmin.mysql.test.mjs,platformadmin,platform_admin_audit_events;platform_admin_mfa_state;platform_admin_sessions,PASS (11 pass),N/A,
test/db/platformAdminAlerts.mysql.test.mjs,platformAdminAlerts,platform_admin_accounts;platform_admin_role_assignments;platform_admin_security_alerts,PASS (2 pass),N/A,
test/db/platformAdminAuditPrivileges.mysql.test.mjs,platformAdminAuditPrivileges,platform_admin_audit_events;platform_admin_login_attempts,SKIPPED (4 skip),TEST_INFRA_ARTIFACT,"Requires PCA_MIGRATION_DATABASE_URL (separate privileged credential); run via npm run test:db:platform-admin-privileges. Expected/intentional skip, not a failure."
test/db/platformEntitlementsCore.mysql.test.mjs,platformEntitlementsCore,account_entitlements;billing_price_books;devices;entitlement_activation_idempotency;entitlement_change_requests;platform_admin_audit_events;platform_admin_mfa_state,PASS (28 pass),N/A,
test/db/platformEntitlementsSlots.mysql.test.mjs,platformEntitlementsSlots,account_entitlements;devices;enrollment_invitations;families;managed_device_slot_reservations;platform_admin_mfa_state,PASS (17 pass),N/A,
test/db/billingCorePriceBookConcurrency.mysql.test.mjs,billingCorePriceBookConcurrency,billing_price_books,PASS (2 pass),N/A,
test/db/billingCoreProviderEventConcurrency.mysql.test.mjs,billingCoreProviderEventConcurrency,billing_provider_events,PASS (3 pass),N/A,
test/db/billingCoreQuoteImmutability.mysql.test.mjs,billingCoreQuoteImmutability,,PASS (2 pass),N/A,
test/db/billingCoreSchemaPrivacy.mysql.test.mjs,billingCoreSchemaPrivacy,billing_currencies;billing_payment_methods,PASS (3 pass),N/A,
test/db/billingCore.mysql.test.mjs,billingCore,billing_commercial_markets;billing_currencies;billing_payment_transactions;billing_subscriptions;platform_admin_sessions;platform_admin_step_up_sessions,PASS (11 pass),N/A,
test/db/checkoutRetryRecovery.mysql.test.mjs,checkoutRetryRecovery,billing_payment_attempts;platform_admin_mfa_state,PASS (2 pass),N/A,
test/db/refundRecoveryOperations.mysql.test.mjs,refundRecoveryOperations,billing_refund_operations;billing_refunds;platform_admin_sessions;platform_admin_step_up_sessions,PASS (4 pass),N/A,
