"REQUIREMENT_ID","NORMATIVE_TEXT","NORMATIVE_SOURCE","CURRENT_STATUS","SOURCE_EVIDENCE","TEST_EVIDENCE","RUNTIME_REACHABILITY","EXTERNAL_GATE","SOURCE_SOLVABLE","SOURCE_GAP","VALIDATION_GAP","PRIMARY_DOMAIN","DEPENDENCIES","WRITER"
"PCA-AI-001","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:182 - **PCA-AI-001** If any on-device content classification is applied to Mode B video metadata (e.g. title/description-based safety heuristics) it follows the same rules as PCA-FR-035 (deterministic first, on-device classification only for content already legitimately visible, no data leaves device in identifiable form). || docs\architecture\23_AI_ARCHITECTURE.md:7 PCA-AI-001: deterministic platform and parent decisions take precedence in this order: (1) legal/platform and explicit parent policy, (2) signed allow/deny/block rules, (3) deterministic safety heuristics, (4) local model output for an explicitly supported ambiguous input, then (5) an optional separately approved remote service. A model MUST NOT silently override an explicit parent allowlist for ordinary content; it may raise a review signal where product policy permits. || docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:9 | PCA-AI-001 | Normative text in 03_FUNCTIONAL_REQUIREMENTS.md | 03_FUNCTIONAL_REQUIREMENTS.md | 03_FUNCTIONAL_REQUIREMENTS | As stated by source / capability matrix | Defined; platform limits explicit where applicable | PCA architecture owner | Relevant PCA programme phase | T-AI-001 / architecture-to-implementation | Implemented behaviour satisfies cited normative statement and documented limitation | See doc 31 where applicable | DEFINED; IMPLEMENTATION TEST PENDING |","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:182; docs\architecture\23_AI_ARCHITECTURE.md:7; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:9; docs\implementation\PCA_IMPLEMENTATION_TRACEABILITY.md:44","PARTIAL","ios/PCA/AI/ClassifierRuntimeBoundary.swift (ClassifierRuntime protocol; CoreMLClassifierRuntime.classify(inputDigest:) now `throws ClassifierRuntimeError` instead of the prior round's fatalError -- ClassifierRuntimeError.modelSchemaNotWired carries a real, honest error description at line ~62 rather than crashing the process)","ios/PCATests/ClassifierRuntimeBoundaryTests.swift (FakeClassifierRuntime conformance; tests for .modelUnavailable, .killSwitchEngaged, .modelSchemaNotWired thrown-error paths, and the .available success path) -- real, non-trivial test coverage added this round where none existed before","UNRESOLVED","CLOUD_AI_OWNER_DECISION","CANDIDATE","PCA-FINAL-SOURCE-COMPLETION-100 second-audit reconciliation (post Writer63-73 integration, base e50a947). Round-7 (Writer71) meaningfully improves this from a crash-on-call placeholder to a typed, tested fail-safe error boundary -- a real safety improvement even though no concrete Core ML model/classifier engine exists yet on any platform in scope. Still no web-side AI surface (parent-web/platform-admin-web) or admin configuration UI for it. Runtime reachability: Runtime boundary itself has no production call site yet (grep across ios/PCA, ios/PCADeviceActivityMonitor, ios/PCAShieldAction, ios/PCAShieldConfiguration for ClassifierRuntime/CoreMLClassifierRuntime still finds matches only inside ClassifierRuntimeBoundary.swift + its test file) -- still orphaned interface-only scaffolding in terms of reachability, but no longer a crash-on-call landmine if it ever were wired in.","OPEN_OR_PARTIAL","PCA-14","","Writer81"
"PCA-AND-001","docs\architecture\06_ANDROID_ARCHITECTURE.md:30 **PCA-AND-001** The Child Agent MUST determine its active mode at runtime by querying actual `DevicePolicyManager` owner state (`isDeviceOwnerApp`/`isProfileOwnerApp`), not by a locally-stored flag the app sets for itself, so that a mode claim cannot desynchronize from actual OS authority (e.g. after the user manually removes device-owner status via factory reset or ADB). || docs\architecture\06_ANDROID_ARCHITECTURE.md:104 | Device-owner status removed (factory reset bypass attempt, ADB) | `DevicePolicyManager` owner-state query (PCA-AND-001) | Mode downgrades to Standard Mode claims only; tamper event raised; Protected-Mode-only enforcement (Section 4 rows) silently stops being claimed, not silently kept as a false claim | || docs\architecture\06_ANDROID_ARCHITECTURE.md:141 - [ ] PCA-AND-001 is implemented and covered by a test (doc 28) that forces device-owner removal and confirms the app correctly downgrades its own capability claims.","docs\architecture\06_ANDROID_ARCHITECTURE.md:30; docs\architecture\06_ANDROID_ARCHITECTURE.md:104; docs\architecture\06_ANDROID_ARCHITECTURE.md:141; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:10","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/platform/StandardDevicePolicyCapabilitySource.kt:17-18 (dpm.isDeviceOwnerApp/isProfileOwnerApp queried live not cached)","android/app/src/test/java/org/pca/app/platform/","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-2","","Writer74"
"PCA-AND-002","docs\architecture\06_ANDROID_ARCHITECTURE.md:45 **PCA-AND-002** Usage-event ingestion MUST run as a resilient background component (e.g. a scheduled/foreground-service-backed collector appropriate to the current Android background-execution model for the target API level) rather than only-on-foreground collection, so that usage during periods the Child Agent UI is not open is still captured; the specific background-execution mechanism (`WorkManager` periodic work vs. foreground service) is an implementation detail selected during build agains || docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:11 | PCA-AND-002 | Normative text in 06_ANDROID_ARCHITECTURE.md | 06_ANDROID_ARCHITECTURE.md | 06_ANDROID_ARCHITECTURE | As stated by source / capability matrix | Defined; platform limits explicit where applicable | PCA architecture owner | Relevant PCA programme phase | T-AND-002 / architecture-to-implementation | Implemented behaviour satisfies cited normative statement and documented limitation | See doc 31 where applicable | DEFINED; IMPLEMENTATION TEST PENDING | || docs\implementation\PCA_IMPLEMENTATION_TRACEABILITY.md:44 **Genuine new closures this round** (source that did not exist before this programme, not just newly-derived status for pre-existing source): the entire PIN configuration + biometric-gate + removal/disable decision subsystem (`PCA-ADD-ENR-013/014/016/017/018`, previously zero source anywhere, `NOT_STARTED` since the addendum was authored); the 8-state invitation lifecycle (`PCA-ADD-ENR-005/023`, was a 4-state model); QR code + Android App Link enrollment continuation (`PCA-ADD-ENR-002/008`); the","docs\architecture\06_ANDROID_ARCHITECTURE.md:45; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:11; docs\implementation\PCA_IMPLEMENTATION_TRACEABILITY.md:44","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/runtime/background/UsageIngestionWorker.kt; android/app/src/main/java/org/pca/app/runtime/background/BackgroundExecutionScheduler.kt; android/app/src/main/java/org/pca/app/runtime/graph/PcaAppGraph.kt:179","android/app/src/test/java/org/pca/app/runtime/background/WorkManagerBackgroundExecutionSchedulerTest.kt; android/app/src/test/java/org/pca/app/runtime/background/BackgroundWorkMetricsTest.kt","UNRESOLVED","","CANDIDATE","PCA-FINAL-SOURCE-COMPLETION-100 second-audit reconciliation (post Writer63-73 integration, base e50a947). CHANGED since first audit: was PARTIAL (""only on-demand/in-process collection exists... monitoring does not auto-resume after reboot""). Writer68 closed the resilient-background-component gap this round; usage ingestion now survives process death via WorkManager, not just foreground execution. Runtime reachability: GENUINELY SCHEDULED via WorkManager's enqueueUniquePeriodicWork, calling the exact same runUsageLocationIngestionCycle() production logic the foreground loop uses (single implementation, two callers, both Mutex-guarded against races).","OPEN_OR_PARTIAL","PCA-2","","Writer74-76"
"PCA-AND-003","docs\architecture\06_ANDROID_ARCHITECTURE.md:76 **PCA-AND-003** The break-enforcement suspension/allowlist set MUST always include the platform emergency-dialer package and any OS-designated emergency/SOS surface; a policy envelope that would remove emergency access from the allowlist MUST be rejected client-side regardless of parent signature validity (a local, non-overridable safety floor, distinct from and in addition to the signature/version checks in doc 05 Section 6). || docs\architecture\06_ANDROID_ARCHITECTURE.md:143 - [ ] PCA-AND-003's emergency-allowlist floor is covered by a test asserting a malicious/malformed policy envelope removing emergency access is rejected. || docs\architecture\07_IOS_ARCHITECTURE.md:82 **PCA-IOS-003** A policy envelope that would configure a shield covering the system Phone/Emergency-SOS surface MUST be rejected client-side regardless of signature validity — the same local, non-overridable safety floor pattern as PCA-AND-003 (doc 06), applied to the iOS shield model.","docs\architecture\06_ANDROID_ARCHITECTURE.md:76; docs\architecture\06_ANDROID_ARCHITECTURE.md:143; docs\architecture\07_IOS_ARCHITECTURE.md:82; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:12; docs\implementation\PCA_IMPLEMENTATION_TRACEABILITY.md:44","SOURCE_COMPLETE","android/app/src/main/java/org/pca/app/runtime/schedule/EmergencyAccessFloor.kt (new: unconditional, first-line, signature/validity-independent floor for the telephony system package) + ScheduleEvaluator.kt:31-36 (checked before any policy field is read)","android/app/src/test/java/org/pca/app/runtime/schedule/EmergencyAccessFloorTest.kt","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-2","","Writer74"
"PCA-DATA-001","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:239 - **PCA-DATA-001** Deletion is defined as cryptographic + storage deletion: for locally-held plaintext, secure overwrite/OS-delete of the record; for any encrypted replica PCA infrastructure has relayed or cached (e.g. an undelivered payload queued for an offline device), deletion of the ciphertext blob such that even PCA, which cannot decrypt it anyway, no longer retains the bytes past the family's retention window. || docs\architecture\11_DATA_RETENTION_DELETION.md:7 This document is the authoritative mechanism specification for retention and deletion — restated at the product-requirement level in doc 03 Section K (PCA-FR-100–105, PCA-DATA-001/002), owned in mechanism detail here. It defines the parent-selectable retention windows, exactly which entities (doc 10) each window applies to, the shorter location-retention rule, the deletion algorithm, ""delete now,"" family removal, offline-device deferral, tombstones, secure-deletion limits, and backup/export copy || docs\architecture\11_DATA_RETENTION_DELETION.md:185 - Doc 03 Section K (PCA-FR-100–105, PCA-DATA-001/002) for the product-facing requirement statements this document supplies mechanism for.","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:239; docs\architecture\11_DATA_RETENTION_DELETION.md:7; docs\architecture\11_DATA_RETENTION_DELETION.md:185; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:13","SOURCE_COMPLETE_EXTERNAL_GATE","backend/src/retention/deleteNow.ts; backend/src/retention/DeleteNowLedger.ts, InMemoryDeleteNowLedger.ts; backend/src/http/routes/retentionRoutes.ts (idempotent delete-now intake + audit); android/app/src/main/java/org/pca/app/persistence/retention/DeleteNowCoordinator.kt; backend/src/retention/deleteNow.ts; backend/src/retention/DeleteNowLedger.ts; backend/src/retention/InMemoryDeleteNowLedger.ts; backend/src/http/routes/retentionRoutes.ts","backend/test/retention/deleteNow.test.mjs; backend/test/retention/retentionRoutes.test.mjs; android/app/src/test/java/org/pca/app/persistence/DeleteNowCoordinatorTest.kt; android/app/src/test/java/org/pca/app/feature/settings/data/DeleteNowUseCaseTest.kt; backend/test/retention/retentionRoutes.test.mjs","UNRESOLVED","PRODUCTION_CRYPTO_SUITE","CANDIDATE","P23-Writer15B (2026-08-24), independently verified by direct source read: the local-plaintext half of this requirement (secure overwrite/OS-delete of locally-held records) is real and complete -- DeleteNowCoordinator.kt performs real, transactional Room deletion across every activity table for device/child/family scope, writes a non-sensitive count-only receipt and a tombstone record, and for family-wide deletion also purges the device's own local sync-outbox/receipt cache -- the on-device half of the ""encrypted replica relayed or cached"" clause. The backend-side half of that clause (deleting any ciphertext blob PCA infrastructure has relayed or cached for an offline device) is currently vacuous rather than unimplemented: no backend-side sync-outbox/queue module exists at all, consistent with no live family-sync transport existing yet (gated behind PRODUCTION_CRYPTO_SUITE elsewhere) -- there is structurally nothing for the backend to hold or delete until that transport exists. backend/src/retention/deleteNow.ts today is a scope-limited, idempotent planning/audit shell, not itself an execution point against backend-cached ciphertext.","OPEN_OR_PARTIAL","PCA-12","","Coordinator"
"PCA-DATA-002","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:240 - **PCA-DATA-002** Full details of the retention/deletion mechanism (exact schedule granularity, deletion-job design, cascading rules across data types) are owned by doc 11; this document states the product-facing requirement only. || docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:14 | PCA-DATA-002 | Normative text in 03_FUNCTIONAL_REQUIREMENTS.md | 03_FUNCTIONAL_REQUIREMENTS.md | 03_FUNCTIONAL_REQUIREMENTS | As stated by source / capability matrix | Defined; platform limits explicit where applicable | PCA architecture owner | Relevant PCA programme phase | T-DATA-002 / architecture-to-implementation | Implemented behaviour satisfies cited normative statement and documented limitation | See doc 31 where applicable | DEFINED; IMPLEMENTATION TEST PENDING |","docs\architecture\03_FUNCTIONAL_REQUIREMENTS.md:240; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:14","NOT_APPLICABLE","","","NOT_APPLICABLE","","NO_OR_NOT_APPLICABLE","","OPEN_OR_PARTIAL","PCA-12","","Coordinator"
"PCA-DATA-010","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:13 - **PCA-DATA-010** Every entity below is tagged with its system of record (doc 05 Section 5): child-device-local, parent-device-local (decrypted view + own encrypted replica), or central-service (Section 4). An entity with no tag is assumed child-device-local by default, since that is where family activity originates (doc 05 Section 3.2). || docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:201 | `Device.enrollmentState` diverges from doc 08's state machine (a second, ad hoc status field introduced during implementation) | Doc 32 traceability cross-check | Implementation defect; this document's PCA-DATA-010-adjacent rule (Section 3.3) is the single source of truth for the enum | || docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:15 | PCA-DATA-010 | Normative text in 10_DATA_MODEL_LOCAL_STORAGE.md | 10_DATA_MODEL_LOCAL_STORAGE.md | 10_DATA_MODEL_LOCAL_STORAGE | As stated by source / capability matrix | Defined; platform limits explicit where applicable | PCA architecture owner | Relevant PCA programme phase | T-DATA-010 / architecture-to-implementation | Implemented behaviour satisfies cited normative statement and documented limitation | See doc 31 where applicable | DEFINED; IMPLEMENTATION TEST PENDING |","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:13; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:201; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:15","SOURCE_COMPLETE","backend/migrations/0001_mysql_baseline.sql through 0015 (central-service schema contains only opaque/config/commercial entities, no activity tables); backend/test/db/schema-privacy.mysql.test.mjs enforces this as a regression guard","backend/test/db/schema-privacy.mysql.test.mjs","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-17","","Coordinator"
"PCA-DATA-011","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:14 - **PCA-DATA-011** No entity in Section 4 (activity entities) may have a central-service equivalent table — this is the schema-level instance of doc 05 PCA-FR-136 and doc 09 PCA-SEC-023; Section 7 enumerates the complete, deliberately minimal central-service model and nothing else may be added to it without a doc 00 Section 9 conflict entry. || docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:130 **PCA-DATA-014** No transient/in-flight data class in this section may be promoted to durable central-service storage without a doc 00 Section 9 conflict entry — ""just cache it a bit longer for reliability"" is exactly the kind of scope creep Section 2's PCA-DATA-011 boundary exists to prevent, and this document calls it out explicitly here as the most likely place such creep would first appear (a relay operator under load reaching for ""let's just keep queued messages longer""). || docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:134 Central service (Enrollment/Licensing Service + Relay, doc 05 Section 3.3/3.4) has a deliberately separate, minimal model — this table is the complete list; nothing else is added without a doc 00 Section 9 conflict entry (PCA-DATA-011):","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:14; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:130; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:134; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:194; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:16","SOURCE_COMPLETE","backend/test/db/schema-privacy.mysql.test.mjs; backend/test/schema-privacy.test.mjs; backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs","backend/test/db/schema-privacy.mysql.test.mjs","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-17","","Coordinator"
"PCA-DATA-012","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:15 - **PCA-DATA-012** Identifiers that cross the family/PCA-infrastructure boundary (any ID visible to the Enrollment Service or Relay, doc 09 Section 5.1) MUST be opaque (non-guessable, not derived from or reversible to a human-meaningful value like a child's name or a real device serial) — an opaque `familyId`/`deviceId` leaking to PCA infrastructure logs must not itself disclose family-identifying information beyond ""a family/device with this opaque ID exists."" || docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:23 - `familyId` (opaque, PCA-DATA-012) || docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:38 - `deviceId` (opaque, PCA-DATA-012)","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:15; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:23; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:38; docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:139; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:17","SOURCE_COMPLETE","backend/migrations/0001_mysql_baseline.sql:56 (family_id CHAR(36), opaque UUID, no name/PII column); enrollment_invitations/device tables use UUID-style opaque IDs throughout","backend/test/db/schema-privacy.mysql.test.mjs","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-17","","Coordinator"
"PCA-DATA-013","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:120 **PCA-DATA-013** `ParentActionAudit` and `TamperEvent` records are themselves subject to a *separate, longer* retention floor than general activity data (doc 11 Section 2's non-deletion list) — an audit trail that expires on the same short cycle as the activity it was meant to explain would defeat its own purpose; doc 11 Section 2 is the normative statement of this, this entity definition is where it is structurally anchored. || docs\architecture\11_DATA_RETENTION_DELETION.md:44 - **audit trail** — `ParentActionAudit` and `TamperEvent` (doc 10 Section 5, PCA-DATA-013) are exempt from the *general activity* retention window and instead use their own, longer-lived retention floor (Section 3.3) — an audit record that vanished on the same cycle as the activity it documents would defeat the audit trail's purpose. || docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:18 | PCA-DATA-013 | Normative text in 10_DATA_MODEL_LOCAL_STORAGE.md | 10_DATA_MODEL_LOCAL_STORAGE.md | 10_DATA_MODEL_LOCAL_STORAGE | As stated by source / capability matrix | Defined; platform limits explicit where applicable | PCA architecture owner | Relevant PCA programme phase | T-DATA-013 / architecture-to-implementation | Implemented behaviour satisfies cited normative statement and documented limitation | See doc 31 where applicable | DEFINED; IMPLEMENTATION TEST PENDING |","docs\architecture\10_DATA_MODEL_LOCAL_STORAGE.md:120; docs\architecture\11_DATA_RETENTION_DELETION.md:44; docs\architecture\32_TRACEABILITY_ACCEPTANCE_MATRIX.md:18","SOURCE_COMPLETE","backend/src/retention/policy.ts (AUDIT_RETENTION_FLOOR_MONTHS = 12); backend/src/retention/engine.ts (auditRetentionFloor = max(generalMonths, 12))","backend/test/retention/engine.test.mjs","CLAIMED_BY_MATRIX","","NO_OR_NOT_APPLICABLE","","","PCA-12","","Coordinator"
