ROUTE,ORIGINAL_FINDING,CURRENT_DISPOSITION,FIX_COMMIT,SOURCE_STATUS,BROWSER_STATUS,EXTERNAL_GATE,REMAINING_WORK,FINAL_CLASSIFICATION
parent-web /dashboard,Real data path always fails: CRYPTO_SUITE_APPROVED_FOR_PRODUCTION hardcoded false,RECLASSIFIED_EXTERNAL_GATE,37c70a4,PARTIALLY_FIXED (pendingRequestCount now links to /requests when nonzero; importantAlertCount left as plain text -- no alerts view exists anywhere in this app to link it to),NOT_TESTED,PRODUCTION_CRYPTO_SUITE (docs/release_readiness/external_gate_matrix.json),"AUDIT CORRECTION: the runtime-sync ""API path mismatch"" finding was mischaracterized as a simple rename. RealParentRuntimeSyncClient's expected contract (/api/sync/status, /last-sync, /endpoints/:id/{queue,pending}, /envelopes) is a parent-browser-facing read/status API with no backend route at all. backend/src/http/routes/runtimeSyncRoutes.ts's /v1/runtime-sync/* routes are a DIFFERENT actor's contract entirely -- a device-facing relay requiring a device's own challenge/response session (requireDeviceSession), with outbound/inbound message-batch semantics, not parent-browser cookie auth. Pointing the existing client at /v1/runtime-sync/* would not work (wrong auth model, wrong request/response shapes). A real parent-facing sync-status endpoint has never been built. This is a genuine backend gap, not a wiring fix -- reclassified NOT_STARTED accordingly. importantAlertCount additionally has no destination page to link to at all (a second, distinct real gap, not the same as the pendingRequestCount fix now shipped).",PARTIALLY_FIXED_SECONDARY_GAP_RECLASSIFIED_REAL_SOURCE_GAP
parent-web /children/:childId/overview,"ChildLayout <h1> renders the raw childId route param, never the child's displayName",FIXED_AWAITING_BROWSER,5da2d82,FIXED,BLOCKED (content requires PRODUCTION_CRYPTO_SUITE to render at all -- cannot be browser-confirmed until that gate clears),"PRODUCTION_CRYPTO_SUITE (blocks confirming the fix renders, not the fix itself)","Secondary gaps (MISSING_ACTION links, same runtime-sync API_MISMATCH as Dashboard) remain unaddressed.",FIXED_SOURCE_UNCONFIRMABLE_UNTIL_GATE_CLEARS
parent-web /children/:childId/screen-time,No backend route exists at all for screen-time reads/writes; client mutation path throws not-implemented,RECLASSIFIED_EXTERNAL_GATE,84232c7,"FIXED (Writer P0-B, backend suite 1725/1725): RealParentFamilyDataGateway.updateScreenTime no longer throws -- constructs a real SCHEDULE_POLICY_V1-shaped plaintext definition via schedulePolicyAuthoring.ts (mirrors safeZonePolicyAuthoring.ts's exact chain) and submits through a new EDIT_CHILD_POLICY/CHILD_PROFILE authorization pre-check (backend/src/http/routes/childPolicyRoutes.ts) in front of the existing, already-real OutboundRelayService relay. Resolves to PENDING only, never APPLIED.",NOT_TESTED (unit + mocked coverage only; unreachable end-to-end until PRODUCTION_CRYPTO_SUITE clears),"PRODUCTION_CRYPTO_SUITE (docs/release_readiness/external_gate_matrix.json) -- the real encryption boundary (SchedulePolicyFamilyEncryptionBoundary) is deliberately UnavailableSchedulePolicyAuthoring until a reviewed KDF/AEAD/KEM exists, same gate blocking Safe Zone/Dashboard/Requests.","HONEST SCOPE GAP flagged by the implementer, not silently closed: Android's real SCHEDULE_POLICY_V1 wire contract (SchedulePolicyEnvelopePayload.kt) has no field for continuousUseLimitMinutes/breakDurationMinutes -- parent-web's plaintext definition is shaped around the current domain model, not yet a byte-for-byte mirror of the Android contract. Mapping this is a separate, not-yet-made product/contract decision for whoever builds the real encryption boundary, not a wiring task -- does not block anything since the whole path is unreachable pending the crypto gate anyway.",FIXED_SOURCE_EXTERNALLY_GATED_WITH_DOCUMENTED_WIRE_CONTRACT_GAP
parent-web /children/:childId/apps,Same missing backend as screen-time; toggle() silently swallows every failure,RECLASSIFIED_EXTERNAL_GATE,84232c7,"FIXED (Writer P0-B, same pass as screen-time -- one underlying SCHEDULE_POLICY_V1 policy object, not two backends): RealParentFamilyDataGateway.updateAppRule no longer throws, submits an APP_RULE-kind schedule-policy definition through the same EDIT_CHILD_POLICY authorization + relay path. The independently-actionable silent-catch fix on toggle() from earlier this session (1973cc7) remains in place.",NOT_TESTED (unit + mocked coverage only; unreachable end-to-end until PRODUCTION_CRYPTO_SUITE clears),PRODUCTION_CRYPTO_SUITE -- same gate as screen-time above.,None beyond the shared crypto gate -- the per-app allow/deny + daily-limit definition has no analogous wire-contract gap (Android AppRule concept already matches).,FIXED_SOURCE_EXTERNALLY_GATED
parent-web /requests,RealRequestClient.decide()/grantBonusTime() unconditionally threw a hardcoded stub despite childRequestRoutes.ts being fully built and wired,RECLASSIFIED_EXTERNAL_GATE,d496f32,FIXED (unit + mocked-E2E verified: 24 tests incl. new realRequestClient.test.ts),"CONFIRMED (real Chromium, real backend, session fork 2026-08-27): RequestClient.listRequests itself requires a TRUSTED browser endpoint and fails closed with an honest ""current state is BROWSER_NOT_TRUSTED"" message -- the SAME broad family-data trust-pairing gate that blocks Dashboard/Children, not a narrower gate. The list never renders far enough to exercise the fixed decide()/grantBonusTime() methods at all.","PRODUCTION_CRYPTO_SUITE / browser-trust-pairing (same gate as Dashboard/Children) -- confirmed by direct real-browser observation to be the actual blocker, superseding the original UnavailableTrustSetRoleResolver characterization below. UnavailableTrustSetRoleResolver (backend/src/main.ts) remains a real, SEPARATE, second gate inside childRequestRoutes.ts's decide() authorization check that would still apply once trust-pairing clears -- even a correct real call would then fail closed with 403 NOT_AUTHORIZED_TO_DECIDE until a real trust-set source is wired.","Real-browser click-through (Approve/Deny/Grant) cannot be performed at all -- the page never gets past the list-load trust gate to show any action button. This is a genuine external gate, not an unverified-but-working fix; corrected from FIXED_AWAITING_BROWSER since ""awaiting browser"" implied only a verification step was missing, not a further gate.",FIXED_SOURCE_BLOCKED_BY_BROWSER_TRUST_GATE_BEFORE_DECIDE_EVEN_REACHABLE
parent-web /wellbeing-messages,WellbeingMessageAdminClient has no real backend/client implementation anywhere; toggleCurated/duplicate/archive/restore/saveDraft all silently swallowed failures,RECLASSIFIED_NOT_DEFECT,3d43f7d (silent-catch portion only),PARTIAL (silent-catch fixed; backend deliberately not built),NOT_TESTED,none -- not a pending-review gate; a deliberate scope decision,"domain/wellbeing.ts's own header states this is 'the UI-side data shape for the future Agent-8 wellbeing message-control feature... Storage/delivery authority is out of scope here.' Confirmed by unavailableProviders.ts grouping FamilyAuthorityGateway and WellbeingMessageAdminClient together as 'still genuinely unimplemented' (distinct from the KNOWN_BACKEND_INTEGRATION_ACTION 'just needs a token accessor' category). Building a backend here would be scope creep against the accepted architecture, not a defect fix.",FUTURE_SCOPE_NOT_A_CURRENT_DEFECT
parent-web /family/members,No family-authority backend exists at all (UnavailableFamilyAuthorityGateway always rejects); demo-only in production,NOT_STARTED,none,UNCHANGED,"CONFIRMED (real Chromium, real backend, session fork 2026-08-27): the honest fail-closed message renders correctly (""FamilyAuthorityGateway.listMembers has no real (non-fixture) backend implementation yet""), in both EN and AR (dir=rtl confirmed), clean console.","none (no real FamilyAuthorityGateway implementation exists anywhere in this repository -- confirmed by direct search; unlike TrustSetRoleResolver, which has a real FamilyTrustSetRoleResolver class ready but unwired)","Backend foundation landed (a84da80): family_member_invitations migration + FamilyMemberInvitationService (create/list/revoke/accept), mechanically cloned from the existing enrollment-invitation pattern. Real HTTP routes + parent-web client (Writer P0-C) is in progress in a separate pass.",REAL_SOURCE_GAP
parent-web /family/devices,Two independent gates block core function: crypto-review blocks device-status list; missing actor-device-session ceremony blocks enrollment/pairing writes,RECLASSIFIED_EXTERNAL_GATE,249eee8,PARTIALLY_FIXED (the protectionAdministration i18n namespace -- 47 leaf strings across 42 keys -- now exists in both en.json/ar.json; ProtectionAdministrationPanel.tsx calls t() with the real keys instead of English defaultValue fallbacks; verified in a new Arabic/RTL component test),NOT_TESTED,PRODUCTION_CRYPTO_SUITE (device list) + the same not-yet-built browser actor-device-session-token ceremony gating Safe Zone/Retention/Requests,The i18n-orphaning defect is fixed. What remains for this route is only the two pre-existing external gates named above (PRODUCTION_CRYPTO_SUITE for the device list; the not-yet-built actor-device-session-token ceremony for enrollment/pairing writes) plus the FamilyAuthorityGateway gap shared with Members.tsx for removal-approval flows -- none of which are repo-solvable in this pass.,I18N_DEFECT_FIXED_REMAINDER_EXTERNALLY_GATED
parent-web /privacy/retention,REAL backend (retentionRoutes.ts) exists but RealRetentionClient fails closed with SERVICE_SESSION_UNAVAILABLE outside demo -- no browser-reachable bearer-token/family-context flow,RECLASSIFIED_EXTERNAL_GATE,26ab558,PARTIALLY_FIXED (localEnforcementNotice/auditRetentionNotice now render under the page description; UNCHANGED for the underlying RealRetentionClient plumbing),NOT_TESTED,Same actor-token/session-issuance ceremony gap as billing/deviceEnrollment/safeZones (KNOWN_BACKEND_INTEGRATION_ACTION),The disclosure-copy defect is fixed. What remains is purely the pre-existing external gate (no browser-reachable bearer-token/family-context flow) -- not a repo-solvable gap.,I18N_COPY_DEFECT_FIXED_REMAINDER_EXTERNALLY_GATED
parent-web /privacy/export,Same session-bearer-token gap as Retention,RECLASSIFIED_EXTERNAL_GATE,26ab558,"PARTIALLY_FIXED (scopeNotice/externalCopyNotice now render under the page description -- this also covers the backend EXPORT_CREATION_DISCLOSURE code returned in ExportRequestResult.disclosures, surfaced as the same static copy rather than a raw enum dump)",NOT_TESTED,Same actor-token/session-issuance ceremony gap,The disclosure-copy defect is fixed. What remains is purely the pre-existing external gate (same session-bearer-token ceremony gap as Retention) -- not a repo-solvable gap.,I18N_COPY_DEFECT_FIXED_REMAINDER_EXTERNALLY_GATED
