GATE_ID,REGISTER_STATUS,CURRENT_STATE,PUBLIC_A,AUTH_B,PARENT_C,ANDROID_D,IOS_FUTURE,BILLING_FUTURE,WHY
PRODUCTION_CRYPTO_SUITE,SOURCE_DERIVED,BLOCKED,NO,NO,YES,YES,YES,NO,"Derived from backend/src/main.ts by Invoke-ReleaseGateCheck.ps1:48-59 BEFORE the external matrix is read. Does NOT block AUTH_B: verifyEmail marks the account VERIFIED and issues a session even when family genesis fails, so identity and login work without it. Gates family genesis, family authority, E2EE and device trust"
REAL_UAT,SOURCE_DERIVED,NOT_EXECUTED,YES,YES,YES,YES,YES,YES,"Read from uat_execution_log.json by Invoke-ReleaseGateCheck.ps1:69-77 BEFORE the external matrix. Currently unscoped, so it blocks every release including PUBLIC_A. Must become release-scoped: a Public UAT pass must not require an Android device UAT"
DEPLOYED_TLS_TERMINATION_CONFIG,IN_JSON_REGISTER,EXTERNAL,YES,YES,YES,YES,YES,YES,"Any HTTPS publication needs TLS termination configured. The only JSON-register gate that genuinely blocks PUBLIC_A"
OWNER_VISUAL_UAT,PROPOSED_MISSING,IN_PROGRESS,YES,NO,NO,NO,NO,NO,"Owner visual UAT of the Public site is still IN_PROGRESS and is a genuine Release A blocker. Absent from the JSON register"
PUBLIC_REPLY_IDENTITY,PROPOSED_MISSING,NOT_READY,YES,PARTIAL,NO,NO,NO,NO,"Inbound delivery to the four public addresses was verified, but public Send-As / reply identity remains NOT_READY. A contact page that cannot reply is a Release A blocker. Absent from the JSON register"
PRODUCTION_EMAIL_DELIVERY,PROPOSED_MISSING,NOT_STARTED,NO,YES,YES,PARTIAL,PARTIAL,NO,"PROPOSED NEW GATE. No email provider integration exists in backend/src at all. Requires: an approved real provider; a production adapter configured; verification-email delivery proven externally; reset-email delivery proven externally; sender identity and domain authentication (SPF/DKIM/DMARC) verified; and no test-sandbox adapter active in production. Without it no account can reach VERIFIED. ANDROID_D is PARTIAL only where enrollment invitations travel by email"
PAYMENT_PRODUCTION_CERTIFICATION,PROPOSED_MISSING,OPEN,NO,NO,NO,NO,NO,YES,"Specified in six documents but ABSENT from external_gate_matrix.json, so it can never block any release. Governs real-money go-live"
CRYPTO_SECURITY_REVIEW,IN_JSON_REGISTER,BLOCKED,NO,NO,YES,YES,YES,NO,"The human review itself. Does not block AUTH_B identity; gates family functionality in PARENT_C and device trust in ANDROID_D"
PRODUCTION_CRYPTO_SECURITY_REVIEW,IN_JSON_REGISTER,BLOCKED,NO,NO,YES,YES,YES,NO,"Duplicate of CRYPTO_SECURITY_REVIEW"
CRYPTO_ACTIVATION,IN_JSON_REGISTER,BLOCKED,NO,NO,YES,YES,YES,NO,"Activation half of the crypto review"
ANDROID_REAL_DEVICE_UAT,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,YES,NO,NO,"Android hardware UAT only"
ANDROID_APP_LINK_ASSETLINKS_HOSTING,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Served FROM the Public host but needed only by Android"
ANDROID_PHYSICAL_INSTALL_CONTINUATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Android distribution path"
DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Android device-owner authority on real hardware"
REAL_DEVICE_TELEPHONY_UAT,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Carrier and hardware dependent"
REAL_DEVICE_TELEPHONY_SMS_UAT,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Carrier and hardware dependent"
CAMERA_REAL_DEVICE_VALIDATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"OEM camera stacks; eye-distance proximity"
OFFLINE_DEVICE_INTERRUPTION_RECOVERY_VALIDATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"Device-lab interruption and recovery scenarios"
OEM_DEVICE_DIVERSITY_VALIDATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"OEM dialer and behaviour diversity"
PCA_DEC_009_DISCLOSURE_TEXT,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,YES,NO,NO,"Android battery-budget disclosure wording"
PENDING_OWNER_DECISION,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,YES,NO,NO,"PCA-DEC-002/014/015 are Android provisioning decisions"
IOS_MAC_XCODE,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,YES,NO,"iOS toolchain only; needs a macOS host with Xcode"
IOS_FAMILY_CONTROLS_ENTITLEMENT,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,YES,NO,"Apple-granted entitlement only"
IOS_PHYSICAL_DEVICE,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,YES,NO,"iOS hardware only; simulator cannot exercise Family Controls"
REQUIRES_ENTITLEMENT,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,YES,NO,"Duplicate of IOS_FAMILY_CONTROLS_ENTITLEMENT"
PAYMENT_PROVIDER_SELECTION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,NO,YES,"Commercial activation only. Must NOT be used as a generic provider gate for email - see PRODUCTION_EMAIL_DELIVERY"
MERCHANT_ACCOUNT_APPROVAL,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,NO,YES,"Merchant onboarding and approval"
SUPPORTED_CHARGE_CURRENCIES,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,NO,YES,"Commercial and finance decision"
SUPPORTED_SETTLEMENT_CURRENCIES,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,NO,YES,"Finance and settlement decision"
SETTLEMENT_BANK_CONFIGURATION,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,NO,NO,YES,"Provider-approved bank account configuration"
YOUTUBE_MODE_B_POLICY_REVIEW,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,PARTIAL,PARTIAL,NO,"Protection feature; Mode B is flag-disabled and provably inert"
YOUTUBE_PLATFORM_API_PARTNERSHIP,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,PARTIAL,PARTIAL,NO,"Partnership required; code fails closed without it"
CLOUD_AI_OWNER_DECISION,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,PARTIAL,PARTIAL,NO,"Classifier siting decision; no cloud AI path is active"
PLATFORM_ADMIN_ALERT_DELIVERY,IN_JSON_REGISTER,EXTERNAL,NO,PARTIAL,PARTIAL,PARTIAL,NO,NO,"Platform-admin surface; sits outside the A-D release ladder"
DEPLOYED_LOG_METRICS_PIPELINE_CONFIG,IN_JSON_REGISTER,EXTERNAL,NO,PARTIAL,PARTIAL,PARTIAL,NO,NO,"Relay and backend log shipping"
OBSERVABILITY_PIPELINE,IN_JSON_REGISTER,EXTERNAL,NO,NO,PARTIAL,NO,NO,NO,"Platform-admin dashboard infrastructure"
PRODUCER_CATALOGUE_AUDIT_SIGNOFF,IN_JSON_REGISTER,BLOCKED,NO,NO,YES,NO,NO,NO,"parent-web Transparency.tsx producer catalogue"
TELEMETRY_ACTIVATION_OWNER_SIGNOFF,IN_JSON_REGISTER,BLOCKED,NO,NO,NO,NO,NO,NO,"DEFECT: gates ACTIVATION of telemetry. Closing it means activating telemetry, so it can never legitimately close and blocks no release - a permanent false blocker"
ANDROID_RELEASE_SIGNING_CONFIG,IN_JSON_REGISTER,EXTERNAL,NO,NO,NO,YES,NO,NO,"No release buildType/signing configuration exists and no signed release artifact has ever been produced; keystore and Play App Signing are owner-held. Blocks only the installable Android release"
PRODUCTION_EMAIL_CREDENTIAL_ROTATION,IN_JSON_REGISTER,BLOCKED,NO,YES,YES,PARTIAL,PARTIAL,NO,"Owner-reported compromised SMTP relay credential (2026-09-08). Hard blocker wherever PCA sends account mail (AUTH_B, PARENT_C); conditional where enrollment invitations may travel by email (ANDROID_D, IOS_FUTURE). Repository cannot verify rotation"
