ID,PHASE,SOURCE_COMPLETE,VALIDATED_COMPLETE,PRODUCTION_READY,TEST_EVIDENCE,EXTERNAL_GATE,OPEN_ENGINEERING_GAP,OPEN_EXTERNAL_GAP,EVIDENCE_PATH
PCA-ADD-BILL-001,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/plan.ts | backend/migrations/0007_billing_core.sql
PCA-ADD-BILL-002,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCorePriceBookConcurrency.mysql.test.mjs; backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/priceBook.ts
PCA-ADD-BILL-003,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/subscription.ts
PCA-ADD-BILL-004,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs; backend/test/billing/invoiceIssuance.test.mjs; backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/invoice.ts; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-005,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs; backend/test/billing/invoiceIssuance.test.mjs; backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/invoice.ts | backend/migrations/0007_billing_core.sql; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-005A,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCoreQuoteImmutability.mysql.test.mjs,,,,backend/src/billing/quote.ts | platform-admin-web/src/pages/billing/BillingQuotes.tsx
PCA-ADD-BILL-006,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs; backend/test/billing/invoiceIssuance.test.mjs; backend/test/db/webhookService.mysql.test.mjs,,,,backend/src/billing/payment.ts; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts
PCA-ADD-BILL-007,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/payment.ts
PCA-ADD-BILL-008,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCoreSchemaPrivacy.mysql.test.mjs; backend/test/billing/schemaPrivacy.test.mjs,,,,backend/src/billing/paymentMethod.ts
PCA-ADD-BILL-009,PCA-BILL-1,YES,NO,NO,backend/test/db/billingCore.mysql.test.mjs,,,,backend/src/billing/refund.ts | backend/src/billing/refundOrchestration/RefundOrchestrationService.ts
PCA-ADD-BILL-010,PCA-BILL-1,YES,NO,NO,,,,,backend/src/billing/dispute.ts
