TABLE_NAME,COLUMN_NAME,DATA_TYPE,PRIVACY_CLASS,RATIONALE
account_entitlements,family_id,varchar(128),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
account_entitlements,plan_ref,varchar(32),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
account_entitlements,parent_member_limit,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,managed_device_limit,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,parent_member_used_count,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,managed_device_active_count,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,managed_device_reserved_count,int,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,over_limit_parent_member,tinyint(1),OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,over_limit_managed_device,tinyint(1),OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,revision,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
account_entitlements,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
account_entitlements,updated_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_commercial_markets,commercial_market,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_commercial_markets,default_currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_country_market_rules,country_code,char(2),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_country_market_rules,commercial_market,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_country_market_rules,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_currencies,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_currencies,minor_unit_exponent,tinyint unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_currencies,enabled,tinyint(1),OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_disputes,dispute_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_disputes,payment_transaction_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_disputes,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_disputes,evidence_submitted_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_disputes,evidence_due_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_disputes,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_disputes,updated_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_invoice_lines,invoice_line_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoice_lines,invoice_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoice_lines,description,varchar(255),READABLE_PARENT_DATA,"Parent-visible billing/display label (e.g. invoice line description, masked card label) — not child/family activity content."
billing_invoice_lines,line_type,varchar(32),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_invoice_lines,amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_invoice_lines,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_invoice_lines,quantity,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_invoice_lines,plan_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoice_lines,price_book_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoice_lines,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_invoices,invoice_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoices,account_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoices,subscription_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_invoices,status,varchar(16),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_invoices,currency_code,char(3),OPERATIONAL_METADATA,Closed-vocabulary status/type/category/currency/market column.
billing_invoices,total_amount_minor,bigint,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_invoices,created_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_invoices,due_at,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_invoices,period_start,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_invoices,period_end,datetime(3),OPERATIONAL_METADATA,Timestamp.
billing_payment_attempts,payment_attempt_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,account_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,invoice_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,increase_request_ref,varchar(64),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,payment_method_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,quote_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,price_book_id,char(36),OPAQUE_IDENTIFIER,Opaque application identifier (see PCA_RELATIONSHIP_ENFORCEMENT_MATRIX.md for FK/soft-reference classification).
billing_payment_attempts,price_book_version,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
billing_payment_attempts,target_device_limit,int unsigned,OPERATIONAL_METADATA,"Numeric/boolean operational counter, limit, flag, rate, or version."
