KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED
a11y.skipToContent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",a11y,Skip to main content,تخطَّ إلى المحتوى الرئيسي,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
accessibility.barrier.body,/ar/accessibility/,Accessibility,barrier,"If something in PCA makes it difficult to complete a task, we want to know. PCA has not opened its reporting channels yet; they will be published on the Contact page before PCA opens to families. When they open, please avoid sharing sensitive child information.",إذا وجدت شيئًا في PCA يصعّب عليك إكمال مهمة، فنحن نريد أن نعرف بذلك. لم تفتح PCA قنوات الإبلاغ بعد، وستُنشر في صفحة التواصل قبل أن تُفتح PCA للأسر. وعند فتحها، يرجى عدم مشاركة معلومات حساسة عن الطفل.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
accessibility.barrier.title,/ar/accessibility/,Accessibility,barrier,Tell us about a barrier,أخبرنا عن أي عائق,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
accessibility.cta.contact,/ar/accessibility/,Accessibility,cta,Contact Accessibility,التواصل بخصوص إمكانية الوصول,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
accessibility.goals.items,/ar/accessibility/,Accessibility,goals,"[1] keyboard navigation;
[2] visible focus states;
[3] semantic headings and form labels;
[4] screen-reader support;
[5] sufficient contrast;
[6] reduced motion;
[7] suitable touch targets;
[8] responsive mobile/tablet/desktop layouts;
[9] English LTR and Arabic RTL.","[1] التنقل بلوحة المفاتيح؛
[2] حالات تركيز واضحة؛
[3] عناوين وتسميات نماذج دلالية؛
[4] دعم قارئات الشاشة؛
[5] تباين مناسب؛
[6] تقليل الحركة حسب تفضيلات المستخدم؛
[7] أهداف لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية LTR والعربية RTL.",NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
accessibility.goals.lead,/ar/accessibility/,Accessibility,goals,We design and test for:,نصمم ونختبر من أجل:,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
accessibility.goals.title,/ar/accessibility/,Accessibility,goals,Our accessibility goals,أهدافنا,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
accessibility.hero.body,/ar/accessibility/,Accessibility,hero,"Accessibility is part of product quality, not an optional extra.",إمكانية الوصول جزء من جودة المنتج، وليست إضافة اختيارية.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
accessibility.hero.title,/ar/accessibility/,Accessibility,hero,Digital child protection should be usable by more families,حماية الطفل الرقمية يجب أن تكون قابلة للاستخدام من قبل أسر أكثر,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
accessibility.seo.description,/ar/accessibility/,Accessibility,seo,"PCA's public and Parent experiences are designed for keyboard access, screen readers, responsive devices, reduced motion and English/Arabic use.",تُصمم تجارب PCA العامة وتجربة الوالدين لتدعم لوحة المفاتيح وقارئات الشاشة والحركة المخففة والعربية والإنجليزية ومختلف أحجام الأجهزة.,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
accessibility.seo.title,/ar/accessibility/,Accessibility,seo,PCA Accessibility — Designing for More Families,إمكانية الوصول في PCA — تصميم يخدم أسرًا أكثر,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
brand.homeLink,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",brand,PCA home,الصفحة الرئيسية لـ PCA,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
contact.categories.items,/ar/contact/,Contact,categories,"[1] General inquiry
[2] Technical support
[3] Privacy question
[4] Partnership
[5] Accessibility
[6] Report security concern","[1] استفسار عام
[2] دعم فني
[3] سؤال عن الخصوصية
[4] شراكة
[5] إمكانية الوصول
[6] الإبلاغ عن مشكلة أمنية",NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
contact.categories.title,/ar/contact/,Contact,categories,Categories,الفئات,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
contact.hero.body,/ar/contact/,Contact,hero,"Choose the topic that best matches your question. Please do not include private information about your child unless PCA has specifically requested a safe, necessary detail.",اختر الموضوع الأقرب إلى استفسارك. يرجى عدم إدخال معلومات خاصة عن طفلك إلا إذا طلب فريق PCA معلومة محددة وضرورية بطريقة آمنة.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
contact.hero.title,/ar/contact/,Contact,hero,How can we help?,كيف يمكننا مساعدتك؟,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
contact.privacyNote.body,/ar/contact/,Contact,privacyNote,"Please do not include child messages, browsing history, precise location, photos, videos or other sensitive child content.",يرجى عدم تضمين رسائل الطفل أو سجل التصفح أو الموقع الدقيق أو الصور أو الفيديوهات أو أي محتوى حساس آخر.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
contact.privacyNote.title,/ar/contact/,Contact,privacyNote,Privacy note,تنبيه الخصوصية,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
contact.seo.description,/ar/contact/,Contact,seo,"PCA is not able to receive messages yet. Support, privacy, accessibility and security contact channels will be published before PCA opens to families.",لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل أن تُفتح PCA للأسر.,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
contact.seo.title,/ar/contact/,Contact,seo,Contact PCA — Channels Opening Before Launch,تواصل مع PCA — الدعم والخصوصية والاستفسارات,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
cta.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,Learn About Access,تعرّف على إتاحة PCA,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
cta.allFaqs,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",cta,View All FAQs,جميع الأسئلة الشائعة,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
