COPY_ID,PLATFORM,FILE,KEY_OR_LOCATION,LANGUAGE,CURRENT_TEXT,AUDIENCE,CURRENT_CONCEPT,FAMILY_TERM_PRESENT,TERM_NECESSARY,RISK_TYPE,RECOMMENDED_TEXT,ACTION,OWNER,STATUS,TEST_EVIDENCE
COPY-002,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 2,EN,not real family data,parent,System disclaimer about synthetic dev data scoped to the whole account. Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 2 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-003,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 3,EN,"""family"": ""Family""",parent,Account nav section label alongside Users & Members / Roles & Permissions / Devices. Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 3 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-004,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 4,EN,family authority gateway,parent,Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 4 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-005,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 5,EN,sensitive family-authority action,parent,Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 5 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-006,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 6,EN,family decryption authority,parent,Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 6 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-007,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 7,EN,Pairing this browser with the family is required before you can see family data,parent,Trusted-browser pairing / trust-boundary language. Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 7 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-008,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 8,EN,trusted and can decrypt family data,parent,Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 8 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-009,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 9,EN,does NOT by itself grant family decryption authority,parent,Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.,yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 9 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-010,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 10,EN,"""custom"": ""Family custom messages""",parent,"Classifies message authorship (family/parent-authored vs curated), not the child experience of receiving it. Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.",yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 10 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
COPY-011,ParentWeb,parent-web/src/i18n/locales/en.json,RECOVERY_TERMINOLOGY_AUDIT.csv row 11,EN,private family content,parent,"Privacy/security classification of content, not child-experience narrative. Legitimate account/authority/trust-boundary/billing scope spanning the whole family account — not child-specific data. Left unchanged per Owner instruction.",yes,yes,none,(no change),KEEP_LEGITIMATE_FAMILY_TERM,PPR-2 / writer82a (PCA-FR-112),PPR2_ALREADY_OWNS,"parent-web/tests/i18n/terminologyFamilyToChildren.test.ts, row 11 (branch pca-r2-writer82a-terminology-family-to-children-rewording-lane, NOT yet merged to pca-dev)"
