ACTION_ID,PRIORITY,CATEGORY,DOMAIN,ACTION,WHY_IT_MATTERS,EVIDENCE,BLOCKS_RELEASE,EFFORT
FABLE-A001,P0,REPO_SOLVABLE,Release Gates,"Add release scoping to the WHOLE gate architecture, not just external_gate_matrix.json","Invoke-ReleaseGateCheck.ps1 evaluates PRODUCTION_CRYPTO_SUITE (derived from backend/src/main.ts, :48-59) and REAL_UAT (from uat_execution_log.json, :69-77) BEFORE it ever reads the external matrix at :108. Adding releaseScope only to the JSON would leave Public Release A still blocked by a source-derived crypto gate and by an unexecuted Android-inclusive UAT. Scoping must cover all four layers: (1) source-derived crypto gates, (2) REAL_UAT, (3) external_gate_matrix gates, (4) future provider/store/security gates. Release targets: PUBLIC_A, AUTH_B, PARENT_C, ANDROID_D, IOS_FUTURE, BILLING_FUTURE. The checker must evaluate only gates relevant to the selected release. The docstring at :20-22 already promises release-scope filtering that :113-118 never implemented","Invoke-ReleaseGateCheck.ps1:48-59 (crypto), :69-77 (REAL_UAT), :108-118 (external matrix); PCA_PUBLIC_IMPLEMENTATION_PROGRAMME.md:48",ALL,M
FABLE-A002,P0,REPO_SOLVABLE,Testing,Migrate backend/test/db/parentAccount.mysql.test.mjs from repository.create() to createAtomically(),"All 4 DB-suite failures are this one drift. One of them (#311) is a cross-account IDOR defence test, so that security property is currently asserted by NO executing test. The in-memory double retains create() which is why 2214 non-DB tests stay green",Coordinator-executed: 485 tests 477 pass 4 fail; FamilyMemberInvitationRepository.ts:105 has only createAtomically,AUTH_B/PARENT_C,S
FABLE-A003,P0,REPO_SOLVABLE,Testing,Add a conformance test asserting every double in backend/test/support/ implements its production interface (or type-check the .mjs test tree),Backend tests are .mjs and NOT type-checked. This exact drift class has already killed 36 tests including IDOR tests by name. inMemoryEntitlementRepository.mjs is the next one waiting - 8 of 10 methods,"Coordinator-verified: getEffectiveSnapshotForFamily absent from the double, called unguarded by EntitlementService",ALL,M
FABLE-A004,P0,OWNER_ACTION,Public Release A,Regenerate RELEASE_A_ARABIC_REVIEW_PACK.csv and RELEASE_A_ARABIC_OWNER_SIGNOFF.csv from the live 193-key corpus BEFORE OD-12 is signed,"The pack is keyed to the older 189-key corpus. At least 19 live Arabic keys have never been reviewed, including every string on the /download/ page. OD-12 would be signed against a corpus that is short. NOTE: this is a genuine Release A blocker; the two public videos are NOT - unavailable videos render an honest Coming Later poster-and-transcript card with no video element emitted",Coordinator-executed set arithmetic; the build itself reports 193 pending and 37 new copy,PUBLIC_A,S
FABLE-A005,P0,SECURITY_REVIEW,Production Crypto,Commission the human production-crypto security review,"Production wires verifiers that return false unconditionally. Consequence chain: no device sessions, no E2EE envelopes, family genesis fails so familyId is null, and every parent action is then denied. The review package exists but its findings document is an EMPTY TEMPLATE - the review has not been performed","main.ts:287,313,358,675; docs/security/production-crypto-review/ findings template empty",PARENT_C/ANDROID_D,XL
FABLE-A006,P0,EXTERNAL_PROVIDER,Parent Identity,Select an email provider and build the production email integration from zero (AUTH_B blocker),"NOT_STARTED, not unwired: zero provider code and zero mail dependencies repo-wide. markVerified has exactly ONE caller (inside verifyEmail), so no account can reach VERIFIED and no parent can log in. The send failure is deliberately swallowed, so the parent sees a 202 and waits forever. THIS IS THE AUTH_B BLOCKER - it is NOT a payment-provider concern and must not be filed under PAYMENT_PROVIDER_SELECTION. Crypto is NOT required for auth-only Release B: verifyEmail marks the account VERIFIED and issues a session even when family genesis fails and familyId comes back null","ParentAccountService.ts:173-177 (swallow), :231-235 (markVerified called regardless of genesis outcome), :343 (login requires VERIFIED); zero mail dependencies in backend/package.json",AUTH_B/PARENT_C,L
FABLE-A007,P0,REPO_SOLVABLE,E2EE Sync,Fix the resolveEnvelopeContext placeholder BEFORE activating production crypto,It returns senderPublicKey:'' and zero trust-set/key epochs. It is currently harmless only because the envelope verifier rejects everything. Activating crypto without fixing it converts a dormant placeholder into a live anti-downgrade hole,main.ts:793-799,PARENT_C/ANDROID_D,M
FABLE-A008,P1,REPO_SOLVABLE,Family Isolation,Add family scoping and a child-membership check to the eye-protection READ path,VERIFIED LIVE cross-family read and existence oracle. EyeProtectionSettingsService.get() is an unauthorized pass-through while updateReminders() correctly authorizes; the repository SQL is WHERE child_profile_id = ? and ignores familyId. A parent in family A supplying family B's childProfileId receives B's row including B's family_id. This falsifies PARENT_CROSS_FAMILY_READS=0 and CROSS_FAMILY_EXISTENCE_ORACLES=0,EyeProtectionSettingsService.ts:48-50; MySqlEyeProtectionSettingsRepository.ts:29-38; eyeProtectionRoutes.ts:118-126,PARENT_C,S
FABLE-A009,P1,REPO_SOLVABLE,Canonical DB,"Harden the database environment invariants: MySQL version predicate, default collation and UTC - then re-run equivalence on 8.4","THREE guards are missing, not one. (A) VERSION PREDICATE DEFECT: 00_preflight.sql:69 asserts major >= 8 while its own message says 'MySQL major version must be 8.x', so MySQL 9 PASSES, and :80 emits only an informational note for non-8.4 rather than a SIGNAL. (B) COLLATION: nothing asserts the target database default is utf8mb4_bin; only 11 of 35 migrations pin collation and the other 24 use bare VARCHAR that inherits the server default, while the bootstrap pins every column. (C) UTC: PCA_LIVE_DATABASE_SETTINGS mandates default-time-zone=+00:00 but verify-mysql.mjs checks neither timezone nor collation. SCOPE NOTE: the coordinator's divergence was observed on MySQL 9.7, which is NOT the supported target - it demonstrates the environment invariant is unenforced and does NOT invalidate the accepted 8.4/utf8mb4_bin equivalence result. Also extend verify-mysql and the equivalence check to compare effective collations, and re-run migration-vs-bootstrap equivalence on supported MySQL 8.4 after the fix","00_preflight.sql:69,74-80; backend/scripts/verify-mysql.mjs; PCA_LIVE_DATABASE_SETTINGS.md:24-40; coordinator information_schema diff executed on MySQL 9.7",AUTH_B,M
FABLE-A010,P1,REPO_SOLVABLE,Retention,Build a durable DeleteNow ledger (no MySQL sibling exists),"InMemoryDeleteNowLedger is wired in the production composition root. A restart loses the record of a deletion the parent was told had happened - a direct privacy-commitment risk, not merely a data-loss inconvenience",main.ts:279; no MySql sibling anywhere in the repo,PARENT_C/ANDROID_D,M
