DEFECT_ID,SOURCE_PPR1_ID,DOMAIN,PLATFORM,DESCRIPTION,ROOT_CAUSE,AFFECTED_REQUIREMENTS,CLASSIFICATION,REPO_SOLVABLE,V1_RELEVANT,SECURITY_IMPACT,CURRENT_STATUS,OWNER,IMPLEMENTATION_COMMIT,TEST_EVIDENCE,FINAL_DISPOSITION
PPR1R-D001,AND-1,ANDROID,Android,android.permission.INTERNET declared in no manifest,"Required permission documented in a comment, never added",NONE,REPO_SOLVABLE_NOW,N,YES,MEDIUM,FIXED,ANDROID,d4c9b4e,Android 1326/1326,CLOSED - verified at HEAD
PPR1R-D002,AND-2+AND-3,ANDROID,Android,PACKAGE_USAGE_STATS and POST_NOTIFICATIONS declared but never requested or handed off,No parent-facing permission onboarding surface existed,NONE,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,ANDROID,PPR1R,MainActivity ACTION_USAGE_ACCESS_SETTINGS hand-off; UsageAccessOnboardingPolicy + NotificationPermissionPromptPolicy + 3 test files; Android 1326/1326,CLOSED - grant hand-off and runtime request now exist. ACCESS_BACKGROUND_LOCATION deliberately excluded (needs a Play policy declaration)
PPR1R-D003,AND-4,ANDROID,Android,Shield Activities launch from app context with no background-launch exemption,Enforcement designed without an Android 10+ background-launch mechanism,NONE,NEW_FEATURE_ARCHITECTURE_REQUIRED,N,YES,LOW,OPEN,PRODUCT_OWNER,TBD,TBD,"BLOCKED - architecture decision between SYSTEM_ALERT_WINDOW, accessibility service, or full-screen notification"
PPR1R-D004,AND-5,ANDROID,Android,SchedulePolicyStore has no production writer,Inbound-sync apply path never wired to the policy store,PCA-AND-003;PCA-FR-041;PCA-FR-042;PCA-FR-043;PCA-FR-043A;PCA-FR-134,EXTERNAL_SECURITY_REVIEW,N,YES,MEDIUM,RECLASSIFIED,EXTERNAL_REVIEWER,n/a,A2 hop-by-hop trace of all 7 hops,"RECLASSIFIED - A2 proved 6 of 7 hops are correct fail-closed crypto gates. Only the on-device router is a source gap and it cannot decrypt until PCA-DEC-020. PCA-AND-003 was a FALSE POSITIVE, restored to PRODUCTION_COMPLETE"
PPR1R-D005,AND-6,ANDROID,Android,Prayer reminder subsystem inert - scheduleReminder has no production caller,A built subsystem was never composed into a production trigger,PCA-FR-073,REPO_SOLVABLE_NOW,Y,YES,NONE,FIXED,ANDROID,PPR1R,"ReminderPlanner.nextPlans + PrayerReminderScheduleCoordinator wired at PcaAppGraph:931; refusal surfaced as a tamper row + parent alert, debounced; Android 1345/1345 incl. 15 new tests",CLOSED - subsystem is live and an exact-alarm refusal is now reported honestly instead of silently swallowed
PPR1R-D006,AND-7,ANDROID,Android,Four built composables have zero references anywhere,UI built ahead of a navigation surface that was never created,NONE,OWNER_DECISION_REQUIRED,N,YES,NONE,OPEN,PRODUCT_OWNER,TBD,TBD,BLOCKED - delete-vs-wire is a product scope call
PPR1R-D007,AND-8,ANDROID,Android,Hardcoded English string in a shipped screen,Late-added button bypassed the string-resource discipline,NONE,REPO_SOLVABLE_NOW,N,YES,NONE,FIXED,ANDROID,e180e16,key parity 312/312; Android 1326/1326,CLOSED
PPR1R-D008,AND-9,ANDROID,Android,Device tamper state never reaches the backend - relay client implemented 6 of 7 paths,Client interface completed against six of seven server capabilities,PCA-DATA-021;PCA-FR-017;PCA-FR-124,EXTERNAL_SECURITY_REVIEW,N,YES,MEDIUM,PARTIALLY_FIXED,ANDROID,PPR1R,reportProtectionStatus on interface and real client; FakeRelayHttpClient records reports; Android 1326/1326,"REPO-SOLVABLE PORTION CLOSED - the missing 7th relay path is implemented and tested. RESIDUAL IS EXTERNAL: the transport has no production construction site because ChallengeSigner has no implementation, and the sessionToken it needs comes from the crypto-gated device-session flow (PCA-DEC-020)."
PPR1R-D009,AND-10,ANDROID,Android,Relay transport accepted any URL scheme,Two HTTP clients written by different lanes with no shared guard,NONE,REPO_SOLVABLE_NOW,N,YES,MEDIUM,FIXED,ANDROID,e180e16,guard mirrors the bootstrap client; Android 1326/1326 including its new test,"CLOSED - now Gradle-compiled and executed, which PPR-1 could not claim"
PPR1R-D010,A20-5,ANDROID,Android,No package-visibility queries element while targeting SDK 35,Android 11 package-visibility filtering never accounted for,PCA-FR-045,REPO_SOLVABLE_NOW,Y,YES,LOW,FIXED,ANDROID,PPR1R,queries element present; PackageVisibilityManifestTest; Android 1326/1326,CLOSED - scoped queries added; QUERY_ALL_PACKAGES deliberately NOT added (Play policy decision)
