APP,ROUTE,PAGE,WORKFLOW,CURRENT_STATUS,PRIMARY_GAP,SECONDARY_GAPS,BACKEND_STATUS,API_STATUS,TEST_STATUS,BROWSER_STATUS,EN_STATUS,AR_STATUS,RTL_STATUS,RESPONSIVE_STATUS,ACCESSIBILITY_STATUS,PRIORITY,WRITER,QA_STATUS,NOTES
parent-web,/register,Register.tsx,Create account with email+password,DESIGN_INCONSISTENT,auth-page CSS class has zero matching rule anywhere; page renders as raw unstyled label/input stack,WEAK_VISUAL_HIERARCHY;SPARSE_PAGE;UNTESTED_BROWSER_PATH,REAL (parentAccountRoutes),PASS,axe+unit,NOT_TESTED,PASS,PASS,PASS,PASS(unstyled but fluid),AXE_ONLY,P2,W01,NOT_TESTED,Restore .auth-page/.field CSS coverage incl. email/password inputs
parent-web,/verify-email,VerifyEmail.tsx,Enter emailed code to activate account,WORKFLOW_INCOMPLETE,No resend/request-new-code action exists on this screen,WEAK_VISUAL_HIERARCHY;UNTESTED_BROWSER_PATH,REAL,PASS,axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W01,NOT_TESTED,Add resend-code affordance
parent-web,/login,Login.tsx (parent),Sign in with email+password,WORKFLOW_INCOMPLETE,No forgot-password/account-recovery path exists anywhere in app or backend,WEAK_VISUAL_HIERARCHY,REAL,PASS,axe+unit+real-e2e,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W01,NOT_TESTED,Real product gap not styling; add password-reset flow
parent-web,/not-permitted,NotPermitted.tsx (parent),Explain denied access with a way back,PARTIAL,RouteGuard passes from/action/reason state but page only reads reason; always links to hardcoded /dashboard,DEAD_CODE;MISSING_CONTEXT;MISSING_ACTION,N/A (client-only),N/A,route+axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P2,W01,NOT_TESTED,Wire from/action into a real back-link
parent-web,/* (404),NotFound.tsx (parent),Catch unmatched URLs,COMPLETE,none,SPARSE_PAGE,N/A,N/A,route+axe,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P3,W01,NOT_TESTED,No action needed
parent-web,/dashboard,Dashboard.tsx,Glance at every child's device/protection/battery/sync state,UI_COMPLETE_BACKEND_INCOMPLETE,"Real data path always fails: CRYPTO_SUITE_APPROVED_FOR_PRODUCTION hardcoded false (external gate, by design)",MISSING_ACTION(dead-end alert/request counts);API_MISMATCH(/api/sync/* vs actual /v1/runtime-sync/*),EXTERNAL_GATE (PRODUCTION_CRYPTO_SUITE); no dedicated dashboard route,MISSING,component+axe+i18n+route+e2e(fixtures),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W02,NOT_TESTED,Fix runtime-sync path mismatch and link counts to /requests; do not touch crypto gate
parent-web,/children,ChildrenList.tsx,See all children and jump to overview,EXTERNAL_GATE_ONLY,Same crypto-review gate as Dashboard blocks all real data,SPARSE_PAGE;MISSING_SEARCH;MISSING_SORT,Same external gate,MISSING,route+e2e(indirect),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P1,W02,NOT_TESTED,Show more ChildSummary fields already available (battery/alerts/last-seen)
parent-web,/children/:childId/overview,ChildOverview.tsx+ChildLayout.tsx,Drill into one child's snapshot,WORKFLOW_INCOMPLETE,"ChildLayout <h1> renders the raw childId route param, never the child's displayName",MISSING_DETAIL_VIEW;MISSING_ACTION;TECHNICAL_LANGUAGE;API_MISMATCH,Same external gate + runtime-sync mismatch,MISSING,route only,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W02,NOT_TESTED,"Trivial, high-value fix: wire heading to displayName (already available from getDashboard)"
parent-web,/children/:childId/screen-time,ScreenTimePage.tsx,View/edit screen-time limit and break duration,UI_COMPLETE_BACKEND_INCOMPLETE,No backend route exists at all for screen-time reads/writes; client mutation path literally throws not-implemented,HARDCODED_TEXT(validator messages);TECHNICAL_LANGUAGE;API_MISMATCH;UNTESTED_BROWSER_PATH,MISSING route under backend/src/http/routes,PARTIAL,component+unit+e2e(fixtures),NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W03,NOT_TESTED,Best-built page in app (rigorous save/queued/delivered/applied state machine) but cannot fire in prod; stand up backend routes + real FamilyAuthorityGateway
parent-web,/children/:childId/apps,AppsPage.tsx,View/toggle per-app allow/block,WORKFLOW_INCOMPLETE,Same missing backend as screen-time; toggle() silently swallows every failure with zero visible feedback,MISSING_ACTION(dailyLimitMinutes display-only);NO_FAILURE_FEEDBACK;WEAK_LOADING_STATE;SPARSE_PAGE;UNTESTED_BROWSER_PATH,MISSING route,PARTIAL,NONE,NOT_TESTED,PASS,PASS,PASS,PASS,AXE_ONLY,P0,W03,NOT_TESTED,Once backend exists reuse ScreenTimePage's status/offline components here + add daily-limit editing
parent-web,/children/:childId/web-protection,WebProtectionPage.tsx,View filtering status and author per-domain rules,UI_COMPLETE_BACKEND_INCOMPLETE,No backend route (by design local/E2EE) + crypto gate,WEAK_VISUAL_HIERARCHY;MISSING_CONTEXT,MISSING by design + external gate,MISSING,component(fixtures),NOT_TESTED,PASS,PASS,PASS,FAIL (.field-row/.web-rule-list* classes have zero CSS anywhere),AXE_ONLY,P1,W04,NOT_TESTED,Form/list renders unstyled in browser -- add missing CSS rules
parent-web,/children/:childId/youtube,YouTubePage.tsx,Check YouTube Restricted Mode status,EXTERNAL_GATE_ONLY,"Backend structurally cannot report real signals (by design, honest); page never renders the honest disclosure copy that already exists",MISSING_CONTEXT;STALE_PLACEHOLDER;DEAD_CODE(orphaned i18n keys),MISSING by design (YOUTUBE_PLATFORM_API_PARTNERSHIP external gate),MISSING,component,NOT_TESTED,PASS (unused keys exist too),PASS,N/A,PASS,AXE_ONLY,P1,W04,NOT_TESTED,Wire in youtube.modeA/modeB/capabilityNotice keys that already exist and are fully translated
parent-web,/children/:childId/activity,ActivityTimelinePage.tsx,Review chronological activity feed,UI_COMPLETE_BACKEND_INCOMPLETE,No backend by design (client-composed from local store) + crypto gate,MISSING_FILTER;MISSING_PAGINATION;MISSING_SEARCH;UNTESTED_BROWSER_PATH,MISSING by design + external gate,MISSING,NONE,NOT_TESTED,PASS,PASS,PASS,MINOR (.plain-list unstyled -> default numbered markers),AXE_ONLY,P2,W04,NOT_TESTED,Add test coverage; fix .plain-list CSS; add pagination/filter for long histories
parent-web,/children/:childId/location,LocationPage.tsx,View last-seen status and manage Safe Zones,SOURCE_COMPLETE_UI_INCOMPLETE,"Full Safe Zone CRUD is real end-to-end (backend, client, crypto boundary, bilingual strings) but zero UI ever calls it -- page shows only 4 static disclosure lines",MISSING_ACTION;MISSING_DETAIL_VIEW;DEAD_CODE(8 of 12 i18n keys unused);SPARSE_PAGE,REAL for Safe Zones (parentAccountRoutes) unused; status card gated by crypto review,PARTIAL,axe+unit(client only),NOT_TESTED,PASS(mostly unused),PASS,N/A (no map),PASS,AXE_ONLY,P1,W05,NOT_TESTED,"Pure UI build against already-real SafeZoneClient; no new capability needed. Plain numeric lat/lng/radius, no live GPS."
parent-web,/children/:childId/eye-protection,EyeProtectionPage.tsx,View eye-rest reminder status,WORKFLOW_INCOMPLETE,"Read-only: no toggle control, no lastReminderUtc shown, no history despite real EYE_PROTECTION activity category existing",SPARSE_PAGE;MISSING_ACTION;MISSING_CONTEXT,"MISSING (local-only, no route)",MISSING,axe only,NOT_TESTED,PASS,PASS,N/A,PASS,AXE_ONLY,P2,W05,NOT_TESTED,Surface EYE_PROTECTION activity-timeline entries (real category exists); do not expose camera/biometric data
