BEHAVIOR_ID,PRIORITY,APP,ROUTE,PAGE,KIND,BEHAVIOR,AUDIT_STATUS,CLASSIFICATION,EVIDENCE_BASIS,EVIDENCE
B001,P2,parent-web,/register,Register.tsx,WORKFLOW,Create account with email+password,DESIGN_INCONSISTENT,VERIFIED,browser,"{""chars"": 234, ""heading"": ""Create your PCA account"", ""httpFailures"": []}"
B002,P2,parent-web,/register,Register.tsx,PRIMARY_GAP,auth-page CSS class has zero matching rule anywhere; page renders as raw unstyled label/input stack,DESIGN_INCONSISTENT,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""290e44e"", ""browserStatus"": ""RENDERED""}"
B003,P2,parent-web,/register,Register.tsx,SECONDARY_GAP,WEAK_VISUAL_HIERARCHY,DESIGN_INCONSISTENT,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 234}"
B004,P2,parent-web,/register,Register.tsx,SECONDARY_GAP,SPARSE_PAGE,DESIGN_INCONSISTENT,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 234}"
B005,P2,parent-web,/register,Register.tsx,SECONDARY_GAP,UNTESTED_BROWSER_PATH,DESIGN_INCONSISTENT,VERIFIED,browser,"{""note"": ""browser-exercised this pass"", ""status"": ""RENDERED"", ""chars"": 234, ""pageErrors"": []}"
B006,P1,parent-web,/verify-email,VerifyEmail.tsx,WORKFLOW,Enter emailed code to activate account,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""chars"": 180, ""heading"": ""Verify your email"", ""httpFailures"": []}"
B007,P1,parent-web,/verify-email,VerifyEmail.tsx,PRIMARY_GAP,No resend/request-new-code action exists on this screen,WORKFLOW_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""765c8f0"", ""browserStatus"": ""RENDERED""}"
B008,P1,parent-web,/verify-email,VerifyEmail.tsx,SECONDARY_GAP,WEAK_VISUAL_HIERARCHY,WORKFLOW_INCOMPLETE,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 180}"
B009,P1,parent-web,/verify-email,VerifyEmail.tsx,SECONDARY_GAP,UNTESTED_BROWSER_PATH,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""note"": ""browser-exercised this pass"", ""status"": ""RENDERED"", ""chars"": 180, ""pageErrors"": []}"
B010,P1,parent-web,/login,Login.tsx (parent),WORKFLOW,Sign in with email+password,WORKFLOW_INCOMPLETE,VERIFIED,browser,"{""chars"": 92, ""heading"": ""Sign in to PCA"", ""httpFailures"": []}"
B011,P1,parent-web,/login,Login.tsx (parent),PRIMARY_GAP,No forgot-password/account-recovery path exists anywhere in app or backend,WORKFLOW_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""bf3ae81"", ""browserStatus"": ""RENDERED""}"
B012,P1,parent-web,/login,Login.tsx (parent),SECONDARY_GAP,WEAK_VISUAL_HIERARCHY,WORKFLOW_INCOMPLETE,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 92}"
B013,P2,parent-web,/not-permitted,NotPermitted.tsx (parent),WORKFLOW,Explain denied access with a way back,PARTIAL,VERIFIED,browser,"{""chars"": 655, ""heading"": ""Action not permitted"", ""httpFailures"": []}"
B014,P2,parent-web,/not-permitted,NotPermitted.tsx (parent),PRIMARY_GAP,RouteGuard passes from/action/reason state but page only reads reason; always links to hardcoded /dashboard,PARTIAL,VERIFIED,disposition+browser,"{""disposition"": ""FIXED"", ""fixCommit"": ""unattributed (predates this session's tracked commit range);a5073df"", ""browserStatus"": ""RENDERED""}"
B015,P2,parent-web,/not-permitted,NotPermitted.tsx (parent),SECONDARY_GAP,DEAD_CODE,PARTIAL,VERIFIED,disposition,"{""disposition"": ""FIXED"", ""fixCommit"": ""unattributed (predates this session's tracked commit range);a5073df""}"
B016,P2,parent-web,/not-permitted,NotPermitted.tsx (parent),SECONDARY_GAP,MISSING_CONTEXT,PARTIAL,BLOCKED_OWNER,browser,"{""note"": ""presentation/enhancement scope, no functional defect observed"", ""chars"": 655}"
B017,P2,parent-web,/not-permitted,NotPermitted.tsx (parent),SECONDARY_GAP,MISSING_ACTION,PARTIAL,VERIFIED,browser,"{""enabledButtons"": [""≡"", ""☰"", ""Close""]}"
B018,P1,parent-web,/children,ChildrenList.tsx,WORKFLOW,See all children and jump to overview,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 649}"
B019,P1,parent-web,/children,ChildrenList.tsx,PRIMARY_GAP,Same crypto-review gate as Dashboard blocks all real data,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,disposition,"{""disposition"": ""RECLASSIFIED_EXTERNAL_GATE"", ""gate"": ""PRODUCTION_CRYPTO_SUITE (docs/release_readiness/external_gate_matrix.json), same gate as Dashboard""}"
B020,P1,parent-web,/children,ChildrenList.tsx,SECONDARY_GAP,SPARSE_PAGE,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 649}"
B021,P1,parent-web,/children,ChildrenList.tsx,SECONDARY_GAP,MISSING_SEARCH,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""searchAffordance"": false, ""blocked"": true}"
B022,P1,parent-web,/children,ChildrenList.tsx,SECONDARY_GAP,MISSING_SORT,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""sortAffordance"": false, ""blocked"": true}"
B023,P1,parent-web,/children/:childId/web-protection,WebProtectionPage.tsx,WORKFLOW,View filtering status and author per-domain rules,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 820}"
B024,P1,parent-web,/children/:childId/web-protection,WebProtectionPage.tsx,PRIMARY_GAP,No backend route (by design local/E2EE) + crypto gate,UI_COMPLETE_BACKEND_INCOMPLETE,VERIFIED,disposition+browser,"{""disposition"": ""FIXED_AWAITING_BROWSER"", ""fixCommit"": ""bf3ae81"", ""browserStatus"": ""BLOCKED_EXTERNAL""}"
B025,P1,parent-web,/children/:childId/web-protection,WebProtectionPage.tsx,SECONDARY_GAP,WEAK_VISUAL_HIERARCHY,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 820}"
B026,P1,parent-web,/children/:childId/web-protection,WebProtectionPage.tsx,SECONDARY_GAP,MISSING_CONTEXT,UI_COMPLETE_BACKEND_INCOMPLETE,BLOCKED_EXTERNAL,browser,"{""blocked"": true, ""chars"": 820}"
B027,P1,parent-web,/children/:childId/youtube,YouTubePage.tsx,WORKFLOW,Check YouTube Restricted Mode status,EXTERNAL_GATE_ONLY,BLOCKED_EXTERNAL,browser,"{""note"": ""honest external-gate state rendered"", ""chars"": 813}"
