KEY,ROUTE,PAGE_NAME,ENGLISH_SOURCE,ORIGINAL_ARABIC,FINAL_PROPOSED_ARABIC,CHANGED,REVIEWER_DECISION,CLAIM_ID,CLAIM_STATUS,REMEDIATION_DISPOSITION,WHY_IN_SIGNOFF,LEGAL_REVIEW_REQUIRED,OWNER_DECISION,OWNER_NOTE
accessibility.barrier.body,/ar/accessibility/,Accessibility,"If something in PCA makes it difficult to complete a task, we want to know. PCA has not opened its reporting channels yet; they will be published on the Contact page before PCA opens to families. When they open, please avoid sharing sensitive child information.",إذا وجدت شيئًا في PCA يصعّب عليك إكمال مهمة، فنحن نريد أن نعرف بذلك. لم تفتح PCA قنوات الإبلاغ بعد، وستُنشر في صفحة التواصل قبل أن تُفتح PCA للأسر. وعند فتحها، يرجى عدم مشاركة معلومات حساسة عن الطفل.,إذا كان هناك ما في PCA يصعّب عليك إكمال مهمة، فنحن نريد معرفة ذلك. لم تفتح PCA قنوات الإبلاغ بعد؛ وستُنشر على صفحة التواصل قبل إتاحة PCA للأسر. وعند فتح هذه القنوات، يُرجى عدم مشاركة معلومات حساسة عن الطفل.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
accessibility.cta.contact,/ar/accessibility/,Accessibility,Contact Accessibility,التواصل بخصوص إمكانية الوصول,تواصل معنا بشأن إمكانية الوصول,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING;CTA,NO,PENDING,
accessibility.goals.items,/ar/accessibility/,Accessibility,"[1] keyboard navigation;
[2] visible focus states;
[3] semantic headings and form labels;
[4] screen-reader support;
[5] sufficient contrast;
[6] reduced motion;
[7] suitable touch targets;
[8] responsive mobile/tablet/desktop layouts;
[9] English LTR and Arabic RTL.","[1] التنقل بلوحة المفاتيح؛
[2] حالات تركيز واضحة؛
[3] عناوين وتسميات نماذج دلالية؛
[4] دعم قارئات الشاشة؛
[5] تباين مناسب؛
[6] تقليل الحركة حسب تفضيلات المستخدم؛
[7] أهداف لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية LTR والعربية RTL.","[1] التنقل بلوحة المفاتيح؛
[2] مؤشرات تركيز واضحة؛
[3] عناوين دلالية وتسميات واضحة لحقول النماذج؛
[4] دعم قارئات الشاشة؛
[5] تباين كافٍ؛
[6] تقليل الحركة؛
[7] مساحات لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية من اليسار إلى اليمين (LTR) والعربية من اليمين إلى اليسار (RTL).",YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
accessibility.goals.lead,/ar/accessibility/,Accessibility,We design and test for:,نصمم ونختبر من أجل:,نصمم ونختبر لتحقيق ما يلي:,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
accessibility.goals.title,/ar/accessibility/,Accessibility,Our accessibility goals,أهدافنا,أهدافنا لإمكانية الوصول,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
accessibility.hero.title,/ar/accessibility/,Accessibility,Digital child protection should be usable by more families,حماية الطفل الرقمية يجب أن تكون قابلة للاستخدام من قبل أسر أكثر,ينبغي أن يتمكن عدد أكبر من الأسر من استخدام وسائل حماية الأطفال الرقمية,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
accessibility.seo.description,/ar/accessibility/,Accessibility,"PCA's public and Parent experiences are designed for keyboard access, screen readers, responsive devices, reduced motion and English/Arabic use.",تُصمم تجارب PCA العامة وتجربة الوالدين لتدعم لوحة المفاتيح وقارئات الشاشة والحركة المخففة والعربية والإنجليزية ومختلف أحجام الأجهزة.,تُصمم تجارب PCA العامة وتجربة PCA Parent لتدعم استخدام لوحة المفاتيح وقارئات الشاشة، وتقليل الحركة، والعمل بصورة متجاوبة على مختلف أحجام الأجهزة، والاستخدام باللغتين الإنجليزية والعربية.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
contact.hero.body,/ar/contact/,Contact,"Choose the topic that best matches your question. Please do not include private information about your child unless PCA has specifically requested a safe, necessary detail.",اختر الموضوع الأقرب إلى استفسارك. يرجى عدم إدخال معلومات خاصة عن طفلك إلا إذا طلب فريق PCA معلومة محددة وضرورية بطريقة آمنة.,اختر الموضوع الأقرب إلى استفسارك. يُرجى عدم تضمين معلومات خاصة عن طفلك إلا إذا طلبت PCA تحديدًا معلومة ضرورية بطريقة آمنة.,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
contact.seo.description,/ar/contact/,Contact,"PCA is not able to receive messages yet. Support, privacy, accessibility and security contact channels will be published before PCA opens to families.",لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل أن تُفتح PCA للأسر.,لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل إتاحة PCA للأسر.,YES,REVISE_LOW,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
contact.seo.title,/ar/contact/,Contact,Contact PCA — Channels Opening Before Launch,تواصل مع PCA — الدعم والخصوصية والاستفسارات,التواصل مع PCA — قنوات ستُفتح قبل الإطلاق,YES,REVISE_MEDIUM,NONE,NONE,APPLIED,Reviewer selected this row for owner attention: CHANGED_STRING,NO,PENDING,
