ID,DOMAIN,REQUIREMENT,CURRENT_SOURCE_STATUS,CURRENT_TEST_STATUS,CURRENT_EXTERNAL_STATUS,ACTUAL_GAP,FABLE_ACTION,EXTERNAL_ACTION,RELEASE_TARGET,PRIORITY
G-01,Repo/CI,PCA-0 repository and quality foundation,SOURCE_COMPLETE,"EXECUTED 2026-09-08: backend 2336/2336; parent-web 996; platform-admin 153; Android JVM 1347/1347 (1 skip); contracts 4/4 validated+tested; repo/quality/security tooling PASS",None,"MySQL suite and Playwright never ran in CI; 4 catalogue validators were export-only no-ops; derived R3 ledgers were hand-edited and irreproducible","DONE: validators now execute and reconcile routes/error codes against source; ledger rebuild --check + generated gate table wired into CI; Playwright job added","None",ALL,P1
G-02,Enrollment,PCA-1 cryptographic enrollment and local vault (Addendum 001),SOURCE_COMPLETE (24/25 rows),"EXECUTED: backend unit + MySQL 8.4 suites; Android JVM","PRODUCTION_CRYPTO_SUITE / CRYPTO_SECURITY_REVIEW / CRYPTO_ACTIVATION all BLOCKED","Every signature path fails closed by design; backend/src/recovery has no HTTP route; Android persists familyId=\"\" because the bootstrap DTO never returns one (survives crypto activation)","None safe now: routing recovery and the device family-context design are crypto-review-shaped decisions","Commission the human production-crypto review (PCA-DEC-020) and record it in external_gate_matrix.json",PARENT_C/ANDROID_D,P1
G-03,Android,PCA-2 platform foundation (Standard Mode; Protected Mode gate),SOURCE_COMPLETE (Standard),EXECUTED: JVM tests,"PENDING_OWNER_DECISION (PCA-DEC-002/014/015) + DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION EXTERNAL",Protected Mode intentionally unprovisioned pending owner decision,None,Owner provisioning-path decision; real-device authorization,ANDROID_D,P2
G-04,Android,PCA-3 screen-time/break engine,SOURCE_COMPLETE,EXECUTED: JVM tests,ANDROID_REAL_DEVICE_UAT / REAL_DEVICE_TELEPHONY_UAT BLOCKED,None repo-solvable; 0 of 43 device cases executed,None,Physical-device UAT campaign,ANDROID_D,P2
G-05,Android,PCA-4 app usage and schedule enforcement,PARTIAL,EXECUTED: JVM tests,DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION,"Enforcement is a no-op without Device Owner (Standard Mode degradation); backend/src/usage unreachable from any route","Deferred: retire-or-route decision for backend/src/usage recorded, not executed",Owner provisioning decision,ANDROID_D,P2
G-06,Android/Backend,PCA-5 web filtering / Safe Browser / VPN-DNS,PARTIAL,EXECUTED: JVM + backend unit,Owner decision ANDROID_VPN_DNS_POLICY (VPN dormant by VpnEnforcementPolicy gate); web-rule durability is a privacy-architecture decision (W3),"Device-wide VPN/DNS never starts by design; parent web rules are in-memory in production (InMemoryWebRuleRepository)","None (both are owner decisions; hard-coded third-party resolver must be decided before activation)",Owner VPN/DNS policy + web-rule persistence decision,ANDROID_D/PARENT_C,P1
G-07,Android/Backend,PCA-6 YouTube visibility (Mode A / Mode B),SOURCE_COMPLETE (Mode A; Mode B inert),EXECUTED: JVM + backend unit,YOUTUBE_MODE_B_POLICY_REVIEW conditional,None,None,Policy review before Mode B,ANDROID_D,P3
G-08,Android/Backend/Parent Web,PCA-7 location / last-seen / safe zones,SOURCE_COMPLETE,EXECUTED: JVM + backend + component tests,PRODUCTION_CRYPTO_SUITE,Safe-zone publishing to devices is crypto-gated,None,Crypto review,PARENT_C/ANDROID_D,P2
G-09,Android/Backend,PCA-8 eye-distance protection,SOURCE_COMPLETE,EXECUTED: JVM + MySQL (cross-family read fixed W1 and covered),CAMERA_REAL_DEVICE_VALIDATION,None repo-solvable,None,OEM camera validation on hardware,ANDROID_D,P2
G-10,Android,PCA-9 prayer-time engine,SOURCE_COMPLETE,EXECUTED: JVM tests,ANDROID_REAL_DEVICE_UAT,None,None,Device UAT (UAT-PRAY-01),ANDROID_D,P3
G-11,Parent Web/Backend,PCA-10 parent dashboard / family RBAC / child requests / membership,SOURCE_COMPLETE,"EXECUTED: parent-web Vitest 996; Playwright 68 specs locally (3 stale specs repaired this pass); backend unit + MySQL",PRODUCTION_CRYPTO_SUITE (UnavailableTrustSetRoleResolver denies trust-set-gated mutations); PRODUCER_CATALOGUE_AUDIT_SIGNOFF,"Server-side family-authority is crypto-gated; child-request device-level existence oracle (cancel/acknowledge) was live","DONE: cancel/acknowledge now return an indistinguishable NOT_FOUND; HTTP + service regression tests added",Crypto review; compliance sign-off of the producer catalogue,PARENT_C,P1
G-12,Backend,PCA-11 E2EE relay synchronization,SOURCE_COMPLETE,EXECUTED: backend unit + MySQL atomic-acceptance suites,PRODUCTION_CRYPTO_SUITE,"Inline envelope-context placeholder (empty key, epoch floor 0) would have become a live anti-downgrade hole on crypto activation; no durable Family-Trust-Set store exists","DONE: replaced with rejectingResolveEnvelopeContext (unattainable epoch floors) + regression test proving even an accepting verifier cannot pass","Crypto review; then build the FTS-backed resolver/store as part of activation",PARENT_C/ANDROID_D,P0 (closed) / P1 (store)
G-13,Backend/Parent Web/Android,PCA-12 retention / delete-now / export,PARTIAL,EXECUTED: backend unit + MySQL (delete-now ledger durable); parent-web Vitest,PRODUCTION_CRYPTO_SUITE; readable family policy may not be stored centrally (doc 09/10),"Retention-policy route validated+audited only but answered 200 accepted:true (false assurance); export 202 pending crypto; Android retention returns early on blank familyId","DONE: route now 202 persisted:false with a disclosed state; parent-web copy and types updated; regression test forbids accepted:true returning","Crypto review (policy delivery); owner design for device family context",PARENT_C/ANDROID_D,P0 (false assurance closed) / P1 (real delivery)
G-14,Android/Backend,PCA-13 tamper detection and recovery hardening,PARTIAL,EXECUTED: JVM tests,PRODUCTION_CRYPTO_SUITE,backend/src/tamper has no route/consumer; recovery cryptography not implemented,"Deferred: wiring a device-authenticated tamper-report endpoint is a design item",Crypto review,ANDROID_D,P2
G-15,AI,PCA-14 on-device AI classifiers,NOT_STARTED,None,CLOUD_AI_OWNER_DECISION,No model or classifier engine on any platform (POST_V1),None,Owner deferral confirmation,POST_V1,P3
G-16,iOS,PCA-15 Family Controls implementation,PARTIAL (early),NOT_RUN: no macOS/Xcode; CI job deterministically red (TEST_HOST project error),IOS_MAC_XCODE / IOS_FAMILY_CONTROLS_ENTITLEMENT / IOS_PHYSICAL_DEVICE / REQUIRES_ENTITLEMENT,"Extension target compiles one file referencing host-app-only types; no DeviceActivityCenter.startMonitoring call site; no DEVELOPMENT_TEAM, app icon or launch screen; applinks entitlement points at unowned enroll.pca.app","None blind (a .pbxproj/source-set edit without Xcode is the class of change this programme forbids)",Real Xcode session; Apple entitlement; physical device,IOS_FUTURE,P2
G-17,i18n/a11y,PCA-16 Arabic/English accessibility and UX closure,SOURCE_COMPLETE,"EXECUTED: Vitest i18n/a11y suites; NEW real-browser contrast specs (parent-web 7 routes x EN/AR; platform-admin login + shell x EN/AR) incl. a script-independent Arabic-text audit because axe-core 4.10 skips Arabic-only text",Device screen-reader / text-scaling evidence is a hardware gate (UAT-I18N-01..03),"Android BidiUtils isolation helpers have zero production call sites; no forced-colors / prefers-contrast CSS blocks in parent-web or platform-admin-web","DONE: contrast gates; DEFERRED: BidiUtils wiring and forced-colors blocks (recorded as repo-solvable open)",TalkBack/VoiceOver device passes,PARENT_C/ANDROID_D,P2
G-18,Security programme,PCA-17 security/privacy red team and store compliance,PARTIAL,EXECUTED: security scanner + tests; dependency audit; SBOM (CI); schema-privacy gates,CRYPTO_SECURITY_REVIEW; ANDROID_RELEASE_SIGNING_CONFIG (new gate),"Crypto review findings template empty; no store-submission scaffolding; PA financial red team partial","DONE: signing gate registered so tooling surfaces it",Human crypto review; keystore / Play App Signing decision; store metadata,ANDROID_D/IOS_FUTURE,P1
G-19,UAT,PCA-18 family beta / real UAT,NOT_STARTED,"0 of 54 cases executed (uat_execution_log.json NOT_EXECUTED); no automated result counted",ANDROID_REAL_DEVICE_UAT; PRODUCTION_EMAIL_DELIVERY (UAT-AUTH needs a real inbox),None repo-solvable,None,Devices + testers + provider; owner decides how PUBLIC_A/IOS_FUTURE/BILLING_FUTURE satisfy REAL_UAT,ALL,P0 (external)
G-20,Release,PCA-19 production release and deployment,PARTIAL,"EXECUTED: release gate NOT READY for all 6 targets; scoping test 0 failures; parity 222+ cells",DEPLOYED_TLS_TERMINATION_CONFIG; PRODUCTION_EMAIL_CREDENTIAL_ROTATION (new gate),"No deployment pipeline; nothing PCA deployed (pca App Service still runs a placeholder container -- verified read-only); Android release build never produced","DONE: two missing gates registered; generated gate table; ledger reproducibility",TLS at host; credential rotation; explicit deployment authorization,ALL,P1
