"WRITER","REQUIREMENT_IDS","OWNED_PATHS","SHARED_PATHS_NEEDED","DEPENDENCIES","LEASE","EXPECTED_TESTS"
"Writer84","PCA-ADD-ENR-012;PCA-ADD-ENR-016;PCA-ADD-ENR-017","backend/src/enrollment/**;backend/src/familyrbac/** (new decision-domain files only);backend/test/enrollment/**;backend/test/familyrbac/**;parent-web/src/pages/family/**","backend/src/http/buildServer.ts;backend/src/main.ts;parent-web/src/i18n/locales/**;.agent-runtime/manifests/pca-r3-final/**","Verified Owner/Administrator authority; explicit parent-approval and removal state machine; no readable PIN or silent weakening","NEW_LEASE_READY","Focused backend authorization/lifecycle/replay tests; Parent Web route/component tests; privacy and fail-closed red-team coverage"
"Writer85","PCA-FR-008;PCA-NFR-044;PCA-ADD-ENR-010","ios/PCA/Enrollment/**;ios/PCA/FamilyControls/**;ios/PCATests/**;android/app/src/main/java/org/pca/app/enrollment/**;android/app/src/main/res/values*/**;android/app/src/test/java/org/pca/app/enrollment/**","ios/PCA.xcodeproj/project.pbxproj;ios/PCA/PCA.entitlements;parent-web/src/i18n/locales/**;.agent-runtime/manifests/pca-r3-final/**","Public Apple FamilyControls/Keychain/CryptoKit capability only; complete age-tier catalogue; macOS/Xcode evidence remains external","NEW_LEASE_READY","Enrollment profile/profile-confirmation tests; age-tier/content-filter catalogue parity; iOS XCTest source checks where available"
"Writer86","PCA-FR-063;PCA-FR-091;PCA-FR-135","backend/src/location/**;backend/test/location/**;backend/test/parentaccount/preferencesSafeZones*.test.mjs;parent-web/src/api/real/realSafeZoneClient.ts;parent-web/src/api/safeZonePolicyAuthoring.ts;parent-web/src/pages/children/LocationPage.tsx;parent-web/tests/unit/*SafeZone*;android/app/src/main/java/org/pca/app/runtime/location/**;android/app/src/test/java/org/pca/app/runtime/location/**","backend/src/http/buildServer.ts;backend/src/http/routes/parentAccountRoutes.ts;backend/src/main.ts;backend/src/familyrbac/**;parent-web/src/i18n/locales/**;.agent-runtime/manifests/pca-r3-final/**","Verified family trust-set role authority; encrypted browser envelope authoring; no plaintext fallback; route/runtime composition","NEW_LEASE_READY","Backend safe-zone authorization/IDOR/concurrency tests; Parent Web authoring tests; Android location consumer tests; mutation boundary checks"
"Writer87","PCA-NFR-025;PCA-SEC-026;PCA-ADD-ENR-025","backend/src/retention/**;backend/src/export/**;backend/test/retention/**;backend/test/export/**;android/app/src/main/java/org/pca/app/persistence/retention/**;android/app/src/main/java/org/pca/app/persistence/export/**;android/app/src/test/java/org/pca/app/persistence/**","backend/src/http/routes/retentionRoutes.ts;android/app/src/main/java/org/pca/app/persistence/PcaLocalPersistence.kt;.agent-runtime/manifests/pca-r3-final/**","Family-scoped encrypted export; retention/deletion boundary; per-row evidence must be generated without editing coordinator ledgers","NEW_LEASE_READY","Backend retention/export privacy, authorization, idempotency and concurrency tests; Android encrypted-export/retention tests; traceability evidence review"
"Writer88","PCA-FR-021;PCA-FR-023;PCA-PRIV-001","android/app/src/main/java/org/pca/app/platform/proximity/**;android/app/src/main/java/org/pca/app/feature/eyedistance/**;android/app/src/test/java/org/pca/app/platform/proximity/**;android/app/src/test/java/org/pca/app/feature/eyedistance/**","android/app/src/main/java/org/pca/app/MainActivity.kt;android/app/src/main/java/org/pca/app/runtime/graph/PcaAppGraph.kt;.agent-runtime/manifests/pca-r3-final/**","Documented camera permission/capability boundary; ephemeral frames only; no covert capture, face-image persistence, or unsupported estimator claim","NEW_LEASE_READY","Concrete estimator/source tests; camera permission/revocation tests; end-to-end runtime composition tests; privacy red-team"
"Writer89","PCA-ADD-PA-041","backend/src/platformadmin/readmodels/DashboardReadModel.ts;backend/src/http/routes/platformadmin/dashboardRoutes.ts;backend/test/db/dashboardSettlementMetrics.mysql.test.mjs;backend/test/platformadmin/operational/dashboard*.test.mjs;backend/test/platformadmin/operational/httpAuthzBoundary.test.mjs","backend/src/http/buildServer.ts;backend/src/main.ts;.agent-runtime/manifests/pca-r3-final/**","Authoritative metadata-only source fields for growth trend, request aging, and enrollment/payment exception queues; no family activity or plaintext content","NEW_LEASE_READY","Disposable MySQL read-model/query tests; authz/IDOR/redaction/concurrency tests; dashboard route projection tests"
"Writer90","PCA-FR-080;PCA-FR-024;PCA-ADD-ENR-009;PCA-ADD-ENR-021","android/app/src/main/java/org/pca/app/platform/**;android/app/src/main/java/org/pca/app/runtime/tamper/**;android/app/src/main/java/org/pca/app/runtime/schedule/**;android/app/src/main/java/org/pca/app/feature/breakshield/**;android/app/src/test/java/org/pca/app/platform/**;android/app/src/test/java/org/pca/app/runtime/tamper/**;android/app/src/test/java/org/pca/app/runtime/schedule/**;android/app/src/test/java/org/pca/app/feature/breakshield/**","android/app/src/main/java/org/pca/app/MainActivity.kt;android/app/src/main/java/org/pca/app/runtime/graph/PcaAppGraph.kt;android/app/src/main/AndroidManifest.xml;.agent-runtime/manifests/pca-r3-final/**","Documented DevicePolicyManager capability only; no hidden provisioning, Accessibility abuse, or unsupported camera claim; emergency floor must remain fail-safe across flows","NEW_LEASE_READY","Android capability/tamper/protected-mode tests; emergency-floor and night-protection state-machine tests; static privacy checks"
"Writer91","PCA-FR-113;PCA-NFR-051;PCA-NFR-060","parent-web/src/i18n/locales/**;parent-web/src/pages/Notifications.tsx;backend/src/i18n/messages/**;platform-admin-web/src/i18n/locales/**;android/app/src/main/res/values*/**;parent-web/tests/i18n/**;platform-admin-web/tests/i18n/**;android/app/src/test/java/org/pca/app/i18n/**","backend/src/main.ts;backend/src/http/buildServer.ts;parent-web/src/App.tsx;platform-admin-web/src/App.tsx;.agent-runtime/manifests/pca-r3-final/**","Backend-generated notices/reports/deletion confirmations need canonical EN/AR sources; traceability must be per-ID and independently evidenced; preserve Arabic RTL/a11y","NEW_LEASE_READY","Backend message-generation tests; Parent Web/platform-admin EN/AR/RTL/a11y tests; Android resource parity and large-text checks"
"Writer92","PCA-FR-140;PCA-FR-144;PCA-ADD-ENR-020","ios/PCA/Enrollment/**;ios/PCA/FamilyControls/**;ios/PCA/Recovery/**;ios/PCATests/**;parent-web/src/pages/privacy/**;parent-web/src/pages/security/**;backend/src/alerts/**;backend/test/**alerts*","ios/PCA.xcodeproj/project.pbxproj;ios/PCA/PCA.entitlements;backend/src/http/buildServer.ts;parent-web/src/i18n/locales/**;.agent-runtime/manifests/pca-r3-final/**","Public iOS APIs only; recovery disclosure must be reachable; E2EE alert event list/display must not expose plaintext family data; macOS/Xcode is external","NEW_LEASE_READY","iOS static/XCTest source checks; backend alert-generation/privacy tests; Parent Web disclosure/a11y/RTL tests"
"Writer93","PCA-FR-053;PCA-FR-137;PCA-ADD-ENR-018;PCA-NFR-014","backend/src/youtube/**;backend/test/youtube/**;backend/src/relay/**;backend/test/relay/**;backend/src/familyrbac/** (removal decision route only);backend/test/familyrbac/**;backend/src/http/routes/platformadmin/** (telemetry prohibition checks only);tooling/mutation/**","backend/src/http/buildServer.ts;backend/src/main.ts;parent-web/src/pages/children/YouTubePage.tsx;parent-web/src/i18n/locales/**;.agent-runtime/manifests/pca-r3-final/**","YouTube Restricted Mode/safe-search capability must be honest; structured logging must remain routing-only; removal decision requires verified authority/idempotency; default-off telemetry and no hidden ingestion","NEW_LEASE_READY","YouTube capability tests; relay diagnostic/logging privacy tests; removal authorization/replay/IDOR tests; expanded current-head mutation coverage"
