KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED,SEVERITY
a11y.skipToContent,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",a11y,Skip to main content,تخطَّ إلى المحتوى الرئيسي,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
accessibility.barrier.body,/ar/accessibility/,Accessibility,barrier,"If something in PCA makes it difficult to complete a task, we want to know. PCA has not opened its reporting channels yet; they will be published on the Contact page before PCA opens to families. When they open, please avoid sharing sensitive child information.",إذا وجدت شيئًا في PCA يصعّب عليك إكمال مهمة، فنحن نريد أن نعرف بذلك. لم تفتح PCA قنوات الإبلاغ بعد، وستُنشر في صفحة التواصل قبل أن تُفتح PCA للأسر. وعند فتحها، يرجى عدم مشاركة معلومات حساسة عن الطفل.,NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,إذا كان هناك ما في PCA يصعّب عليك إكمال مهمة، فنحن نريد معرفة ذلك. لم تفتح PCA قنوات الإبلاغ بعد؛ وستُنشر على صفحة التواصل قبل إتاحة PCA للأسر. وعند فتح هذه القنوات، يُرجى عدم مشاركة معلومات حساسة عن الطفل.,يحسّن السلاسة ويستبدل التعبير غير الطبيعي «تُفتح PCA للأسر» بـ«إتاحة PCA للأسر» دون تغيير حالة الإطلاق.,NO,LOW
accessibility.barrier.title,/ar/accessibility/,Accessibility,barrier,Tell us about a barrier,أخبرنا عن أي عائق,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
accessibility.cta.contact,/ar/accessibility/,Accessibility,cta,Contact Accessibility,التواصل بخصوص إمكانية الوصول,NONE,NONE,CTA,HIGH,REVISE_LOW,تواصل معنا بشأن إمكانية الوصول,صياغة أكثر طبيعية وفعلية لزر دعوة إلى الإجراء، وتحافظ على المعنى نفسه.,NO,LOW
accessibility.goals.items,/ar/accessibility/,Accessibility,goals,"[1] keyboard navigation;
[2] visible focus states;
[3] semantic headings and form labels;
[4] screen-reader support;
[5] sufficient contrast;
[6] reduced motion;
[7] suitable touch targets;
[8] responsive mobile/tablet/desktop layouts;
[9] English LTR and Arabic RTL.","[1] التنقل بلوحة المفاتيح؛
[2] حالات تركيز واضحة؛
[3] عناوين وتسميات نماذج دلالية؛
[4] دعم قارئات الشاشة؛
[5] تباين مناسب؛
[6] تقليل الحركة حسب تفضيلات المستخدم؛
[7] أهداف لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية LTR والعربية RTL.",NONE,NONE,BODY_COPY,MEDIUM,REVISE_MEDIUM,"[1] التنقل بلوحة المفاتيح؛
[2] مؤشرات تركيز واضحة؛
[3] عناوين دلالية وتسميات واضحة لحقول النماذج؛
[4] دعم قارئات الشاشة؛
[5] تباين كافٍ؛
[6] تقليل الحركة؛
[7] مساحات لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية من اليسار إلى اليمين (LTR) والعربية من اليمين إلى اليسار (RTL).",تُصحَّح مصطلحات إمكانية الوصول غير الطبيعية مثل «حالات تركيز» و«أهداف لمس»، مع شرح LTR/RTL بالعربية بدل ترك اختصارات تقنية غير مفسرة.,NO,MEDIUM
accessibility.goals.lead,/ar/accessibility/,Accessibility,goals,We design and test for:,نصمم ونختبر من أجل:,NONE,NONE,BODY_COPY,MEDIUM,REVISE_LOW,نصمم ونختبر لتحقيق ما يلي:,أكثر طبيعية من «نصمم ونختبر من أجل» في العربية.,NO,LOW
accessibility.goals.title,/ar/accessibility/,Accessibility,goals,Our accessibility goals,أهدافنا,NONE,NONE,HEADING,MEDIUM,REVISE_LOW,أهدافنا لإمكانية الوصول,العنوان الحالي «أهدافنا» عام أكثر من المصدر الإنجليزي ويفقد موضوع إمكانية الوصول.,NO,LOW
accessibility.hero.body,/ar/accessibility/,Accessibility,hero,"Accessibility is part of product quality, not an optional extra.",إمكانية الوصول جزء من جودة المنتج، وليست إضافة اختيارية.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
accessibility.hero.title,/ar/accessibility/,Accessibility,hero,Digital child protection should be usable by more families,حماية الطفل الرقمية يجب أن تكون قابلة للاستخدام من قبل أسر أكثر,NONE,NONE,HEADING,MEDIUM,REVISE_LOW,ينبغي أن يتمكن عدد أكبر من الأسر من استخدام وسائل حماية الأطفال الرقمية,صياغة عربية طبيعية تتجنب التركيب الحرفي «قابلة للاستخدام من قبل أسر أكثر».,NO,LOW
accessibility.seo.description,/ar/accessibility/,Accessibility,seo,"PCA's public and Parent experiences are designed for keyboard access, screen readers, responsive devices, reduced motion and English/Arabic use.",تُصمم تجارب PCA العامة وتجربة الوالدين لتدعم لوحة المفاتيح وقارئات الشاشة والحركة المخففة والعربية والإنجليزية ومختلف أحجام الأجهزة.,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_LOW,تُصمم تجارب PCA العامة وتجربة PCA Parent لتدعم استخدام لوحة المفاتيح وقارئات الشاشة، وتقليل الحركة، والعمل بصورة متجاوبة على مختلف أحجام الأجهزة، والاستخدام باللغتين الإنجليزية والعربية.,تحسين السلاسة والدقة؛ «الحركة المخففة» تعبير غير طبيعي، كما أن الاستجابة تخص الواجهة على الأجهزة.,NO,LOW
