DOMAIN,PHASE_OR_REQUIREMENT,CLASSIFICATION,SOURCE_COMPLETE,VALIDATED_COMPLETE,PRODUCTION_READY,CURRENT_EVIDENCE,TEST_EVIDENCE,REPO_SOLVABLE_GAP,OWNER_DECISION,EXTERNAL_GATE,RISK,RECOMMENDED_NEXT_ACTION,PRIORITY,RELEASE_DEPENDENCY
Repo/Quality,PCA-0 repo and quality foundation,COMPLETE_VALIDATED,YES,YES,YES,"4 contract catalogues; 7 tooling subdirs; one CI workflow quality-gates.yml (468 lines, 11 jobs)","Coordinator-executed: backend 2214/2214 non-DB pass","4 CI 'Validate catalogue' steps are unconditional no-ops (export-only modules, exit 0); no Playwright job",NO,NONE,MEDIUM,"Make validate-catalogue.cjs executable and assert httpSurface.routes; add an e2e job",P1,ALL
Enrollment,PCA-1 enrollment and vault,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"backend enrollment/pairing/deviceauth/invitation/familytrustset/familyenvelope ~5950 LOC; routes registered","Non-DB suite green; DB suite 477/485","backend/src/recovery has no HTTP route (orphan)",NO,CRYPTO_SECURITY_REVIEW,HIGH,"Await crypto review; route or retire src/recovery",P1,B/D
Android Platform,PCA-2 Android platform foundation,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"StandardDevicePolicyCapabilitySource real DevicePolicyManager query; wired PcaAppGraph.kt:232","Gradle JVM unit tests run in CI","No DeviceAdminReceiver: device-owner mode is detected, never provisioned",NO,DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION,MEDIUM,Hardware campaign,P2,D
Screen Time,PCA-3 screen time and break engine,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"feature/screentime 11 files 1938 LOC; ScreenTimeEngine driven from PcaRuntime.kt:252; BreakShield wired :739",JVM unit tests only,None material,NO,ANDROID_REAL_DEVICE_UAT,MEDIUM,Real-device UAT,P2,D
App Usage/Schedule,PCA-4 app usage and schedule,PARTIAL,PARTIAL,PARTIAL,NO,"Android runtime/schedule 16 files wired; backend/src/usage is a TRUE ORPHAN (zero importers)","JVM tests","backend/src/usage unreachable; NoOpScheduleEnforcementConsumer silently no-ops without Device Owner",NO,DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION,HIGH,"Retire or wire src/usage; make Standard-Mode degradation visible to the parent",P1,D
Web Filtering,PCA-5 web filtering and Safe Browser,PARTIAL,PARTIAL,NO,NO,"feature/webprotection 26 files 6010 LOC; VPN DNS stack implemented","JVM tests","VpnEnforcementController constructed at PcaAppGraph.kt:512 with ZERO call sites - device-wide VPN can never start; no consent/start UI exists",NO,NONE,HIGH,"Build the consent/start screen or mark device-wide VPN out of scope",P1,D
YouTube,PCA-6 YouTube visibility,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Mode A real; Mode B defaults OFF (YouTubePolicy.kt:4, isModeBActive requires enabled AND termsReviewedAt)",JVM tests,backend/src/youtube reachable only as a dashboard card,NO,YOUTUBE_MODE_B_POLICY_REVIEW,LOW,Keep Mode B inert until policy review closes,P3,D
Location,PCA-7 location and geofence,PARTIAL,YES,PARTIAL,NO,"Android runtime/location 13 files wired; parent-web SafeZoneAuthoring UI exists (LocationPage.tsx:34)",JVM + component tests,"Publishing always fails: UnavailableSafeZonePolicyAuthoring injected at client.ts:332",NO,CRYPTO_SECURITY_REVIEW,MEDIUM,Await crypto review,P2,C/D
Eye Distance,PCA-8 eye distance protection,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Real CameraX capture: CameraXFrameSource + AndroidFaceGeometryDetector; wired PcaAppGraph.kt:534-554",JVM tests only; camera untestable on JVM,"LIVE CROSS-FAMILY READ: EyeProtectionSettingsService.get() is an unauthorized pass-through and the SQL ignores familyId",NO,CAMERA_REAL_DEVICE_VALIDATION,HIGH,"Add family scoping + membership check to the eye-protection read path",P1,C/D
Prayer,PCA-9 prayer times,COMPLETE_SOURCE_ONLY,YES,PARTIAL,NO,"Android feature/prayer 12 files + runtime/prayer 5 files wired; AlarmManagerPrayerScheduler PcaAppGraph.kt:556",JVM tests,No backend prayer module exists at all (by design); iOS PrayerNotificationScheduler is an orphan,NO,NONE,LOW,None,P3,D
