KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,REVIEW_DECISION,SEVERITY,PROPOSED_ARABIC,RATIONALE,CLAIM_OR_STATUS,LEGAL_REVIEW_REQUIRED,SIGNOFF_REASON
accessibility.barrier.body,/ar/accessibility/,Accessibility,barrier,"If something in PCA makes it difficult to complete a task, we want to know. PCA has not opened its reporting channels yet; they will be published on the Contact page before PCA opens to families. When they open, please avoid sharing sensitive child information.",إذا وجدت شيئًا في PCA يصعّب عليك إكمال مهمة، فنحن نريد أن نعرف بذلك. لم تفتح PCA قنوات الإبلاغ بعد، وستُنشر في صفحة التواصل قبل أن تُفتح PCA للأسر. وعند فتحها، يرجى عدم مشاركة معلومات حساسة عن الطفل.,REVISE_LOW,LOW,إذا كان هناك ما في PCA يصعّب عليك إكمال مهمة، فنحن نريد معرفة ذلك. لم تفتح PCA قنوات الإبلاغ بعد؛ وستُنشر على صفحة التواصل قبل إتاحة PCA للأسر. وعند فتح هذه القنوات، يُرجى عدم مشاركة معلومات حساسة عن الطفل.,يحسّن السلاسة ويستبدل التعبير غير الطبيعي «تُفتح PCA للأسر» بـ«إتاحة PCA للأسر» دون تغيير حالة الإطلاق.,NONE,NO,CHANGED_STRING
accessibility.cta.contact,/ar/accessibility/,Accessibility,cta,Contact Accessibility,التواصل بخصوص إمكانية الوصول,REVISE_LOW,LOW,تواصل معنا بشأن إمكانية الوصول,صياغة أكثر طبيعية وفعلية لزر دعوة إلى الإجراء، وتحافظ على المعنى نفسه.,NONE,NO,CHANGED_STRING;CTA
accessibility.goals.items,/ar/accessibility/,Accessibility,goals,"[1] keyboard navigation;
[2] visible focus states;
[3] semantic headings and form labels;
[4] screen-reader support;
[5] sufficient contrast;
[6] reduced motion;
[7] suitable touch targets;
[8] responsive mobile/tablet/desktop layouts;
[9] English LTR and Arabic RTL.","[1] التنقل بلوحة المفاتيح؛
[2] حالات تركيز واضحة؛
[3] عناوين وتسميات نماذج دلالية؛
[4] دعم قارئات الشاشة؛
[5] تباين مناسب؛
[6] تقليل الحركة حسب تفضيلات المستخدم؛
[7] أهداف لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية LTR والعربية RTL.",REVISE_MEDIUM,MEDIUM,"[1] التنقل بلوحة المفاتيح؛
[2] مؤشرات تركيز واضحة؛
[3] عناوين دلالية وتسميات واضحة لحقول النماذج؛
[4] دعم قارئات الشاشة؛
[5] تباين كافٍ؛
[6] تقليل الحركة؛
[7] مساحات لمس مناسبة؛
[8] تخطيطات متجاوبة للهاتف والجهاز اللوحي والكمبيوتر؛
[9] الإنجليزية من اليسار إلى اليمين (LTR) والعربية من اليمين إلى اليسار (RTL).",تُصحَّح مصطلحات إمكانية الوصول غير الطبيعية مثل «حالات تركيز» و«أهداف لمس»، مع شرح LTR/RTL بالعربية بدل ترك اختصارات تقنية غير مفسرة.,NONE,NO,CHANGED_STRING
accessibility.goals.lead,/ar/accessibility/,Accessibility,goals,We design and test for:,نصمم ونختبر من أجل:,REVISE_LOW,LOW,نصمم ونختبر لتحقيق ما يلي:,أكثر طبيعية من «نصمم ونختبر من أجل» في العربية.,NONE,NO,CHANGED_STRING
accessibility.goals.title,/ar/accessibility/,Accessibility,goals,Our accessibility goals,أهدافنا,REVISE_LOW,LOW,أهدافنا لإمكانية الوصول,العنوان الحالي «أهدافنا» عام أكثر من المصدر الإنجليزي ويفقد موضوع إمكانية الوصول.,NONE,NO,CHANGED_STRING
accessibility.hero.title,/ar/accessibility/,Accessibility,hero,Digital child protection should be usable by more families,حماية الطفل الرقمية يجب أن تكون قابلة للاستخدام من قبل أسر أكثر,REVISE_LOW,LOW,ينبغي أن يتمكن عدد أكبر من الأسر من استخدام وسائل حماية الأطفال الرقمية,صياغة عربية طبيعية تتجنب التركيب الحرفي «قابلة للاستخدام من قبل أسر أكثر».,NONE,NO,CHANGED_STRING
accessibility.seo.description,/ar/accessibility/,Accessibility,seo,"PCA's public and Parent experiences are designed for keyboard access, screen readers, responsive devices, reduced motion and English/Arabic use.",تُصمم تجارب PCA العامة وتجربة الوالدين لتدعم لوحة المفاتيح وقارئات الشاشة والحركة المخففة والعربية والإنجليزية ومختلف أحجام الأجهزة.,REVISE_LOW,LOW,تُصمم تجارب PCA العامة وتجربة PCA Parent لتدعم استخدام لوحة المفاتيح وقارئات الشاشة، وتقليل الحركة، والعمل بصورة متجاوبة على مختلف أحجام الأجهزة، والاستخدام باللغتين الإنجليزية والعربية.,تحسين السلاسة والدقة؛ «الحركة المخففة» تعبير غير طبيعي، كما أن الاستجابة تخص الواجهة على الأجهزة.,NONE,NO,CHANGED_STRING
contact.hero.body,/ar/contact/,Contact,hero,"Choose the topic that best matches your question. Please do not include private information about your child unless PCA has specifically requested a safe, necessary detail.",اختر الموضوع الأقرب إلى استفسارك. يرجى عدم إدخال معلومات خاصة عن طفلك إلا إذا طلب فريق PCA معلومة محددة وضرورية بطريقة آمنة.,REVISE_MEDIUM,MEDIUM,اختر الموضوع الأقرب إلى استفسارك. يُرجى عدم تضمين معلومات خاصة عن طفلك إلا إذا طلبت PCA تحديدًا معلومة ضرورية بطريقة آمنة.,النص الحالي يضيف «فريق PCA» رغم أن المصدر يقول PCA فقط. المقترح يحافظ على الجهة والشرط كما وردا في الإنجليزية.,NONE,NO,CHANGED_STRING
contact.seo.description,/ar/contact/,Contact,seo,"PCA is not able to receive messages yet. Support, privacy, accessibility and security contact channels will be published before PCA opens to families.",لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل أن تُفتح PCA للأسر.,REVISE_LOW,LOW,لا تستطيع PCA استقبال الرسائل بعد. وستُنشر قنوات الدعم والخصوصية وإمكانية الوصول والأمان قبل إتاحة PCA للأسر.,تحسين الصياغة الطبيعية مع الحفاظ على حالة الإطلاق.,NONE,NO,CHANGED_STRING
contact.seo.title,/ar/contact/,Contact,seo,Contact PCA — Channels Opening Before Launch,تواصل مع PCA — الدعم والخصوصية والاستفسارات,REVISE_MEDIUM,MEDIUM,التواصل مع PCA — قنوات ستُفتح قبل الإطلاق,العنوان العربي الحالي يحذف المعلومة الأساسية في المصدر: أن القنوات ستفتح قبل الإطلاق.,NONE,NO,CHANGED_STRING
