"REQUIREMENT_ID","WRITER","PRIMARY_DOMAIN","CURRENT_STATUS","SOURCE_PATHS","OWNERSHIP_STATE","HANDOFF_NOTE"
"PCA-AI-001","Writer81","PCA-14","PARTIAL","Length=70; Length=255","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-AND-001","Writer74","PCA-2","SOURCE_COMPLETE","Length=157","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-AND-002","Writer74-76","PCA-2","SOURCE_COMPLETE","Length=301","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-AND-003","Writer74","PCA-2","SOURCE_COMPLETE","Length=253","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-001","Coordinator","PCA-12","PARTIAL","Length=34; Length=68; Length=81","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-002","Coordinator","PCA-12","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-010","Coordinator","PCA-17","SOURCE_COMPLETE","Length=148; Length=81","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-011","Coordinator","PCA-17","SOURCE_COMPLETE","Length=45; Length=36; Length=55","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-012","Coordinator","PCA-17","SOURCE_COMPLETE","Length=99; Length=73","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-013","Coordinator","PCA-12","SOURCE_COMPLETE","Length=67; Length=78","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-014","Coordinator","PCA-0","NOT_APPLICABLE","","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-020","Coordinator","PCA-12","PARTIAL","Length=45; Length=31","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
"PCA-DATA-021","Coordinator","PCA-12;PCA-13","PARTIAL","Length=106","ASSIGNED_FOR_R3_TRIAGE","Writer owns evidence-backed implementation or explicit gate escalation; Coordinator owns cross-domain reconciliation"
