"FILE","LINE","TERMS","VISIBILITY","TERMINOLOGY_RESULT","REQUIREMENT_ID","NOTE"
"parent-web\src\i18n\locales\ar.json","3","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","24","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","28","children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","40","family; العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","48","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","73","child; طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","125","children","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","143","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","146","طفل","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","149","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","162","والد","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEWED_CHILD_RELATED_TERM","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
"parent-web\src\i18n\locales\ar.json","168","العائلة","USER_VISIBLE_LOCALE_OR_RUNTIME_STRING","REVIEW_REQUIRED_CHILDREN_NAMING_POLICY","","User-visible wording must follow the approved Children policy; internal technical family terms may remain internal"
