GATE_ID,CURRENT_STATUS,OWNER,CURRENT_EVIDENCE,V1_RELEVANT,V1_BLOCKING,CLOSURE_EVIDENCE_REQUIRED
ANDROID_APP_LINK_ASSETLINKS_HOSTING,EXTERNAL,"Android/domain owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
ANDROID_PHYSICAL_INSTALL_CONTINUATION,EXTERNAL,"Android device owner / QA",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
ANDROID_REAL_DEVICE_UAT,BLOCKED,"Android device owner / QA",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
CAMERA_REAL_DEVICE_VALIDATION,EXTERNAL,"Android device owner / QA",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
CLOUD_AI_OWNER_DECISION,BLOCKED,"Product/privacy owner",NONE,NO,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
CRYPTO_ACTIVATION,BLOCKED,"Security and release owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
CRYPTO_SECURITY_REVIEW,BLOCKED,"External security reviewer",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
DATABASE_BACKUP_RESTORE,PROPOSED_NOT_REGISTERED,"Platform operations owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
DEPLOYED_LOG_METRICS_PIPELINE_CONFIG,EXTERNAL,"Platform operations owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
DEPLOYED_TLS_TERMINATION_CONFIG,EXTERNAL,"Platform operations owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
DEVICE_OWNER_REAL_DEVICE_AUTHORIZATION,EXTERNAL,"Android device owner / QA",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
DOMAIN_DNS_HOSTING,PROPOSED_NOT_REGISTERED,"Platform operations owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
EMAIL_PROVIDER_SELECTION,PROPOSED_NOT_REGISTERED,"Platform operations owner",NONE,YES,YES,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
IOS_FAMILY_CONTROLS_ENTITLEMENT,EXTERNAL,"Apple Developer account holder",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
IOS_MAC_XCODE,EXTERNAL,"iOS build owner",NONE,YES,NO,"Signed, dated artifact from the named owner; gate status must move to CLOSED with evidence populated"
