ID,PHASE,DOMAIN,REQUIREMENT,CURRENT_SOURCE,CURRENT_VALIDATION,CURRENT_EXTERNAL_GATE,CURRENT_IMPLEMENTATION_GAP,OWNER,FILES,DEPENDENCIES,IMPLEMENTATION_ACTION,TEST_ACTION,EVIDENCE_ACTION,FINAL_STATUS
PCA-ADD-BILL-001,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/plan.ts | backend/migrations/0007_billing_core.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-002,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/priceBook.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-003,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/subscription.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-004,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/invoice.ts; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts,,"Invoice issued on confirmed payment (PaymentInvoiceIssuer, idempotent id from transaction id)",unit invoiceIssuance.test.mjs 4/4; MySQL webhookService.mysql.test.mjs 16/16 incl. 8-way concurrent redelivery,matrix notes/evidence updated this pass,SOURCE_COMPLETE
PCA-ADD-BILL-005,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/invoice.ts | backend/migrations/0007_billing_core.sql; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts,,Invoice line DEVICE_LIMIT_INCREASE / OTHER from the price snapshot,same as PCA-ADD-BILL-004,matrix notes/evidence updated this pass,SOURCE_COMPLETE
PCA-ADD-BILL-005A,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/quote.ts | platform-admin-web/src/pages/billing/BillingQuotes.tsx,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-006,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/payment.ts; backend/src/billing/invoiceIssuance.ts; backend/src/billing/webhook/WebhookService.ts,,Transaction and attempt rows linked to their invoice,same as PCA-ADD-BILL-004,matrix notes/evidence updated this pass,SOURCE_COMPLETE
PCA-ADD-BILL-007,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/payment.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-008,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/paymentMethod.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-009,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/refund.ts | backend/src/billing/refundOrchestration/RefundOrchestrationService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-010,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,NONE recorded,,,WS-19 ADDENDUM-002,backend/src/billing/dispute.ts,,NONE (source complete),EXTERNAL (device/provider/UAT),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-011,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/billing/providerEvent.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-012,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-BILL-013,PCA-BILL-1,Addendum 002 billing,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0015_settlement_reconciliation.sql; backend/src/billing/settlement/types.ts; backend/src/billing/settlement/SettlementService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
