REQUIREMENT_ID,CURRENT_STATUS_IN_MATRIX,NEW_CLASSIFICATION,ACTUAL_MISSING_SOURCE,PRIMARY_OWNER,RATIONALE
PCA-ADD-ENR-012,PARTIAL,REAL_SOURCE_GAP,"Authenticated PIN-configuration HTTP route + composition-root wiring (AdministrationPinService) + UI data binding (ProtectionAdministrationPanel.tsx is presentational only, no fetch calls)",Writer A,AdministrationPinService/MySqlAdministrationPinRepository/migration 0022 table all exist and are correct but never instantiated in backend/src/main.ts and have zero HTTP route.
PCA-ADD-ENR-016,PARTIAL,REAL_SOURCE_GAP,"Consolidate ProtectionApprovalService and RemovalDecisionService into ONE authoritative removal/disable decision authority; add HTTP route; wire into main.ts",Writer A,Two independent, never-composed, never-routed implementations of the same PARENT_APPROVAL_REQUIRED state machine exist (duplication defect) with distinct type systems and audit paths; neither reachable at runtime.
PCA-ADD-ENR-017,PARTIAL,REAL_SOURCE_GAP,Same wiring/consolidation gap as ENR-016; state machine logic itself (KEEP_ACTIVE/TEMPORARILY_DISABLE/ALLOW_REMOVAL) is complete in both duplicate services.,Writer A,State machine complete and correct in both services; unreachable because neither service is composed or routed.
PCA-ADD-ENR-018,NOT_STARTED,SOURCE_COMPLETE_VALIDATION_PENDING,"Durable MySQL-backed RemovalDecisionRepository (only InMemory exists); production RemovalDecisionSigningKeyResolver; HTTP route; main.ts wiring; carries pre-existing CRYPTO_SECURITY_REVIEW external gate on the signature path",Coordinator,"Matrix's ""no removal/disable decision route or service found"" note is stale/false. RemovalDecisionService.decide() already implements exact request binding, signed decision verification, trust-set epoch check, RBAC, step-up, replay handling, and audit -- source-complete and unit-tested. Remaining work is production persistence/composition, not logic. Must be resolved together with ENR-016 duplication before shipping.
PCA-ADD-ENR-020,PARTIAL,REAL_SOURCE_GAP,"Wire ProtectionAlertProducer into the 10 actual trigger event sources (disable/removal requests, invalid PIN, authority change, VPN/permission loss, offline, time tampering, degradation, reinstall, invitation redemption, unenrollment); connect parent-web ProtectionAlertPanel to a live feed (currently hardcoded alerts=[])",Writer A,"Generator/producer/vocabulary are all correct and metadata-minimized, but have zero call sites outside their own tests -- no runtime signal source invokes them."
PCA-ADD-ENR-025,PARTIAL,OWNER_DECISION_REQUIRED,N/A -- meta-requirement gating on ENR-016/017/018/020 closure,Coordinator,Cannot close this per-row evidence-bar meta-requirement while its constituent rows remain open; owner should decide the closure criteria once 016/017/018/020 land.
PCA-FR-008,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Full Safe Browser filter-category catalogue breadth (small separate OWNER_DECISION_REQUIRED item); iOS Family Controls runtime-enforcement observation needs physical device/Apple authorization",Writer B,"Core age/mode-selection-and-defaults behavior exists on both platforms, wired, unit-tested, and buildable/testable today on Windows (Android JVM tests; iOS file is registered/linked in project.pbxproj). tooling/release/RebuildR3DerivedLedgers.mjs hardcodes this as REAL_SOURCE_GAP despite its own generated notes describing the same completed source -- stale label."
PCA-ADD-ENR-010,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"Apple Developer/App Store Connect associated-domain verification, FamilyControls entitlement grant, physical-device authorization flow -- all environment/account-level",Writer B,"Universal Link parsing and authorization-gating logic are source-complete and wired into the Xcode target. The matrix's own externalGate array already lists IOS_FAMILY_CONTROLS_ENTITLEMENT/IOS_MAC_XCODE/IOS_PHYSICAL_DEVICE, contradicting the PARTIAL status sitting next to it."
PCA-FR-140,PARTIAL,OWNER_DECISION_REQUIRED,"(a) EnrollmentLifecycle.swift not referenced anywhere in ios/PCA.xcodeproj/project.pbxproj -- orphaned/unwired; (b) Android has no actor/reason audit-record emission parity with iOS; (c) no family-visible audit surface for these local records",Coordinator,"Genuinely mixed: audit record shape/machine is real and tested on iOS, but Xcode-wiring + Android parity + cross-device visibility are real gaps, not external-gate-only. Recommend splitting into a SOURCE_COMPLETE_EXTERNAL_GATE sub-item (iOS, pending wiring+Xcode verification) and a REAL_SOURCE_GAP sub-item (Android parity + visibility) rather than one label."
PCA-FR-144,PARTIAL,SOURCE_COMPLETE_EXTERNAL_GATE,"iOS Xcode wiring/compilation of RecoverySecretDisclosure.swift (currently zero pbxproj references, like FR-140); binding the gate to the not-yet-existing real secret-generation crypto component",Writer B,"Backend + parent-web majority of the requirement (disclosure-before-generation gate correctness, fail-closed no-parent/no-secret behavior, localized EN/AR copy) is done and validated by passing tests today. Remaining pieces are iOS-toolchain-only and a separate crypto component, both externally gated."
PCA-NFR-044,PARTIAL,REAL_SOURCE_GAP,"Android has zero reading-level-differentiated child-facing copy (strings.xml only has age labels, not simplified body text); no reading-level scoring/enforcement anywhere; coverage limited to one iOS screen (enrollment disclosure), not app-wide",Writer B,"Confirmed the matrix wrongly cites AndroidFaceGeometryDetector.kt/FaceProximityClassifier.kt (an unrelated FR-023/024 camera-proximity feature) as evidence for this reading-level requirement. iOS has a real but narrow implementation (PCAChildReadingLevel, tested); Android has none. Genuine, buildable-today gap -- correct the evidence citation regardless of final status."
