ITEM_ID,REQUIREMENT_ID,DOMAIN,APP,ROUTE_OR_COMPONENT,CURRENT_CLASSIFICATION,CURRENT_SOURCE_STATE,CURRENT_RUNTIME_STATE,CURRENT_EXTERNAL_GATE,PREVIOUS_REASON_PARTIAL,REPO_SOLVABLE,OWNER_DECISION_REQUIRED,EXTERNAL_DEPENDENCY,TARGET_FOR_THIS_PROGRAMME,WRITER,STATUS,FIX_COMMITS,TEST_EVIDENCE,BROWSER_EVIDENCE,FINAL_CLASSIFICATION
A,PCA-ADD-BILL-003,billing,backend+parent-web,billing/subscription.ts;familycommercial/dto.ts;pages/Subscription.tsx,PARTIAL,billing_subscriptions table has no auto_renew column (migrations/0007_billing_core.sql:238-257). dto.ts:115-137 hardcodes autoRenew:false with an explicit comment. Parent Web already has SubscriptionSnapshot.autoRenew and a Cancel-auto-renew button gated on it (Subscription.tsx:74-82) -- currently unreachable dead code. realBillingClient.cancelAutoRenew() always throws NOT_FOUND (no mutation route exists).,Dead code path -- UI exists but server always reports false and rejects the mutation,None for the flag/state/UI layer; actual recurring re-charging of a real payment provider is a separate external capability,BLOCKED_OWNER / recorded as a product decision (PCA_P1_P2_BEHAVIOR_LEDGER B086/B087),YES for flag+cancel-mutation+audit+UI (UI already built client-side),NO,Automatic re-charging execution via a real payment provider (COMMERCIAL_PROVIDER_REQUIRED) -- do not fabricate a fake renewal job,IMPLEMENT_NOW (domain/flag/mutation/UI); COMMERCIAL_PROVIDER_REQUIRED (actual charging),writer-batch2,PUBLISHED,c4eb2bf,"Reconciliation pass (2026-09-02): commit c4eb2bf verified via git show to match this row's claims (auto_renew column, cancel/resume mutation, real client wiring). Re-ran via node --test (vitest misreports these node:test-based .mjs files as 'no test suite found'): familycommercial/dto.test.mjs 18/18 pass, familycommercial/authorization.test.mjs 9/9 pass. familyCommercialRoutes.test.mjs and the two real-MySQL tests (billingCore.mysql.test.mjs, familyCommercialIntegration.mysql.test.mjs) not re-executed this pass (no disposable MySQL spun up); prior coordinator claim of 52/52 + real-MySQL pass not independently re-confirmed.",none -- not re-verified this pass; prior coordinator claims not independently re-confirmed,IMPLEMENT_NOW -- COMPLETE (published c4eb2bf)
B,PCA-eye-protection,device-policy,parent-web+android+backend,pages/children/EyeProtectionPage.tsx;backend/src/eyeprotection/;android/.../platform/proximity/,PARTIAL,"CORRECTED after implementation -- the Wave-0 premise 'zero prior art in Android' was wrong. docs/architecture/13_EYE_DISTANCE_PROTECTION.md describes a mature, ALREADY-SHIPPED 'Eye-Distance/Proximity Protection' feature with a real state machine (Monitoring->SuspectedNear->Warning->RestDue->RestActive) and a forced ~60s rest-block overlay (EyeRestShieldTrigger/EyeRestShieldActivity), built on a real camera/proximity pipeline (CameraProximitySource, OnDeviceApproximateFaceProximityEstimator, wired in PcaAppGraph.kt with a real CAMERA-permission flow). This is a SEPARATE, already-shipped feature the batch-4 agent correctly left untouched (out of scope, not to be extended). The pre-existing EyeProtectionStatus domain type (remindersEnabled/state/lastReminderUtc, present before this session) already used reminder-oriented naming consistent with the design direction chosen, and history is already sourced from a real (non-crypto-gated) activity-timeline sync filtered to EYE_PROTECTION category. IMPLEMENTED THIS BATCH: backend eye_protection_settings table + service (ParentActionAuthorizationService/EDIT_CHILD_POLICY, same proven pattern as 6+ sibling routes) + route + real Parent Web write path (checkbox toggle, EDIT_CHILD_POLICY-gated). Investigated whether the real camera pipeline could be reused for Part-2 Android delivery -- traced the settings-sync channel (FamilySyncRuntimePort) and confirmed the ONLY production implementation (OfflineFamilySyncRuntimePort) never delivers anything; every parent-authored setting is gated on the same crypto-suite human security review as items D/E/G. Android Part 2 was correctly NOT attempted.",Backend+Parent Web toggle now real and tested; setting is recorded but has no channel to reach the device yet (same as A's flag layer). Android's separate shipped feature (forced-rest blocking) continues operating independently of this toggle.,"None for the backend/UI toggle layer (built, not E2EE, reviewed as a bounded non-sensitive preference); delivering it to the device shares the SAME crypto/trust-set gate as items D/E/G","No accepted write contract existed previously; called out as 'a genuine new-feature scope decision' in the page's own comment -- corrected: the schema/API/toggle layer was NOT a new-feature decision, the ANDROID mechanism (already shipped, different feature) was where the real complexity lay","YES for backend/API/Parent-UI toggle (done); NO further owner decision needed for Android delivery -- that's blocked on the shared crypto gate, not a design question","NO for the completed toggle layer; the eventual mapping between this toggle and doc-13's engine (e.g. does remindersEnabled=false fully pause the shipped state machine, or only its Warning-stage nudges?) is worth a product clarification once delivery unblocks, not blocking now",Same production crypto/trust-set gate as items D/E/G for actual device delivery; real-device validation of the already-shipped Android feature remains separately REAL_DEVICE_REQUIRED (no emulator/device in this environment),"Backend/API/Parent-UI toggle: DONE this batch. Android delivery: blocked on shared crypto gate, do not attempt to unblock independently.",writer-batch4,PUBLISHED (backend+UI toggle only; device delivery blocked),6cde08d,Reconciliation pass (2026-09-02): commit 6cde08d verified via git show to match this row's claims (eye_protection_settings table/service/route + Parent Web toggle). Re-ran EyeProtectionSettingsService.test.mjs via node --test: 6/6 pass. eyeProtectionSettings.mysql.test.mjs (real-MySQL) and the parent-web-side toggle tests not re-executed this pass; prior coordinator claim of 16/16 + real-MySQL + parent-web 7/7 not independently re-confirmed in full.,none -- not re-verified this pass; prior coordinator claims not independently re-confirmed,"IMPLEMENT_NOW (toggle layer) -- COMPLETE (published 6cde08d) / HUMAN_SECURITY_REVIEW_REQUIRED (device delivery, shared gate with D/E/G) -- unchanged"
C,PCA-ADD-BILL-001,billing,backend+platform-admin-web,http/routes/platformadmin/planRoutes.ts;pages/billing/BillingPlans.tsx,PARTIAL,"Backend only exposes GET /platform-admin/billing/plans/:planCode (exact code required) -- no bare GET /platform-admin/billing/plans list route. BillingReadModel.ts already implements the exact pagination pattern needed (PageRequest/PageResult, buildFilterClause) for 7 other billing lists -- trivial to replicate for billing_plans. BillingPlans.tsx search requires a typed exact plan code with no discovery path.",Exact-code lookup only works in PA UI today; no way to discover plan codes without already knowing one,"None -- pure internal read, no external dependency",BLOCKED_OWNER / owner decision to keep exact-code search only,YES -- fully and trivially,NO,None,IMPLEMENT_NOW,writer-batch1,PUBLISHED,adac52f,"Reconciliation pass (2026-09-02): commit adac52f verified via git show to match this row's claims (paginated GET list route mirroring BillingReadModel's PageRequest/PageResult convention + BillingPlans browse UI). Re-ran platformadmin/operational/httpAuthzBoundary.test.mjs via node --test: 12/12 pass. BillingPlansBrowse.test.tsx, BillingPlansConfirmAndLabels.test.tsx, and the full backend suite (1793 claimed) not re-executed this pass; prior coordinator claim not independently re-confirmed at that scope.",none -- not re-verified this pass; prior coordinator claims not independently re-confirmed,IMPLEMENT_NOW -- COMPLETE (published adac52f)
D,wellbeing-messages,wellbeing,backend+parent-web+android,pages/wellbeing/WellbeingAdmin.tsx;pages/wellbeing/CustomMessageForm.tsx;api/real/unavailableProviders.ts,PARTIAL,"CORRECTED after implementation attempt found the original classification wrong. docs/architecture/36_PARENT_WELLBEING_MESSAGE_CONTROL.md -- a doc SPECIFIC to this exact feature, missed by the earlier Wave-0 pass which only checked the general docs/architecture/09_SECURITY_PRIVACY_E2EE.md -- is unambiguous: PCA-WELLCTRL-001 'parent-authored custom message text... is family plaintext. It MUST NOT require a readable central (MySQL/service-side) store at any point in its lifecycle.' PCA-WELLCTRL-002: the service/relay control plane 'never receives message text, family schedule detail, faith-category preference, or target meaning' -- this rules out even a narrower 'just store the enable/disable toggles server-side' design. PCA-WELLCTRL-003: 'no MySQL table is introduced for custom message plaintext... reuses the existing encrypted family envelope/relay architecture.' Doc's own Section 16: the real implementation is a CLIENT-SIDE TypeScript package (parent-sdk/wellbeing-control) producing encrypted family-envelope payloads, 'initially via a mock implementation' -- i.e. the current UnavailableWellbeingMessageAdminClient is the architecturally CORRECT state today, not an oversight. Android's on-device engine (mature, SOURCE_COMPLETE) reads via the same Family Envelope/FTS transport, confirmed by docs/architecture/38_CANONICAL_WELLBEING_POLICY.md and COORDINATOR_INTEGRATION_QUEUE.md.",Android on-device delivery works against its own bundled catalogue; Parent authoring UI is fully built and CORRECTLY has no real backend to call yet,None for a compliant implementation -- the correct real implementation is entirely client-side and depends on family-envelope encryption,Previously scoped out as future (Agent-8 scope); Wave-0 register entry incorrectly said this was a simple backend CRUD gap,NO for a central-backend design (would violate PCA-WELLCTRL-001/002/003); a compliant client-side implementation is blocked on the same family-envelope encryption boundary as items E and G,"N/A -- this is an architecture-mandated boundary, not an owner decision",Same production crypto/trust-set gate as items E and G -- a compliant client-side wellbeing-control package cannot produce real encrypted envelopes until that resolves,Do NOT implement a backend CRUD/MySQL service (would violate documented architecture). No repo-solvable work identified beyond what already exists; revisit only once the shared crypto/trust-set gate (E) resolves,writer-batch3,VERIFIED_BLOCKED_NO_CHANGE,,"investigation-only; agent correctly declined to write code after finding the architecture prohibition, made zero changes",none yet,HUMAN_SECURITY_REVIEW_REQUIRED (shared gate with E)
E,PCA-DEC-020;PCA-DEC-021,recovery,backend,recovery/RecoveryKdf.ts;recovery/RecoveryEnvelopeCipher.ts;recovery/TrustSetSignatureVerifier,PARTIAL,"RecoveryEnvelopeCipher.ts:38-43 own doc-comment: 'NO concrete AEAD/KEM construction is selected or implemented anywhere behind this interface.' backend/package.json has no cryptography dependency at all. docs/security/production-crypto-review/PCA_PRODUCTION_CRYPTO_REVIEW_PACKAGE.md is explicit: candidate construction (HPKE + a KDF/AEAD) is 'a recommendation pending specialist cryptographic approval, platform-library review, and test vectors -- not a finished decision' (PCA-DEC-020/021). FamilyTrustSetRecoveryEngine.acceptRecoveryEpoch and RecoveryTransactionCoordinator/ledger bookkeeping are fully implemented and pass 11/11 red-team tests, but are functionally inert without the crypto primitives. TrustSetSignatureVerifier has no production wiring at all, not even a fail-closed stub.",Envelope storage/versioning/ledger scaffolding works; no concrete crypto primitive is selected or callable anywhere,"Human security review is the explicit, deliberate, already-documented gate (PCA-DEC-020/021) -- this is not a stale classification",Previously crypto-review gated,NO for the crypto primitive itself; YES for non-crypto boundary prep (already complete -- ledger/orchestration/red-team tests exist),YES -- concrete KDF/AEAD/KEM primitive selection is an explicit pending human security decision per the project's own architecture doc,Concrete primitive selection and TrustSetSignatureVerifier/RecoveryKdf/RecoveryEnvelopeCipher implementation,HUMAN_SECURITY_REVIEW_REQUIRED,unassigned,BLOCKED,,,,HUMAN_SECURITY_REVIEW_REQUIRED
F,PCA-AI-001,ai-classifier,backend+android+ios,ai/LifecycleGatedClassifier.ts;ai/policy.ts;ios/PCA/AI/ClassifierRuntimeBoundary.swift;backend/src/model/ModelPackageVerifier.ts,PARTIAL,"CORRECTED after verification -- gap is real but NOT mechanical wiring. Kill-switch/precedence/cloud-disable already repo-complete and confirmed. iOS: ClassifierRuntimeBoundary.swift is entirely orphaned -- grepped all 3 real extension entry points (DeviceActivityMonitorExtension.swift, ShieldActionExtension.swift, ShieldConfigurationExtension.swift), none reference it. Root cause: none of the 3 features doc 23 permits (Safe Browser text/page risk scoring, phishing signal, eye-distance calibration) exist on iOS at all yet -- there is no consuming feature to wire into; this is new feature architecture (a Safari content-blocker/web-extension target or a live camera pipeline), not a same-file connection. Android: inverse gap -- WebFilterEngine.kt:48/SafeBrowserNavigationPolicy.kt:44-57 have a REAL production consumption slot (ClassifierResult param) but zero LiteRT placement-boundary type exists to fill it; grepped all of android/app/src/main for ClassifierResult( constructor calls, only the type declaration itself, never a real caller. Model-signature verification: ModelPackageVerifier.ts's own doc comment confirms 'pending human security review, only a deterministic test double exists' -- checked every other signature-verification port in the codebase (DeviceSignatureVerifier, SignedRulePackageVerifier, ModelEmergencyDirective, RejectingCryptoVerifiers) and confirmed this is the SAME single repo-wide pending decision (doc 09 PCA-DEC-020) already gating item E, not an AI-specific gap -- no already-approved primitive exists anywhere to reuse. Privacy boundary confirmed clean: ClassificationInput.content typed unknown by design, zero HTTP classify/upload routes, zero external ML provider references, Android never persists raw media.","Kill-switch/precedence real and tested; no consuming feature exists on iOS, no placement boundary exists on Android -- neither platform has both halves",A real trained model artifact/package remains a separate external deliverable regardless of source completeness,"PARTIAL AI implementation in requirement matrix; Wave-0 register entry underestimated this as 'narrower gap, likely small IMPLEMENT_NOW'","NO for classifier wiring on either platform (both require net-new feature architecture with no existing pattern to mechanically extend); NO for model-signature verification (shared PCA-DEC-020 crypto gate, no reusable primitive)",Building the missing iOS feature (camera/web-extension) or Android boundary type would be new architecture requiring product/technical design first,Trained model artifact is COMMERCIAL_PROVIDER_REQUIRED; model-signature verification is the same HUMAN_SECURITY_REVIEW_REQUIRED gate as item E; iOS/Android classifier wiring is NEW_FEATURE_ARCHITECTURE_REQUIRED (product decision) then REAL_DEVICE_REQUIRED for iOS validation,No repo-solvable implementation identified this round -- do not build orphaned scaffolding with no real caller on either platform,writer-batch3,VERIFIED_NO_MECHANICAL_GAP,,"investigation-only; agent correctly declined to implement orphaned scaffolding, made zero changes. Reconciliation pass (2026-09-02): re-confirmed ClassifierRuntimeBoundaryTests.swift and WebFilterTypes.kt's ClassifierResult type still exist with no production caller (grep re-run, unchanged). Per owner instruction, this item is carried forward into docs/pre-production/PCA_NOT_STARTED_REGISTER.csv as NEW_FEATURE_ARCHITECTURE_REQUIRED (iOS Safari-extension/camera feature + Android LiteRT placement boundary) -- not closed out here, not attempted as mechanical completion.",none yet,"NEW_FEATURE_ARCHITECTURE_REQUIRED (classifier wiring) / HUMAN_SECURITY_REVIEW_REQUIRED (signature verification, shared gate with E)"
G,PCA-FR-041,schedule,backend+parent-web+android,domain/screenTimePolicy.ts;screentime/policy/ScreenTimePolicyApplier.kt;api/schedulePolicyAuthoring.ts,PARTIAL,"Confirmed real, narrow gap: zero matches for continuousUse/breakDuration fields anywhere in backend/src's SCHEDULE_POLICY_V1 wire types. Parent Web already validates continuousUseLimitMinutes/breakDurationMinutes client-side (domain/screenTimePolicy.ts) and Android's ScreenTimePolicyApplier.kt already enforces a hardcoded 60/30 baseline and is ready to consume real values (ScreenTimePolicyApplierTest.kt covers it). schedulePolicyAuthoring.ts:8-26's own header comment flags this as a KNOWN, HONEST SCOPE GAP requiring a design decision. The actual write path is SchedulePolicyPlaintextDefinition -> SchedulePolicyFamilyEncryptionBoundary.encrypt() -> real SCHEDULE_POLICY_V1 envelope bytes -- but SchedulePolicyFamilyEncryptionBoundary is UNIMPLEMENTED, wired in production as UnavailableSchedulePolicyFamilyEncryptionBoundary which unconditionally throws CRYPTO_REVIEW_REQUIRED. This is the SAME crypto/trust-set boundary that gates item E, not an independent gap -- confirmed further by PCA_FAMILY_AUTHORITY_COMPLETION_ARCHITECTURE.md: TrustSetRoleResolver (screen-time, apps, family/members, audit) is hardcoded to UnavailableTrustSetRoleResolver/NO_TRUST_SET in production (main.ts:418) pending the same gate.",Parent Web validates these fields client-side; Android enforces them if given a payload; nothing in the backend currently produces or can encrypt that payload for these two fields,The field-mapping itself has no external dependency; but end-to-end DELIVERY to a device is blocked on the same production crypto suite as item E,Previously documented as an honest contract gap; underlying shared crypto gate not previously connected to this item explicitly,YES for the mechanical SCHEDULE_POLICY_V1 field-mapping/schema/serialization (small); NO for making it deliverable end-to-end (shares E's gate),"Delivery gate is E's decision, not a separate item-G decision",Same production-crypto-suite gate as item E for actual device delivery,"IMPLEMENT_NOW (field-mapping/schema mechanical work only); HUMAN_SECURITY_REVIEW_REQUIRED (end-to-end delivery -- shared with E, do not attempt to unblock independently)",writer-batch1,PUBLISHED (mapping only),11f1882,"Reconciliation pass (2026-09-02): commit 11f1882 verified via git show to match this row's claims (two optional backward-compatible fields added to SchedulePolicy.kt/SchedulePolicyEnvelopePayload.kt/SchedulePolicyJson.kt + contract doc note). Freshly re-ran via a real Gradle invocation this pass (./gradlew :app:testDebugUnitTest --tests SchedulePolicyEnvelopePayloadTest): BUILD SUCCESSFUL, 7/7 tests pass; correctly stayed off the crypto boundary.",none -- not re-verified this pass (no device/emulator); prior coordinator claims not independently re-confirmed beyond the JVM test,IMPLEMENT_NOW (mapping only) -- COMPLETE (published 11f1882) / HUMAN_SECURITY_REVIEW_REQUIRED (delivery) -- unchanged
H,family-authority-pregate,family-authority,parent-web,rbac/useFamilyAction.ts,VERIFIED_SAFE,"RESOLVED with file:line evidence across the full chain. useFamilyAction's clients.familyAuthority.checkPermission is 100% client-local in BOTH build modes -- production (UnavailableFamilyAuthorityGateway.checkPermission, unavailableProviders.ts:44-51) unconditionally returns {allowed:false} with no network call at all; dev mode (devFamilyAuthorityGateway.ts:37-40) evaluates a local role matrix, also never touching a server. Independently, ParentActionAuthorizationService.authorize() is called server-side by every real wired family-authority route (invite, revoke, change-role, schedule-policy delivery, safe-zone CRUD, child-request decide/grant -- 5 concrete routes traced with file:line citations), deriving the actor exclusively from a verified session token, never client input. Production wires UnavailableTrustSetRoleResolver (main.ts:427), which makes authorize() deny-by-default (ACTOR_NOT_RESOLVABLE) for every actor -- genuinely fail-closed, not fail-open. A traced (not executed) direct-HTTP bypass of the client gate gains an attacker nothing on any of the 5 routes. The 6th action (removeMember, an already-accepted member) has literally no backend route yet -- see item I.",Client gate live in UI; server-side enforcement independently real and fail-closed for every wired route,None,Previously flagged as a possible redundant/incorrect client-side pre-gate,"N/A -- verification only, no source change warranted",NO,None,"No implementation needed now. Forward-looking note only: when the crypto/trust-set gate (shared with E/G) resolves, ensure familyAuthority.checkPermission also becomes server-backed rather than staying a local UI convenience, or the client gate risks silently going stale relative to real server state.",unassigned,VERIFIED_CLOSED,,,,NOT_APPLICABLE_PRODUCTION_SCOPE
I,parent-member-capacity,entitlements,backend+parent-web,familymembers/FamilyMemberInvitationService.ts;entitlements/EntitlementRepository.ts;pages/family/Members.tsx,PARTIAL,"CORRECTED after decrement-path verification. Accept-side increment is real and race-safe (acceptInvitation, FamilyMemberInvitationService.ts:342-355, atomic within acceptAtomically, family row locked first). But adjustParentMemberUsedCount (EntitlementRepository.ts:46) has exactly ONE caller in the entire backend -- the accept path, delta=+1 -- and zero calls anywhere with a negative delta. No backend route/service/repository method to remove an already-accepted member exists AT ALL. Parent Web's Members.tsx:149 Remove button calls clients.familyAuthority.removeMember, which resolves to UnavailableFamilyAuthorityGateway.removeMember (unavailableProviders.ts:58-60), unconditionally rejecting in production. Matches PCA_P0_DISPOSITION.csv row 8 verbatim, which already documented this as out of a prior pass's scope. Every accepted seat is permanently stuck occupied -- capacity can never be freed today.",Accept-path consumption works; removal/decrement path does not exist -- nothing ever frees a seat,None -- pure internal backend+RBAC work,"Previously flagged as an incomplete accounting gap; correction: NOT already resolved, the remove side was never built",YES -- well-precedented by the existing accept path (acceptAtomically's lock+transaction pattern is directly reusable) and by 5 sibling routes (item H) that already prove the authorize()-then-mutate pattern is safe and correctly fail-closed,NO,"None -- the new route will safely fail closed in production today (same UnavailableTrustSetRoleResolver as the 5 sibling routes) and activate once that gate resolves, consistent with existing behavior","IMPLEMENT_NOW -- new atomic repository method (lock account_entitlements row, adjustParentMemberUsedCount delta=-1, idempotency/double-free guard mirroring priorAcceptances dedup) + service method + authorized route (reuse REMOVE_NON_OWNER_PARENT operation) + real FamilyAuthorityGateway.removeMember wiring to replace the Unavailable stub. Estimate ~150-300 LOC. moderate",writer-batch2,PUBLISHED,dddf4bc,"Reconciliation pass (2026-09-02): commit dddf4bc verified via git show to match this row's claims (atomic removal path, real FamilyAuthorityGateway.removeMember wiring). Re-ran via node --test (vitest misreports these node:test-based .mjs files as 'no test suite found'): familymembers/service.test.mjs 43/43 pass (includes the round-trip accept->remove->reuse-capacity test), http/familyMemberRoutes.test.mjs 16/16 pass. real-MySQL concurrency test (parentAccount.mysql.test.mjs) and parent-web 637/637 not re-executed this pass; prior coordinator claims not independently re-confirmed at that scope.",none -- not re-verified this pass; prior coordinator claims not independently re-confirmed,IMPLEMENT_NOW -- COMPLETE (published dddf4bc)
J,owner-blocked-ux,ux,parent-web+platform-admin-web,28 rows in PCA_P1_P2_BEHAVIOR_LEDGER.csv classified BLOCKED_OWNER (B003/B004/B008/B012/B016/B067/B068/B082/B084/B087/B088/B094/B103/B105/B106/B110/B112/B114/B117/B118/B127/B128/B129/B132/B139/B146/B154/B159),PARTIAL,"Full inventory extracted: weak hierarchy/sparse pages (Register, VerifyEmail, Login, RolesMatrix, Settings x2), missing context (NotPermitted, RolesMatrix, Subscription, EntitlementRequests), missing pagination (Invoices, BillingPlans), missing search/sort (AccountsList), missing confirmations (Entitlements, EntitlementRequests, BillingPlans), status/money formatting (BillingPlans, BillingPricing, BillingInvoices, SettlementBatches), plus 2 items (B106/B110 API mismatch, B159 RBAC mismatch) that are flagged for owner decision rather than pure polish. B154 (/audit raw metadata) and the /privacy/permissions manifest identifiers are explicitly documented in PCA_ROUND2_CLOSURE_REPORT.md Section 3 as DELIBERATELY left verbatim, not oversights -- exclude these two from any redesign.","N/A -- presentation gaps, not functional defects",None,Owner-blocked presentation/enhancement items in the 162-behavior ledger,YES for the functional-value subset (search/sort/filter/pagination/empty-states/confirmations/status-formatting); NO for blanket redesign or the two deliberately-verbatim items,NO,None,IMPLEMENT_SELECTIVELY -- COMPLETE across 3 slices,writer-batch4-5-6,"COMPLETE (27 of 28 addressable rows resolved: B003/B004 Register password-requirements hint; B008 VerifyEmail duplicate link removed; B012 Login intro paragraph; B016 NotPermitted next-step guidance; B067/B068 RolesMatrix denial reasons+legend; B082/B084 Settings sectioned; B087 resolved as a side effect of item A; B088 Subscription -- found and connected a dead resumeAutoRenew capability left over from item A; B094 Invoices honest showing-count line, backend pagination confirmed infeasible in scope; B103/B105 Accounts search/sort; B106/B110 confirmed STALE ledger entries, already fixed by pre-session commits 0ff7e3e/f9ea7ab/89887a1, no code change needed; B112 AccountDetail missing subscriptionPlanId field added; B114/B117/B118 confirm dialogs+context; B127/B128/B129 confirmed already done, regression tests added; B132/B139/B146 status/money formatting; B159 Settings RBAC -- frontend route guard was stricter than backend's actual read policy, relaxed frontend only, backend and write gates untouched. Only B154 remains, permanently excluded per PCA_ROUND2_CLOSURE_REPORT.md Section 3 -- not a gap, deliberate.)","a8f58dd,c23c42c,e1e6005,1d009a6","platform-admin-web and parent-web suites re-verified by coordinator across all 3 slices; B159 specifically: 17/17 RBAC boundary tests confirm both newly-allowed read roles and still-blocked write attempts. Reconciliation pass (2026-09-02): commits a8f58dd (parent-web pre-auth/RolesMatrix/NotPermitted/Settings/Invoices), c23c42c (Settings route-guard relax + App.routeSecurity test), e1e6005 (platform-admin confirmations/search-sort/AccountDetail field), 1d009a6 (i18n) verified via git show against this row's claims -- all match. Freshly re-ran platform-admin-web targeted files via vitest: AccountDetailAndStepUpLabels.test.tsx, App.routeSecurity.test.tsx (14 tests, covers B159), AccountsListSearchAndSort.test.tsx, EntitlementRequestsDenyAndContext.test.tsx -- 4 files / 23 tests, all pass. Freshly re-ran parent-web's full suite via vitest: 109 files / 660 tests, all pass (covers the a8f58dd pre-auth/RolesMatrix/NotPermitted/Settings/Invoices changes).","none -- not re-verified this pass (no real-browser session run); the framing above is unit/vitest-level evidence, not real-browser evidence","IMPLEMENT_SELECTIVELY -- COMPLETE (27/28 addressable, 1 permanently excluded by design)"
