ITEM_ID,REQUIREMENT_ID,DOMAIN,PLATFORM,FINAL_CLASSIFICATION,COMMITS,SECURITY_STATUS,VALIDATION_STATUS
N1,PCA-SYNC-STATUS,runtime-sync,backend+parent-web,IMPLEMENT_NOW -- COMPLETE (published ea0a7dc),ea0a7dc (cherry-picked from f662952),"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N2,PCA-ALERT-DEST,alerts,backend+parent-web,IMPLEMENT_NOW -- COMPLETE (published 507a781),507a781 (cherry-picked from aead65c),"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N3,PCA-TRUSTED-BROWSER-PAIR,recovery/device,parent-web,IMPLEMENT_NOW -- COMPLETE (published 690303d),690303d,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N4,PCA-MEMBER-REMOVE-CONFIRM,ux,parent-web,IMPLEMENT_NOW -- COMPLETE (published 690303d),690303d,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N5,PCA-WEB-RULE-MUTATION,web-filter,backend+parent-web,"IMPLEMENT_NOW (mapping only, mirrors item G) -- COMPLETE (published 1a93aa0) / HUMAN_SECURITY_REVIEW_REQUIRED (delivery, unchanged -- confirmed no AEAD/KEM primitive chosen, backend/src/recovery/ untouched)",1a93aa0,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N6,PCA-BILLING-RENEWAL-REMINDER,billing,backend,IMPLEMENT_NOW -- COMPLETE (published a55cd53),a55cd53,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N7,PCA-NFR-044,accessibility,android,IMPLEMENT_NOW -- COMPLETE (published 1153bd5),1153bd5,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N8,PCA-IOS-ASK-PARENT,child-request,ios,"NEW_FEATURE_ARCHITECTURE_REQUIRED -- exact requirement: iOS Shield secondary-action needs a real child-request creation+submission contract. Missing decision: request/submission shape and transport. Current architecture has no iOS-side analog to extend. Source inspected: ShieldActionExtension.swift, all iOS Sync/ChildRequest-related files (none found). Decision needed: product/security architect must define the iOS child-request contract before this can be built.",n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N9,PCA-AI-001,ai-classifier,backend+android+ios,NEW_FEATURE_ARCHITECTURE_REQUIRED (classifier wiring) / HUMAN_SECURITY_REVIEW_REQUIRED (signature verification) -- unchanged from partial/intentional register item F,n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N10,PCA-DEC-020;PCA-DEC-021,recovery,backend,EXTERNAL_SECURITY_REVIEW -- unchanged from partial/intentional register item E. Do not reopen merely to close this register.,n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N11,wellbeing-messages,wellbeing,backend+parent-web+android,EXTERNAL_SECURITY_REVIEW -- unchanged from partial/intentional register item D. Do not build a prohibited central-backend design merely to close this register.,n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N12,PCA-DEC-002;PCA-DEC-014;PCA-DEC-015,device-provisioning,android,"NEW_FEATURE_ARCHITECTURE_REQUIRED -- exact requirement: PCA-FR-082/145 device enrollment. Missing decision: QR vs ADB provisioning path. Current architecture deliberately does not choose one. Source inspected: ProtectedModeProvisioningGate.kt and siblings, all correct/complete pending the decision. Decision needed: owner/product must select the authorized provisioning mechanism.",n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N13,PCA-DEC-017,shield-ui,ios,"NOT_APPLICABLE_V1 -- deliberately deferred past v1 per PCA-DEC-017, not a gap",n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N14,YouTube-ModeB,app-usage,backend+android+ios,"COMMERCIAL_PROVIDER_REQUIRED -- safe scaffolding already complete on all 3 platforms, do not wire further without the partnership decision",n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N15,observability,platform-admin,backend,"PRODUCTION_INFRA_REQUIRED -- unchanged, matrix-accepted; a discretionary /metrics endpoint was considered and deliberately not built this pass to avoid scope-creep beyond the matrix's own acceptance",n/a,N/A -- no new capability boundary introduced,"N/A -- external-gated or not-applicable, no source change made"
N16,billing+free-access+family-capacity,billing/entitlements,backend+parent-web+platform-admin-web,"NOT_APPLICABLE_V1 -- verified already source-complete, no action taken",n/a,N/A -- no new capability boundary introduced,"full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N17,PCA-WEB-RULE-LISTRULES,web-filter,parent-web,IMPLEMENT_NOW -- COMPLETE (published 6e35d73),6e35d73,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N18,PCA-WELLBEING-CARD-WIRING,wellbeing,android,"IMPLEMENT_NOW -- COMPLETE (published 828a851, corrected 953cc21)","828a851,953cc21","reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N19,PCA-RELEASE-SERVICE-ROUTE,release,backend,IMPLEMENT_NOW -- COMPLETE (published d4e5ea4),d4e5ea4,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N20,PCA-DASHBOARD-CARDS,parent-panel,backend+parent-web,IMPLEMENT_NOW -- COMPLETE (published b558e21),b558e21,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N21,PCA-BILLING-ADMIN-ROUTES,billing,backend,IMPLEMENT_NOW -- COMPLETE (published 0f1b9f5),0f1b9f5,"adversarial review found+fixed 1 RBAC gap (c3918f4), re-confirmed by 4th audit","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
N22,PCA-ANDROID-AUDIT-EXPORT-UI,privacy,android,IMPLEMENT_NOW -- COMPLETE (published 2786884),2786884,"reviewed, 0 open findings","full suite passing at final HEAD (backend 2055/2055, parent-web 705/705, android 1297/1297)"
