OBJECT_TYPE,OBJECT_NAME,SOURCE_PATH,SOURCE_LINE_OR_MIGRATION,CURRENT_USE,RUNTIME_WRITER,RUNTIME_READER,OWNER_MODULE,V1_REQUIRED,NOTES
TABLE,account_entitlements,backend/migrations/0006_platform_entitlements_enrollment_limits.sql,0006_platform_entitlements_enrollment_limits.sql,ACTIVE,backend/src/entitlements/complimentary/EffectiveEntitlementCapacity.ts;backend/src/entitlements/EntitlementRepository.ts;backend/src/entitlements/MySqlEntitlementRepository.ts,backend/src/entitlements/complimentary/EffectiveEntitlementCapacity.ts;backend/src/entitlements/EntitlementRepository.ts;backend/src/entitlements/MySqlEntitlementRepository.ts;backend/src/entitlements/slots/MySqlSlotReservationRepository.ts;backend/src/platformadmin/readmodels/AccountsReadModel.ts;backend/src/platformadmin/readmodels/DashboardReadModel.ts,backend/src/entitlements,YES,
APPLICATION_ENFORCED_RELATION,account_entitlements.family_id,backend/migrations/0006_platform_entitlements_enrollment_limits.sql,0006_platform_entitlements_enrollment_limits.sql,ACTIVE,,,backend/src/entitlements,YES,-> families.family_id: Soft (unenforced) family_id reference -- schema-wide convention. families.family_id is CHAR(36) ascii_bin; every other table's family_id is VARCHAR(128) utf8mb4_bin. Membership existence is checked at the application layer (AuthzService.requiresFamilyScope). (source: backend/migrations/0036_family_child_memberships.sql:44-54; backend/migrations/0027_family_member_invitations.sql:17-25; backend/migrations/0013_parent_account_identity.sql)
APPLICATION_ENFORCED_RELATION,account_entitlements.plan_ref,backend/migrations/0006_platform_entitlements_enrollment_limits.sql,0006_platform_entitlements_enrollment_limits.sql,ACTIVE,,,backend/src/entitlements,YES,"-> billing_plans.plan_id: Bounded enum-like plan code (e.g. FREE_STARTER), not billing_plans' opaque row id -- type-incompatible by design, same plane-isolation convention. (source: backend/migrations/0006_platform_entitlements_enrollment_limits.sql)"
TABLE,billing_commercial_markets,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,NO_RUNTIME_CODE_FOUND,,,backend/src/billing,YES,No backend/src/**/*.ts reader or writer found for this table -- created by migration but not (yet) wired to application code. See PCA_CANONICAL_SCHEMA_REPORT.md.
INDEX,billing_commercial_markets.billing_commercial_markets_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: default_currency_code
FOREIGN_KEY,billing_commercial_markets.billing_commercial_markets_currency_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_commercial_markets.(default_currency_code) -> billing_currencies.(currency_code) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_country_market_rules,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,backend/src/billing/market.ts,backend/src/billing/market.ts,backend/src/billing,YES,
INDEX,billing_country_market_rules.billing_country_market_rules_market_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,columns: commercial_market
FOREIGN_KEY,billing_country_market_rules.billing_country_market_rules_market_fk,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,ACTIVE,,,backend/src/billing,YES,billing_country_market_rules.(commercial_market) -> billing_commercial_markets.(commercial_market) ON DELETE NO ACTION ON UPDATE NO ACTION
TABLE,billing_currencies,backend/migrations/0007_billing_core.sql,0007_billing_core.sql,NO_RUNTIME_CODE_FOUND,,,backend/src/billing,YES,No backend/src/**/*.ts reader or writer found for this table -- created by migration but not (yet) wired to application code. See PCA_CANONICAL_SCHEMA_REPORT.md.
